objectId,createdAt,updatedAt,ACL,title,SOCDetailedGroup
Ymh0Ip2otN,Mon Dec 16 2019 13:34:10 GMT+0700 (Indochina Time),Mon Dec 16 2019 13:34:10 GMT+0700 (Indochina Time),null,Admiral,UqwqcbmyGR
SAmYNll9T6,Mon Dec 16 2019 13:34:10 GMT+0700 (Indochina Time),Mon Dec 16 2019 13:34:10 GMT+0700 (Indochina Time),null,General Manager,U88AmfHhV4
nqCCJ7nBC5,Mon Dec 16 2019 13:34:10 GMT+0700 (Indochina Time),Mon Dec 16 2019 13:34:10 GMT+0700 (Indochina Time),null,County Commissioner,UqwqcbmyGR
EbNOBQIaKV,Mon Dec 16 2019 13:34:10 GMT+0700 (Indochina Time),Mon Dec 16 2019 13:34:10 GMT+0700 (Indochina Time),null,Mayor,UqwqcbmyGR
IHBNQUXoCP,Mon Dec 16 2019 13:34:10 GMT+0700 (Indochina Time),Mon Dec 16 2019 13:34:10 GMT+0700 (Indochina Time),null,Government Service Executive,UqwqcbmyGR
kTKM0kQHUL,Mon Dec 16 2019 13:34:10 GMT+0700 (Indochina Time),Mon Dec 16 2019 13:34:10 GMT+0700 (Indochina Time),null,Chief Sustainability Officer,UqwqcbmyGR
UpcnP1H6XF,Mon Dec 16 2019 13:34:10 GMT+0700 (Indochina Time),Mon Dec 16 2019 13:34:10 GMT+0700 (Indochina Time),null,Commissioner of Internal Revenue,UqwqcbmyGR
V78aG22h2W,Mon Dec 16 2019 13:34:10 GMT+0700 (Indochina Time),Mon Dec 16 2019 13:34:10 GMT+0700 (Indochina Time),null,Operational Risk Manager,U88AmfHhV4
sry5eboKXh,Mon Dec 16 2019 13:34:10 GMT+0700 (Indochina Time),Mon Dec 16 2019 13:34:10 GMT+0700 (Indochina Time),null,University President,UqwqcbmyGR
Yt8RRPRN0y,Mon Dec 16 2019 13:34:10 GMT+0700 (Indochina Time),Mon Dec 16 2019 13:34:10 GMT+0700 (Indochina Time),null,Manufacturing Operations Manager,U88AmfHhV4
z6GKcRsH36,Mon Dec 16 2019 13:34:10 GMT+0700 (Indochina Time),Mon Dec 16 2019 13:34:10 GMT+0700 (Indochina Time),null,School Superintendent,UqwqcbmyGR
4i5Tzc99SJ,Mon Dec 16 2019 13:34:10 GMT+0700 (Indochina Time),Mon Dec 16 2019 13:34:10 GMT+0700 (Indochina Time),null,Chief Executive Officer,UqwqcbmyGR
9ggmhDYIHY,Mon Dec 16 2019 13:34:10 GMT+0700 (Indochina Time),Mon Dec 16 2019 13:34:10 GMT+0700 (Indochina Time),null,Chief Financial Officer,UqwqcbmyGR
4i8vBHHtuv,Mon Dec 16 2019 13:34:10 GMT+0700 (Indochina Time),Mon Dec 16 2019 13:34:10 GMT+0700 (Indochina Time),null,CEO,UqwqcbmyGR
dO8WLZM0Cz,Mon Dec 16 2019 13:34:10 GMT+0700 (Indochina Time),Mon Dec 16 2019 13:34:10 GMT+0700 (Indochina Time),null,Chief Operating Officer,UqwqcbmyGR
5coI62TDOr,Mon Dec 16 2019 13:34:10 GMT+0700 (Indochina Time),Mon Dec 16 2019 13:34:10 GMT+0700 (Indochina Time),null,COO,UqwqcbmyGR
2YakJfNRRe,Mon Dec 16 2019 13:34:10 GMT+0700 (Indochina Time),Mon Dec 16 2019 13:34:10 GMT+0700 (Indochina Time),null,Governor,UqwqcbmyGR
Hedm5kU7e3,Mon Dec 16 2019 13:34:10 GMT+0700 (Indochina Time),Mon Dec 16 2019 13:34:10 GMT+0700 (Indochina Time),null,General Superintendent,U88AmfHhV4
EL5In1udkN,Mon Dec 16 2019 13:34:10 GMT+0700 (Indochina Time),Mon Dec 16 2019 13:34:10 GMT+0700 (Indochina Time),null,Department Store General Manager,U88AmfHhV4
Qhuk4y5pmb,Mon Dec 16 2019 13:34:10 GMT+0700 (Indochina Time),Mon Dec 16 2019 13:34:10 GMT+0700 (Indochina Time),null,Department Store Manager,U88AmfHhV4
Kyb5DZTpVz,Mon Dec 16 2019 13:34:11 GMT+0700 (Indochina Time),Mon Dec 16 2019 13:34:11 GMT+0700 (Indochina Time),null,Operations Manager,U88AmfHhV4
cf3vbsImm8,Mon Dec 16 2019 13:34:11 GMT+0700 (Indochina Time),Mon Dec 16 2019 13:34:11 GMT+0700 (Indochina Time),null,City Council Member,aM9aISwiUc
eI771L0YKd,Mon Dec 16 2019 13:34:11 GMT+0700 (Indochina Time),Mon Dec 16 2019 13:34:11 GMT+0700 (Indochina Time),null,City Alderman,aM9aISwiUc
PDZc0q8Ujt,Mon Dec 16 2019 13:34:11 GMT+0700 (Indochina Time),Mon Dec 16 2019 13:34:11 GMT+0700 (Indochina Time),null,Legislator,aM9aISwiUc
iyOgZkl3tx,Mon Dec 16 2019 13:34:11 GMT+0700 (Indochina Time),Mon Dec 16 2019 13:34:11 GMT+0700 (Indochina Time),null,Councilor,aM9aISwiUc
WhK5hs75xU,Mon Dec 16 2019 13:34:11 GMT+0700 (Indochina Time),Mon Dec 16 2019 13:34:11 GMT+0700 (Indochina Time),null,Radio Station Manager,U88AmfHhV4
IfbWAx7tCq,Mon Dec 16 2019 13:34:11 GMT+0700 (Indochina Time),Mon Dec 16 2019 13:34:11 GMT+0700 (Indochina Time),null,Congressional Representative,aM9aISwiUc
PRXHswz30Q,Mon Dec 16 2019 13:34:11 GMT+0700 (Indochina Time),Mon Dec 16 2019 13:34:11 GMT+0700 (Indochina Time),null,Selectman,aM9aISwiUc
x2OnaAMRBh,Mon Dec 16 2019 13:34:11 GMT+0700 (Indochina Time),Mon Dec 16 2019 13:34:11 GMT+0700 (Indochina Time),null,Member of Congress,aM9aISwiUc
574kvnZirq,Mon Dec 16 2019 13:34:11 GMT+0700 (Indochina Time),Mon Dec 16 2019 13:34:11 GMT+0700 (Indochina Time),null,Television Store Manager,U88AmfHhV4
