broadGroup,createdAt,updatedAt,ACL,TitleBroadGroup,code,minorGroup,detailedGroups
B0dFm3yqpB,Mon Dec 16 2019 11:46:50 GMT+0700 (Indochina Time),Mon Dec 16 2019 11:47:17 GMT+0700 (Indochina Time),null,Accountants and Auditors,13-2010,mwraCKL520,
CigMx3DeOk,Mon Dec 16 2019 11:46:56 GMT+0700 (Indochina Time),Mon Dec 16 2019 11:47:24 GMT+0700 (Indochina Time),null,"Actors, Producers, and Directors",27-2010,1tanPg10O9,
jm3hfbGqEQ,Mon Dec 16 2019 11:46:51 GMT+0700 (Indochina Time),Mon Dec 16 2019 11:47:18 GMT+0700 (Indochina Time),null,Actuaries,15-2010,AaYEYVht0H,
H9DN5bkWWn,Mon Dec 16 2019 11:46:47 GMT+0700 (Indochina Time),Mon Dec 16 2019 11:47:15 GMT+0700 (Indochina Time),null,Administrative Services and Facilities Managers,10-Nov,BqetY0yG5F,
sgn4EJ5Vnu,Mon Dec 16 2019 11:46:55 GMT+0700 (Indochina Time),Mon Dec 16 2019 11:47:23 GMT+0700 (Indochina Time),null,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",25-3010,czIHdFw3dF,
tGwuno5jhO,Mon Dec 16 2019 11:46:47 GMT+0700 (Indochina Time),Mon Dec 16 2019 11:47:15 GMT+0700 (Indochina Time),null,Advertising and Promotions Managers,10-Nov,TyASnZQARe,
FbFvPQYz0i,Mon Dec 16 2019 11:47:02 GMT+0700 (Indochina Time),Mon Dec 16 2019 11:47:31 GMT+0700 (Indochina Time),null,Advertising Sales Agents,41-3010,fNFeKD586p,
60N9hP3TA3,Mon Dec 16 2019 11:46:51 GMT+0700 (Indochina Time),Mon Dec 16 2019 11:47:18 GMT+0700 (Indochina Time),null,Aerospace Engineers,17-2010,tvxz9DcNmv,
PDUBgTo1fQ,Mon Dec 16 2019 11:46:49 GMT+0700 (Indochina Time),Mon Dec 16 2019 11:47:16 GMT+0700 (Indochina Time),null,"Agents and Business Managers of Artists, Performers, and Athletes",13-1010,LvfuI3nUNJ,
paXM0wX8rv,Mon Dec 16 2019 11:46:53 GMT+0700 (Indochina Time),Mon Dec 16 2019 11:47:20 GMT+0700 (Indochina Time),null,Agricultural and Food Science Technicians,19-4010,g65RqINJSf,
FzESjTVrI3,Mon Dec 16 2019 11:46:52 GMT+0700 (Indochina Time),Mon Dec 16 2019 11:47:19 GMT+0700 (Indochina Time),null,Agricultural and Food Scientists,19-1010,sd9tP58XWQ,
gE3AfiJqT9,Mon Dec 16 2019 11:46:51 GMT+0700 (Indochina Time),Mon Dec 16 2019 11:47:19 GMT+0700 (Indochina Time),null,Agricultural Engineers,17-2020,tvxz9DcNmv,
nIFSnZN3gB,Mon Dec 16 2019 11:47:05 GMT+0700 (Indochina Time),Mon Dec 16 2019 11:47:33 GMT+0700 (Indochina Time),null,Agricultural Inspectors,45-2010,Q2NAMw10G5,
cKC012HhT5,Mon Dec 16 2019 11:47:12 GMT+0700 (Indochina Time),Mon Dec 16 2019 11:47:41 GMT+0700 (Indochina Time),null,Air Traffic Controllers and Airfield Operations Specialists,53-2020,hVsorOfQmt,
v8ewev1IAx,Mon Dec 16 2019 11:47:08 GMT+0700 (Indochina Time),Mon Dec 16 2019 11:47:36 GMT+0700 (Indochina Time),null,Aircraft Mechanics and Service Technicians,49-3010,g9MtBg06Wh,
HeMIngOMqD,Mon Dec 16 2019 11:47:12 GMT+0700 (Indochina Time),Mon Dec 16 2019 11:47:41 GMT+0700 (Indochina Time),null,Aircraft Pilots and Flight Engineers,53-2010,hVsorOfQmt,
07liresbwE,Mon Dec 16 2019 11:47:09 GMT+0700 (Indochina Time),Mon Dec 16 2019 11:47:38 GMT+0700 (Indochina Time),null,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",51-2010,rcSzzeidBc,
ys9Vr7uaU9,Mon Dec 16 2019 11:47:13 GMT+0700 (Indochina Time),Mon Dec 16 2019 11:47:41 GMT+0700 (Indochina Time),null,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",53-3010,IHUoHTI0gg,
CvcBpo62E4,Mon Dec 16 2019 11:47:05 GMT+0700 (Indochina Time),Mon Dec 16 2019 11:47:33 GMT+0700 (Indochina Time),null,Animal Breeders,45-2020,Q2NAMw10G5,
8egdHp250M,Mon Dec 16 2019 11:47:02 GMT+0700 (Indochina Time),Mon Dec 16 2019 11:47:30 GMT+0700 (Indochina Time),null,Animal Caretakers,39-2020,X4atb5vvED,
vHniH2D2x5,Mon Dec 16 2019 11:47:00 GMT+0700 (Indochina Time),Mon Dec 16 2019 11:47:28 GMT+0700 (Indochina Time),null,Animal Control Workers,33-9010,imSi8zVWWy,
Pq8FF0YAxK,Mon Dec 16 2019 11:47:02 GMT+0700 (Indochina Time),Mon Dec 16 2019 11:47:30 GMT+0700 (Indochina Time),null,Animal Trainers,39-2010,X4atb5vvED,
14jek54HM6,Mon Dec 16 2019 11:46:51 GMT+0700 (Indochina Time),Mon Dec 16 2019 11:47:18 GMT+0700 (Indochina Time),null,"Architects, Except Naval",17-1010,EKy0bxLYaj,
NTuOQopGxk,Mon Dec 16 2019 11:46:49 GMT+0700 (Indochina Time),Mon Dec 16 2019 11:47:16 GMT+0700 (Indochina Time),null,Architectural and Engineering Managers,Nov-40,YpvGY7IuFc,
tlgKAS55dW,Mon Dec 16 2019 11:46:55 GMT+0700 (Indochina Time),Mon Dec 16 2019 11:47:23 GMT+0700 (Indochina Time),null,"Archivists, Curators, and Museum Technicians",25-4010,rDnSXXfG3Y,
2CARmz2wLu,Mon Dec 16 2019 11:46:56 GMT+0700 (Indochina Time),Mon Dec 16 2019 11:47:24 GMT+0700 (Indochina Time),null,Artists and Related Workers,27-1010,yvvVVE9PTt,
QijWcrJ5J3,Mon Dec 16 2019 11:46:55 GMT+0700 (Indochina Time),Mon Dec 16 2019 11:47:22 GMT+0700 (Indochina Time),null,"Arts, Communications, History, and Humanities Teachers, Postsecondary",25-1120,NaAEWDaKLO,
CjC3r8kca9,Mon Dec 16 2019 11:46:52 GMT+0700 (Indochina Time),Mon Dec 16 2019 11:47:20 GMT+0700 (Indochina Time),null,Astronomers and Physicists,19-2010,LJuInvaBhL,
