SOCDetailedGroup,ACL,code,updatedAt,definition,jobs,DetailedGroupTitle,createdAt,broadGroup,STEMGroups
9NJq5Xvttt,null,13-2011,Mon Dec 16 2019 13:35:39 GMT+0700 (Indochina Time),"Examine, analyze, and interpret accounting records to prepare financial statements, give advice, or audit and evaluate statements prepared by others. Install or advise on systems of recording costs or other financial and budgetary data. Excludes “Tax Examiners and Collectors, and Revenue Agents” (13-2081).",,Accountants and Auditors,Mon Dec 16 2019 11:46:50 GMT+0700 (Indochina Time),B0dFm3yqpB,
2I2Gw90Xyc,null,27-2011,Mon Dec 16 2019 13:35:44 GMT+0700 (Indochina Time),"Play parts in stage, television, radio, video, or film productions, or other settings for entertainment, information, or instruction. Interpret serious or comic role by speech, gesture, and body movement to entertain or inform audience. May dance and sing.",,Actors,Mon Dec 16 2019 11:46:56 GMT+0700 (Indochina Time),CigMx3DeOk,
O5BDdJzzCe,null,15-2011,Mon Dec 16 2019 13:35:40 GMT+0700 (Indochina Time),"Analyze statistical data, such as mortality, accident, sickness, disability, and retirement rates and construct probability tables to forecast risk and liability for payment of future benefits. May ascertain insurance rates required and cash reserves necessary to ensure payment of future benefits.",,Actuaries,Mon Dec 16 2019 11:46:51 GMT+0700 (Indochina Time),jm3hfbGqEQ,
hkhbwIg9CA,null,29-1291,Mon Dec 16 2019 13:35:45 GMT+0700 (Indochina Time),"Diagnose, treat, and prevent disorders by stimulating specific acupuncture points within the body using acupuncture needles. May also use cups, nutritional supplements, therapeutic massage, acupressure, and other alternative health therapies. Excludes “Chiropractors” (29-1011).",,Acupuncturists,Mon Dec 16 2019 11:46:59 GMT+0700 (Indochina Time),Jo3LNbAkVT,
zqXKPwBGFZ,null,51-9191,Mon Dec 16 2019 13:35:56 GMT+0700 (Indochina Time),"Operate or tend bonding machines that use adhesives to join items for further processing or to form a completed product. Processes include joining veneer sheets into plywood; gluing paper; or joining rubber and rubberized fabric parts, plastic, simulated leather, or other materials. Excludes “Shoe Machine Operators and Tenders” (51-6042).",,Adhesive Bonding Machine Operators and Tenders,Mon Dec 16 2019 11:47:12 GMT+0700 (Indochina Time),eGk7GhQwGG,
e35LlgUGy9,null,23-1021,Mon Dec 16 2019 13:35:42 GMT+0700 (Indochina Time),"Conduct hearings to recommend or make decisions on claims concerning government programs or other government-related matters. Determine liability, sanctions, or penalties, or recommend the acceptance or rejection of claims or settlements. Excludes “Arbitrators, Mediators, and Conciliators” (23-1022).",,"Administrative Law Judges, Adjudicators, and Hearing Officers",Mon Dec 16 2019 11:46:54 GMT+0700 (Indochina Time),XBSkDyoiOU,
iPMXE4twHB,null,12-Nov,Mon Dec 16 2019 13:35:39 GMT+0700 (Indochina Time),"Plan, direct, or coordinate one or more administrative services of an organization, such as records and information management, mail distribution, and other office support services. Medical records administrators are included in “Medical and Health Services Managers” (11-9111). Excludes “Facilities Managers” (11-3013) and “Purchasing Managers” (11-3061).",,Administrative Services Managers,,H9DN5bkWWn,
H2FPaeE4nt,null,25-3011,Mon Dec 16 2019 13:35:43 GMT+0700 (Indochina Time),"Teach or instruct out-of-school youths and adults in basic education, literacy, or English as a Second Language classes, or in classes for earning a high school equivalency credential.",,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",Mon Dec 16 2019 11:46:55 GMT+0700 (Indochina Time),sgn4EJ5Vnu,
FR04wGR9Dd,null,11-Nov,Mon Dec 16 2019 13:35:39 GMT+0700 (Indochina Time),"Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or giveaways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis.",,Advertising and Promotions Managers,Mon Dec 16 2019 11:46:47 GMT+0700 (Indochina Time),tGwuno5jhO,
rNdq9Y3HgY,null,41-3011,Mon Dec 16 2019 13:35:48 GMT+0700 (Indochina Time),"Sell or solicit advertising space, time, or media in publications, signage, TV, radio, or Internet establishments or public spaces.",,Advertising Sales Agents,Mon Dec 16 2019 11:47:02 GMT+0700 (Indochina Time),FbFvPQYz0i,
4ghVbpD17U,null,17-3021,Mon Dec 16 2019 13:35:40 GMT+0700 (Indochina Time),"Operate, install, adjust, and maintain integrated computer/communications systems, consoles, simulators, and other data acquisition, test, and measurement instruments and equipment, which are used to launch, track, position, and evaluate air and space vehicles. May record and interpret test data.",,Aerospace Engineering and Operations Technologists and Technicians,Mon Dec 16 2019 11:46:52 GMT+0700 (Indochina Time),rCkFEN4c3H,
ilK3p3NSvw,null,17-2011,Mon Dec 16 2019 13:35:40 GMT+0700 (Indochina Time),"Perform engineering duties in designing, constructing, and testing aircraft, missiles, and spacecraft. May conduct basic and applied research to evaluate adaptability of materials and equipment to aircraft design and manufacture. May recommend improvements in testing equipment and techniques.",,Aerospace Engineers,Mon Dec 16 2019 11:46:51 GMT+0700 (Indochina Time),60N9hP3TA3,
hdM6p9aQ5t,null,13-1011,Mon Dec 16 2019 13:35:39 GMT+0700 (Indochina Time),"Represent and promote artists, performers, and athletes in dealings with current or prospective employers. May handle contract negotiation and other business matters for clients.",,"Agents and Business Managers of Artists, Performers, and Athletes",Mon Dec 16 2019 11:46:49 GMT+0700 (Indochina Time),PDUBgTo1fQ,
LDL631HwiT,null,17-2021,Mon Dec 16 2019 13:35:40 GMT+0700 (Indochina Time),"Apply knowledge of engineering technology and biological science to agricultural problems concerned with power and machinery, electrification, structures, soil and water conservation, and processing of agricultural products.",,Agricultural Engineers,Mon Dec 16 2019 11:46:51 GMT+0700 (Indochina Time),gE3AfiJqT9,
5xOyqu5l9J,null,45-2091,Mon Dec 16 2019 13:35:50 GMT+0700 (Indochina Time),"Drive and control equipment to support agricultural activities such as tilling soil; planting, cultivating, and harvesting crops; feeding and herding livestock; or removing animal waste. May perform tasks such as crop baling or hay bucking. May operate stationary equipment to perform post-harvest tasks such as husking, shelling, threshing, and ginning.",,Agricultural Equipment Operators,Mon Dec 16 2019 11:47:06 GMT+0700 (Indochina Time),5obl35Rey8,
