objectId,createdAt,updatedAt,ACL,code,title,minorGroups
TcflZc5P0y,Mon Dec 16 2019 11:46:47 GMT+0700 (Indochina Time),Mon Dec 16 2019 11:47:15 GMT+0700 (Indochina Time),null,11-0000,Management Occupations,
QefrkFmSPg,Mon Dec 16 2019 11:46:49 GMT+0700 (Indochina Time),Mon Dec 16 2019 11:47:16 GMT+0700 (Indochina Time),null,13-0000,Business and Financial Operations Occupations,
JqViXQ3Jxn,Mon Dec 16 2019 11:46:50 GMT+0700 (Indochina Time),Mon Dec 16 2019 11:47:18 GMT+0700 (Indochina Time),null,15-0000,Computer and Mathematical Occupations,
bLMdEqd3gH,Mon Dec 16 2019 11:46:51 GMT+0700 (Indochina Time),Mon Dec 16 2019 11:47:18 GMT+0700 (Indochina Time),null,17-0000,Architecture and Engineering Occupations,
CrlQtcZwHY,Mon Dec 16 2019 11:46:52 GMT+0700 (Indochina Time),Mon Dec 16 2019 11:47:19 GMT+0700 (Indochina Time),null,19-0000,"Life, Physical, and Social Science Occupations",
0GHAXsA914,Mon Dec 16 2019 11:46:53 GMT+0700 (Indochina Time),Mon Dec 16 2019 11:47:21 GMT+0700 (Indochina Time),null,21-0000,Community and Social Service Occupations,
73Rh3cRY3u,Mon Dec 16 2019 11:46:54 GMT+0700 (Indochina Time),Mon Dec 16 2019 11:47:21 GMT+0700 (Indochina Time),null,23-0000,Legal Occupations,
kMreaVCWMc,Mon Dec 16 2019 11:46:54 GMT+0700 (Indochina Time),Mon Dec 16 2019 11:47:22 GMT+0700 (Indochina Time),null,25-0000,Educational Instruction and Library Occupations,
iS6Yu81xrT,Mon Dec 16 2019 11:46:56 GMT+0700 (Indochina Time),Mon Dec 16 2019 11:47:24 GMT+0700 (Indochina Time),null,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",
wzvN0X3wYw,Mon Dec 16 2019 11:46:57 GMT+0700 (Indochina Time),Mon Dec 16 2019 11:47:25 GMT+0700 (Indochina Time),null,29-0000,Healthcare Practitioners and Technical Occupations,
prhJzF7Ouc,Mon Dec 16 2019 11:46:59 GMT+0700 (Indochina Time),Mon Dec 16 2019 11:47:27 GMT+0700 (Indochina Time),null,31-0000,Healthcare Support Occupations,
b2TB7N9CK6,Mon Dec 16 2019 11:47:00 GMT+0700 (Indochina Time),Mon Dec 16 2019 11:47:28 GMT+0700 (Indochina Time),null,33-0000,Protective Service Occupations,
Br5HgrCsY4,Mon Dec 16 2019 11:47:00 GMT+0700 (Indochina Time),Mon Dec 16 2019 11:47:28 GMT+0700 (Indochina Time),null,35-0000,Food Preparation and Serving Related Occupations,
DsNv1FDLc8,Mon Dec 16 2019 11:47:01 GMT+0700 (Indochina Time),Mon Dec 16 2019 11:47:29 GMT+0700 (Indochina Time),null,37-0000,Building and Grounds Cleaning and Maintenance Occupations,
ADy8pM1OK5,Mon Dec 16 2019 11:47:01 GMT+0700 (Indochina Time),Mon Dec 16 2019 11:47:29 GMT+0700 (Indochina Time),null,39-0000,Personal Care and Service Occupations,
hVEOLq7r6Y,Mon Dec 16 2019 11:47:02 GMT+0700 (Indochina Time),Mon Dec 16 2019 11:47:31 GMT+0700 (Indochina Time),null,41-0000,Sales and Related Occupations,
dVDRUBofIQ,Mon Dec 16 2019 11:47:03 GMT+0700 (Indochina Time),Mon Dec 16 2019 11:47:31 GMT+0700 (Indochina Time),null,43-0000,Office and Administrative Support Occupations,
8Fnb5DwrMV,Mon Dec 16 2019 11:47:05 GMT+0700 (Indochina Time),Mon Dec 16 2019 11:47:33 GMT+0700 (Indochina Time),null,45-0000,"Farming, Fishing, and Forestry Occupations",
ckV1mU5Izx,Mon Dec 16 2019 11:47:06 GMT+0700 (Indochina Time),Mon Dec 16 2019 11:47:33 GMT+0700 (Indochina Time),null,47-0000,Construction and Extraction Occupations,
Bl8aFVxcbC,Mon Dec 16 2019 11:47:08 GMT+0700 (Indochina Time),Mon Dec 16 2019 11:47:36 GMT+0700 (Indochina Time),null,49-0000,"Installation, Maintenance, and Repair Occupations",
XpJFfRGRLR,Mon Dec 16 2019 11:47:09 GMT+0700 (Indochina Time),Mon Dec 16 2019 11:47:37 GMT+0700 (Indochina Time),null,51-0000,Production Occupations,
mGW3obcUiV,Mon Dec 16 2019 11:47:12 GMT+0700 (Indochina Time),Mon Dec 16 2019 11:47:41 GMT+0700 (Indochina Time),null,53-0000,Transportation and Material Moving Occupations,
E149z57Cq9,Mon Dec 16 2019 11:47:14 GMT+0700 (Indochina Time),Mon Dec 16 2019 11:47:43 GMT+0700 (Indochina Time),null,55-0000,Military Specific Occupations,
