,Title,Company,Location,Link,Review
0,"new
Research Engineer",Natural Resources Canada,"Ottawa, ON•Temporarily Remote",https://ca.indeed.com/rc/clk?jk=eb2fccf5a77919f2&fccid=70ae16371d561945&vjs=3,4.1
1,"new
Jr. Biomedical Engineer",Parados Cerebral Solutions,"Fredericton, NB",https://ca.indeed.com/rc/clk?jk=372ba8b1eccf08fb&fccid=dd616958bd9ddc12&vjs=3,None
2,Analytics Engineer,Wattpad,"Toronto, ON+2 locations•Remote",https://ca.indeed.com/rc/clk?jk=c8f943c7779145bf&fccid=ea2f3473c53cb525&vjs=3,4.5
3,Analytics Engineer,Clearco,Ontario•Remote,https://ca.indeed.com/rc/clk?jk=b449bed530c32c2e&fccid=4799ed9185c0edc2&vjs=3,None
4,Data and Analytics (D&A) Data Engineer,Roche,"Mississauga, ON",https://ca.indeed.com/rc/clk?jk=53626b21498e7a96&fccid=bca1c8ed48c3b338&vjs=3,4.2
5,"Data Engineer, Advanced Analytics",Coca-Cola Canada Bottling Limited,"Toronto, ON•Remote",https://ca.indeed.com/rc/clk?jk=87009def6568ae75&fccid=d836e94cec8a7fbd&vjs=3,3.5
6,Analytics Engineer,HomeX,"Toronto, ON•Remote",https://ca.indeed.com/rc/clk?jk=6dda593c648efa60&fccid=8eda94088198baeb&vjs=3,None
7,Product Analytics Engineer,StackAdapt,"Toronto, ON•Remote",https://ca.indeed.com/rc/clk?jk=07e990e2c880841b&fccid=8125fd19a28b99fe&vjs=3,4.5
8,"new
Jr. Mechatronics Engineer",Parados Cerebral Solutions,"Fredericton, NB",https://ca.indeed.com/rc/clk?jk=1f112216ced60636&fccid=dd616958bd9ddc12&vjs=3,None
9,Data Engineer - Analytics,Plenty of Fish,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=4ab947ec217383f9&fccid=1d127e18b9a4bd47&vjs=3,4.2
10,Analytics Engineer,Plooto,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=f0e241023c8206ff&fccid=1c1238c880367e47&vjs=3,None
11,Analytics Engineer,Napkyn Analytics,Remote,https://ca.indeed.com/rc/clk?jk=854b5c507386f039&fccid=8f86fe8f27644e37&vjs=3,None
12,"new
Building Engineer - Facilities Management",University Hospital,"London, ON",https://ca.indeed.com/rc/clk?jk=9cbe688f6724ef0a&fccid=4dbdf983b5e4b3c7&vjs=3,3.9
13,"new
Data Engineer",Niagara Region,"Niagara, ON•Remote",https://ca.indeed.com/rc/clk?jk=fe58a5a116b11afc&fccid=b7748d8d3ec813ec&vjs=3,3.4
14,"new
Business Intelligence Engineer","AMZN CAN Fulfillment Svcs, ULC","Vancouver, BC",https://ca.indeed.com/rc/clk?jk=956817d14aeab527&fccid=fe2d21eef233e94a&vjs=3,3.5
15,"Data Engineer, Financial Crime Analytics",Deloitte,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=c12f2b3eece53b87&fccid=9e215d88a6b33622&vjs=3,4.0
16,"new
Electromagnetic Engineer",Baker Hughes,"Calgary, AB",https://ca.indeed.com/rc/clk?jk=c14bc93a557c07fc&fccid=f4c6ba597fc7aa75&vjs=3,4.0
17,Junior Engineer - Logistics Simulation & Business Intelligen...,Ausenco,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=eec8c48000de3b07&fccid=c8c37aa2b92ee568&vjs=3,4.0
18,"new
Data Engineer",Relogix,"Toronto, ON•Remote",https://ca.indeed.com/company/Relogix/jobs/Data-Engineer-420e006d66046a73?fccid=20c3bc2bb3066b33&vjs=3,2.3
19,"new
Quality Engineer I",TD Bank,"Toronto, ON+2 locations",https://ca.indeed.com/rc/clk?jk=0fde082b55faa486&fccid=d7114f1cac8d0711&vjs=3,3.8
20,QA Engineer,Viafoura,"Toronto, ON•Remote",https://ca.indeed.com/company/Viafoura/jobs/QA-Engineer-d9daf92b65937a4e?fccid=2a6288d6e2666e05&vjs=3,None
21,"new
Junior Data Analyst",O2E Brands,"Vancouver, BC•Remote",https://ca.indeed.com/rc/clk?jk=1fd5cc124fd8fcaf&fccid=47b2425a6076f68f&vjs=3,4.1
22,"Specialist, Data and Analytics",Air Canada,"Dorval, QC",https://ca.indeed.com/rc/clk?jk=75b686e88b6e170f&fccid=fb805c6a170f5f18&vjs=3,3.8
23,"new
Customer Support Engineer",Moz,"Vancouver, BC•Remote",https://ca.indeed.com/rc/clk?jk=a8fce722e02d0231&fccid=de3602e7105e2273&vjs=3,None
24,"new
Data Engineer",Cooke Aquaculture Inc.,"Saint John, NB",https://ca.indeed.com/rc/clk?jk=d01a38559aa035e1&fccid=72c7f21698b207b9&vjs=3,3.1
25,"new
computer software engineer",Tiger Analytics Inc.,"Toronto, ON•Remote",https://ca.indeed.com/rc/clk?jk=76ee4a4821d7aec8&fccid=cba01270e96bb012&vjs=3,None
26,Test Engineer (Analytics and Diagnostics),Ford Motor Company,"Waterloo, ON",https://ca.indeed.com/rc/clk?jk=1a9f3561568ab989&fccid=761c44c17d636bfe&vjs=3,4.1
27,Data Analytics Engineer (Remote),TradeRev,"Toronto, ON•Remote",https://ca.indeed.com/rc/clk?jk=0556e61d56071172&fccid=bf43832ebb455ed2&vjs=3,3.3
28,Data & Analytics - Senior Analytics Engineer,Aritzia,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=98bd204bc93277dc&fccid=230bf53df7c46c1a&vjs=3,3.4
29,"new
Data Engineer",Workday,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=eb15f0fd83c84757&fccid=9ac45d217f8342a1&vjs=3,4.0
30,Quality/Test Engineer (Opportunity for international candida...,CGI Inc,"Atlantic, NS",https://ca.indeed.com/rc/clk?jk=cf10bb9e1e455b50&fccid=43a69183767d4301&vjs=3,3.6
31,"Data Engineer, NA Integrated Analytics (2022 New Grad – Toro...",Munich RE,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=e0c76755c6cc5b91&fccid=d4448c192a012f32&vjs=3,4.0
32,"Machine Learning Engineer, Data Enablement, Advanced Analyti...",CIBC,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=33db8d4e4ae53583&fccid=f99648405c7e9e3a&vjs=3,3.8
33,QA Engineer,Stingray,"Montréal, QC",https://ca.indeed.com/rc/clk?jk=5a818e86d6865aac&fccid=e245d08cd5fe18e0&vjs=3,3.8
34,Data Analytics/Engineer (Industrial Automation/ Controls Eng...,Multimatic,"Markham, ON",https://ca.indeed.com/rc/clk?jk=51f4fd762f73f7d2&fccid=cf92688814c05426&vjs=3,2.9
35,QA Engineer [REMOTE],Viafoura Inc.,"Toronto, ON•Remote",https://ca.indeed.com/company/Viafoura-Inc./jobs/QA-Engineer-8f1d5543867615b0?fccid=382d52309d5d13f2&vjs=3,5.0
