,Title,Company,Location,Link,Review
0,"new
Chat Representative (Remote) | Starting at $14.75",Teleperformance,"Montréal, QC•Remote",https://ca.indeed.com/rc/clk?jk=168e208ff3e2b14b&fccid=02e72612c7c0d1ce&vjs=3,3.5
1,"new
Data Analytics Staff",EY,"Vancouver, BC+1 location",https://ca.indeed.com/rc/clk?jk=3647629d00802207&fccid=1544766d4c2915b0&vjs=3,4.0
2,"Business Analyst, Full-Time 2022 Grads - All Universities",Capital One,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=94e591423d4e8d70&fccid=b85c5070c3d3d8c8&vjs=3,3.9
3,"new
Analyst, Reporting and Analytics",Deloitte,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=0c5795c4dd77173f&fccid=9e215d88a6b33622&vjs=3,4.0
4,Analytics Solutions Intern,BOEING,"Vancouver, BC•Remote",https://ca.indeed.com/rc/clk?jk=8f1116f6e642eeef&fccid=edae4285faf6c2f0&vjs=3,3.9
5,"new
Business Analytics Analyst",OLG,"Sault Ste. Marie, ON•Remote",https://ca.indeed.com/rc/clk?jk=e487fcc154c92ce1&fccid=2b3f8ae0103eedd1&vjs=3,3.6
6,Data Analytics and Reporting Specialist,Butterfield Support Services (Halifax) Limited,"Halifax, NS",https://ca.indeed.com/rc/clk?jk=a9a8d32103ee79a3&fccid=91f6699417df0ecb&vjs=3,None
7,Analytics Analyst - Entry Level,CGI Inc,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=6107447ecce77b2a&fccid=43a69183767d4301&vjs=3,3.6
8,"Analyst, Risk Advisory - Winter 2022 or Summer 2022 Co-op/In...",Deloitte,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=4fa42edbac28d826&fccid=9e215d88a6b33622&vjs=3,4.0
9,"new
Director, Strategy & Analytics",Loblaw Companies Limited,"Brampton, ON",https://ca.indeed.com/rc/clk?jk=4405675f81cb2a2c&fccid=bc30630cfcc120d4&vjs=3,3.5
10,"new
Data and Analytics Technologist",City of Richmond Hill,"Richmond Hill, ON",https://ca.indeed.com/rc/clk?jk=8c1716bf32be1df3&fccid=dd07620fcfc833ab&vjs=3,4.1
11,"new
Digital Analytics Analyst",Cineplex,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=ab7c71709afe0b1f&fccid=01a5b39f260f43cd&vjs=3,3.7
12,"new
Geospatial Analyst",City of Calgary,"Calgary, AB",https://ca.indeed.com/rc/clk?jk=8b264cc00e8cf7bd&fccid=4fac8d665ce49365&vjs=3,4.0
13,"new
HR Analytics Coordinator, Deloitte Global People Advisory",Deloitte,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=56842c1864e4b770&fccid=9e215d88a6b33622&vjs=3,4.0
14,"new
Analyst, Analytics & Optimization",WestJet,"Calgary, AB•Remote",https://ca.indeed.com/rc/clk?jk=31164e53b6186c20&fccid=f18c1d5f3c78c7ca&vjs=3,3.9
15,"new
Associate, Analytics & Reporting Specialist",LifeWorks,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=76bded046f11afde&fccid=f0b9f94cc2f932db&vjs=3,3.1
16,"new
Workforce Analytics Specialist",Vancouver Coastal Health,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=8eac326c8526c4d1&fccid=3513825c36972737&vjs=3,3.8
17,Strategy Intern (Monetization Office) - Summer 2022,TikTok,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=5a8cffef82cbb308&fccid=caed318a9335aac0&vjs=3,None
18,"new
Analyst, Analytics & Insights",Equitable Bank,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=f64a4408cb64456e&fccid=622204ff168f29bd&vjs=3,4.1
19,"new
Viewer Insights Analyst",Disney Media & Entertainment Distribution,"Kelowna, BC",https://ca.indeed.com/rc/clk?jk=07b1fc253ea499df&fccid=c3092a91bcb42ca9&vjs=3,None
20,"Business Intelligence, Data Analytics & Insights",BRP,"Valcourt, QC",https://ca.indeed.com/rc/clk?jk=95e1c444be8750f2&fccid=a7dc48a474db29d3&vjs=3,3.9
21,Business Analytics Specialist I,InComm Payments,"Mississauga, ON",https://ca.indeed.com/rc/clk?jk=5d019dcf647bd44e&fccid=a3a0385d8875b483&vjs=3,None
22,"new
Manager, Customer Universe & Promo Analytics",Canadian Tire,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=754bcf6bd71f594f&fccid=2e16043297423070&vjs=3,3.6
23,"new
Merchant Success Manager (Remote, Canada)",Shopify,"Ottawa, ON•Remote",https://ca.indeed.com/rc/clk?jk=775ab2bb0d6d413a&fccid=d5a5824be27ba831&vjs=3,3.9
24,Sr. Analytics Customer Experience Specialist,"Amazon Web Services Canada, In","Toronto, ON",https://ca.indeed.com/rc/clk?jk=f0e14b07994b7294&fccid=fe2d21eef233e94a&vjs=3,3.5
25,"Business Analyst, Cloud Support Data and Analytics",Google,"Waterloo, ON",https://ca.indeed.com/rc/clk?jk=4168c98139005a37&fccid=a5b4499d9e91a5c6&vjs=3,4.3
26,"Data Analyst, Financial Crime Analytics",Deloitte,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=1b70863a008787ed&fccid=9e215d88a6b33622&vjs=3,4.0
