,Title,Company,Location,Link,Review
0,Data/Business Intelligence Analyst (Remote),Mero,"Toronto, ON•Remote",https://ca.indeed.com/company/Mero/jobs/Data-Business-Intelligence-Analyst-b26bf3d2c095f767?fccid=5cb3320e6428b117&vjs=3,None
1,"new
Data Analyst",Intact,"Ajax, ON+2 locations•Remote",https://ca.indeed.com/rc/clk?jk=0c9ffa6d877d581d&fccid=a614b30520ebe6c9&vjs=3,3.8
2,"new
Junior Data Analyst",O2E Brands,"Vancouver, BC•Remote",https://ca.indeed.com/rc/clk?jk=1fd5cc124fd8fcaf&fccid=47b2425a6076f68f&vjs=3,4.1
3,"new
Data Analyst",Carbon Engineering Ltd.,"Vancouver, BC•Remote",https://ca.indeed.com/rc/clk?jk=868d3c1024596e62&fccid=cdb8d8e586239b40&vjs=3,None
4,"new
Data Analyst",Shaw Communications,"Calgary, AB•Remote",https://ca.indeed.com/rc/clk?jk=e19656f063378774&fccid=0261b4753802fd26&vjs=3,3.8
5,Data Analyst Intern,Geotab,"Oakville, ON•Remote",https://ca.indeed.com/rc/clk?jk=52509b27b1d76cf4&fccid=31921a4bf53a6026&vjs=3,3.1
6,Data Science Analyst (Remote),Yelp,"Toronto, ON•Remote",https://ca.indeed.com/rc/clk?jk=52df01128134e3f6&fccid=0e94073a1c937bd1&vjs=3,None
7,"new
Data Analyst Health Surveillance - BC Centre for Disease Con...",PHSA,"Vancouver, BC•Remote",https://ca.indeed.com/rc/clk?jk=4ea0796f9f9c8424&fccid=f66f721a44de3765&vjs=3,3.2
8,Data Analyst,1Password,Remote,https://ca.indeed.com/rc/clk?jk=217db3489db0be49&fccid=2b5657b7f7a439d2&vjs=3,None
9,"Data Analyst, Competitive Intelligence",Klue,"Vancouver, BC•Remote",https://ca.indeed.com/rc/clk?jk=4ed398705822e85f&fccid=97d82e5ee0248fef&vjs=3,5.0
10,"new
database analyst",Federation of Calgary Communities,"Calgary, AB•Remote",https://ca.indeed.com/rc/clk?jk=b142a91bd5dbbd28&fccid=5ac08e265eb79556&vjs=3,2.5
11,"Data Analyst, Business Intelligence",Opencare,Remote,https://ca.indeed.com/company/Opencare/jobs/Data-Analyst-7ce204fb2579b341?fccid=41c9357f422a7ab3&vjs=3,None
12,Product Data Analyst,Affinity.co,Remote,https://ca.indeed.com/company/Affinity.co/jobs/Product-Data-Analyst-959b07d20a322bf0?fccid=1b32be4e9bf5cb2a&vjs=3,None
13,Data Analyst,CCTS-CPRST,"Ottawa, ON•Temporarily Remote",https://ca.indeed.com/company/CCTS--CPRST/jobs/Data-Analyst-f68c403a00d4d1ac?fccid=77704ddb195cdf31&vjs=3,None
14,marketing analyst,PolicyMe,"York, ON•Remote",https://ca.indeed.com/rc/clk?jk=f7a472fb6b2b20b8&fccid=2d44499fee45dd96&vjs=3,None
15,systems analyst,AdamSea Inc.,"Vancouver, BC•Remote",https://ca.indeed.com/rc/clk?jk=20bc17ad1049ecc9&fccid=cbf0818f2dfce14c&vjs=3,None
16,Business Intelligence & Data Analyst,sharethrough,"Toronto, ON+1 location•Remote",https://ca.indeed.com/rc/clk?jk=c5aedf187d115c78&fccid=420b591004b16413&vjs=3,None
17,"new
Lead Data Analyst",G Adventures,Remote,https://ca.indeed.com/company/G-Adventures/jobs/Lead-Data-Analyst-2748024a918848f2?fccid=477b2a4839f9fec6&vjs=3,4.2
18,"Senior Data Analyst, Loyalty Insights",WestJet,"Calgary, AB•Remote",https://ca.indeed.com/rc/clk?jk=3f8d768daafbe8bb&fccid=f18c1d5f3c78c7ca&vjs=3,3.9
19,IT (information technology) business analyst,DAWN CONSULTANCY SERVICES,"North York, ON•Remote",https://ca.indeed.com/rc/clk?jk=179669654fbba636&fccid=91d2217e145e0812&vjs=3,None
20,Data and Training Analyst,Bluedrop Training & Simulation,"Halifax, NS•Remote",https://ca.indeed.com/rc/clk?jk=0d5bbe0c269f5e20&fccid=4e6f311925eac291&vjs=3,4.0
21,"new
Data analyst, Marketing performance",BAM Strategy,"Montréal, QC+2 locations•Remote",https://ca.indeed.com/company/BAM-Strategy/jobs/Data-Analyst-f8b633aada6d26ba?fccid=78c5b8be32adac22&vjs=3,4.3
22,"Data Analyst, Marketing (Remote)",Ada Inc.,"Vancouver, BC+1 location•Remote",https://ca.indeed.com/rc/clk?jk=95e27e7c738cf1e8&fccid=d67c696a16671a91&vjs=3,None
23,Organizational Performance Analyst,NAV Canada,"Ottawa, ON•Remote",https://ca.indeed.com/rc/clk?jk=d6521e221562bd05&fccid=d7901848f773490a&vjs=3,4.2
24,Employer Data Analyst,Ontario Pension Board,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=c455504ae993c37f&fccid=73845b8ec8ecf4cd&vjs=3,4.8
25,"new
Data Analyst 3",Zynga,"Toronto, ON•Temporarily Remote",https://ca.indeed.com/rc/clk?jk=6dab158763903435&fccid=f379417fa48d0010&vjs=3,3.8
26,Data Science Analyst - Canada Remote,Unstoppable Domains,Remote,https://ca.indeed.com/rc/clk?jk=cd2d1a9e6b51891d&fccid=21b1082e21354514&vjs=3,None
27,Data Analyst,PHSA,"Vancouver, BC•Remote",https://ca.indeed.com/rc/clk?jk=5a59aa9d69a39ea4&fccid=f66f721a44de3765&vjs=3,3.2
28,Business Data Analyst,Insurance Bureau of Canada,"Toronto, ON•Remote",https://ca.indeed.com/rc/clk?jk=c455f0d34e9401cd&fccid=14c6223bd7ade2fc&vjs=3,4.4
29,Business Analyst,Ontario Mutual,"Jarvis, ON•Remote",https://ca.indeed.com/rc/clk?jk=918e783a7d3f3dac&fccid=867d3ee2d1f4f0ee&vjs=3,None
30,"new
IT Analyst",National Bank of Canada,"Montréal, QC•Remote",https://ca.indeed.com/rc/clk?jk=b6a1f274c3f94c79&fccid=bb42ba28e525eb20&vjs=3,3.9
31,IT (information technology) business analyst,Muskoka Brewery,"Bracebridge, ON•Remote",https://ca.indeed.com/rc/clk?jk=3f6e5eae643b9bbe&fccid=a40ad994ba63f3de&vjs=3,3.3
32,Linguistic Data Analyst,Getty Images,"Calgary, AB+1 location•Temporarily Remote",https://ca.indeed.com/rc/clk?jk=24e53c18d5bcf201&fccid=c68f858ef73a0c44&vjs=3,3.9
33,Data Analyst - Latin America,Mino Games,"Montréal, QC•Remote",https://ca.indeed.com/rc/clk?jk=0e91e6f6f2bbb131&fccid=cd0eb30c0c661b0d&vjs=3,None
34,information systems business analyst,88 WEBSTUDIO INC.,"Etobicoke, ON•Remote",https://ca.indeed.com/rc/clk?jk=643c03b4dfd855e2&fccid=9b7187b17777dc19&vjs=3,None
35,"new
Business Analyst",Luxoft,Remote,https://ca.indeed.com/rc/clk?jk=cd46c919dd5c6251&fccid=4b841d912d46e4fd&vjs=3,None
36,"new
Product Business Analyst",Numerator,+1 locationRemote,https://ca.indeed.com/rc/clk?jk=dda61add3b157ba4&fccid=11f2ca9fb7278374&vjs=3,3.6
37,GIS Analyst,Arup,"Toronto, ON•Remote",https://ca.indeed.com/rc/clk?jk=e0dbbbfd1da75160&fccid=38c0d5e4f2a99768&vjs=3,4.1
38,BUSINESS INTELLIGENCE ANALYST,Allstate Canada,"Markham, ON•Remote",https://ca.indeed.com/rc/clk?jk=edaec075c69cd8f1&fccid=3a71a4d2f7990a25&vjs=3,3.7
39,"new
Business Analytics Analyst",OLG,"Sault Ste. Marie, ON•Remote",https://ca.indeed.com/rc/clk?jk=e487fcc154c92ce1&fccid=2b3f8ae0103eedd1&vjs=3,3.6
40,Data Analyst,Veeva Systems,"Toronto, ON•Remote",https://ca.indeed.com/rc/clk?jk=421d5ef4b4957014&fccid=353eb997fc901045&vjs=3,None
41,"Data Analyst, Public Cloud Operations",RBC,"Toronto, ON•Remote",https://ca.indeed.com/rc/clk?jk=67cd5b3c3c0ea627&fccid=537b899e30af3338&vjs=3,4.0
42,Analyst - Talent Acquisition,WestJet,"Calgary, AB•Remote",https://ca.indeed.com/rc/clk?jk=3ba6396d0e81d43c&fccid=f18c1d5f3c78c7ca&vjs=3,3.9
