,Title,Company,Location,Link,Review
0,Support Engineer - Power BI,Microsoft,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=da9cc937f77fbfba&fccid=734cb5a01ee60f80&vjs=3,4.2
1,"new
Business Intelligence Engineer",Pinterest,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=314e0541324839f0&fccid=43014b1412e0a7b6&vjs=3,None
2,Analytics Engineer,Wattpad,"Toronto, ON+2 locations•Remote",https://ca.indeed.com/rc/clk?jk=c8f943c7779145bf&fccid=ea2f3473c53cb525&vjs=3,4.5
3,Analytics Engineer,HomeX,"Toronto, ON•Remote",https://ca.indeed.com/rc/clk?jk=6dda593c648efa60&fccid=8eda94088198baeb&vjs=3,None
4,Product Analytics Engineer,StackAdapt,"Toronto, ON•Remote",https://ca.indeed.com/rc/clk?jk=07e990e2c880841b&fccid=8125fd19a28b99fe&vjs=3,4.5
5,Analytics Engineer,Napkyn Analytics,Remote,https://ca.indeed.com/rc/clk?jk=854b5c507386f039&fccid=8f86fe8f27644e37&vjs=3,None
6,Business Intelligence Engineer,"Amazon Web Services Canada, In","Vancouver, BC",https://ca.indeed.com/rc/clk?jk=82dbb996b5f4d682&fccid=fe2d21eef233e94a&vjs=3,3.5
7,Senior Business Intelligence Engineer,Kroll,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=0843160d27526485&fccid=2991547aff717aed&vjs=3,3.5
8,Quantitative Engineer - Global Markets - FAST X-Asset Strats,Goldman Sachs,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=7f835a6415a9e4f8&fccid=16a97ed26c75bf2d&vjs=3,4.0
9,"new
Senior Analyst - Supply Chain",American Eagle Outfitters,"Mississauga, ON",https://ca.indeed.com/rc/clk?jk=461b37cbafedfc90&fccid=dc736c3075273e2c&vjs=3,3.7
10,Building Science Analytics Engineer,RDH,"Burnaby, BC",https://ca.indeed.com/company/RDH/jobs/Building-Science-Analytic-Engineer-1dae1f9f3827b948?fccid=4e78d2b741a1c701&vjs=3,None
11,Senior Technology Business Analyst and Process Engineer,Citi,"Mississauga, ON",https://ca.indeed.com/rc/clk?jk=c7ac88dc8f1cfc83&fccid=5bcd1ef0a7f4fb99&vjs=3,3.9
12,Engineering Business Analyst,Irving Oil,"Saint John, NB",https://ca.indeed.com/rc/clk?jk=cc523690691f5fec&fccid=b41f8b20599d2086&vjs=3,3.8
13,Support Engineer - SQL,Microsoft,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=1d7aeb607b7f2271&fccid=734cb5a01ee60f80&vjs=3,4.2
14,Quantitative Engineer - Global Markets - ION Credit Strats,Goldman Sachs,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=a9b134ee7fd6700e&fccid=16a97ed26c75bf2d&vjs=3,4.0
15,Adobe Analytics Engineer,Bounteous,Canada•Remote,https://ca.indeed.com/rc/clk?jk=3af3ed9060334115&fccid=c26a54d1f7f144b5&vjs=3,None
16,Analyst/Senior Associate - Financial Engineering and Modelin...,Deloitte,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=1841e95410c98f23&fccid=9e215d88a6b33622&vjs=3,4.0
17,Senior Analytics Engineer -Infrastructure,ACV Auctions,Ontario•Remote,https://ca.indeed.com/rc/clk?jk=7e584f69b08d2c37&fccid=6867c53ddcaa8459&vjs=3,None
18,Production Planning Analyst,The Home Depot Canada,"Bolton, ON",https://ca.indeed.com/rc/clk?jk=9a8b09f555521089&fccid=5e437a856d0ab1ba&vjs=3,3.7
19,"new
Senior Business Analyst - Engineering & Platforms Strategic...",BMO Financial Group,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=44ac8e8565259a2f&fccid=3a429036b3725efa&vjs=3,3.8
20,Product Engineering/Snr. Business Analyst,SS&C Technologies,"Toronto, ON•Remote",https://ca.indeed.com/rc/clk?jk=21e7215183695ed0&fccid=e02be59e87cd229c&vjs=3,3.2
21,"new
Analytics Engineer",Forma.ai,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=c57ce3b7b9f454ec&fccid=eccf084c1f840263&vjs=3,4.3
22,"Energy Analyst, Building Analytics Team",Energy Profiles Limited,"Calgary, AB",https://ca.indeed.com/rc/clk?jk=a6a27cde61b5418d&fccid=883aa815594ccefd&vjs=3,None
23,Process Optimization Analyst,American Iron and Metal,"Montréal, QC",https://ca.indeed.com/rc/clk?jk=f6d0d0dbcaf68f54&fccid=b444d75eb84efc9c&vjs=3,2.8
24,"Manager, Analytics Engineering",Carta,"Waterloo, ON",https://ca.indeed.com/rc/clk?jk=c0d299fc608f5801&fccid=9e7dc185cb656f55&vjs=3,None
25,BI Solution Engineer - Customer Success,Dundas Data Visualization,Canada,https://ca.indeed.com/rc/clk?jk=d5bdd6622bc40042&fccid=680b4c8950dd6f3b&vjs=3,None
26,Analytics Engineering Manager,Localcoin,"Toronto, ON•Temporarily Remote",https://ca.indeed.com/rc/clk?jk=943f1c781649ed2f&fccid=890da6efe7e4a890&vjs=3,None
