,Title,Company,Location,Link,Review
0,data scientist,ASTEK Canada Inc.,"Montréal, QC•Remote",https://ca.indeed.com/rc/clk?jk=af84638a85810a4e&fccid=ac1fd6324894c165&vjs=3,None
1,"new
data scientist",Tiger Analytics Inc.,"Toronto, ON•Remote",https://ca.indeed.com/rc/clk?jk=f7fc1a9832ce87e7&fccid=cba01270e96bb012&vjs=3,None
2,"new
Data Science Intern",BOEING,"Vancouver, BC•Remote",https://ca.indeed.com/rc/clk?jk=5d810ce9f2718dde&fccid=edae4285faf6c2f0&vjs=3,3.9
3,"new
data scientist",BluVec Technologies INC,"Burnaby, BC",https://ca.indeed.com/rc/clk?jk=2ef275b9e49c8108&fccid=2f7935311d6630f9&vjs=3,None
4,Data Science Intern,"Analysis Group, Inc.","Montréal, QC",https://ca.indeed.com/rc/clk?jk=325ed18b85962807&fccid=0fc0821efa996180&vjs=3,None
5,data scientist,ICwhatUC Incorporated,"Calgary, AB•Remote",https://ca.indeed.com/rc/clk?jk=ea55f30623585143&fccid=4de447b8b392ca6b&vjs=3,None
6,"new
Developer, Data Science",Bell Canada,"Toronto, ON+1 location",https://ca.indeed.com/rc/clk?jk=4f327473dde4b63e&fccid=b726a5ebc0841dee&vjs=3,3.8
7,Data Science Analyst (Remote),Yelp,"Toronto, ON•Remote",https://ca.indeed.com/rc/clk?jk=52df01128134e3f6&fccid=0e94073a1c937bd1&vjs=3,None
8,Data Science/Machine Learning - Internship/Co-op,Knowtions Research,"Toronto, ON",https://ca.indeed.com/company/Knowtions-Research/jobs/Data-Science-Machine-Learning-ee6fc1bddc64a799?fccid=577bda31d98bdd7c&vjs=3,None
9,"new
Data Analyst (Entry Level)",Jarvis,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=42af005c850840c8&fccid=be1d61a97eeef180&vjs=3,None
10,"Data Scientist, Decision Science",Coursera,Remote,https://ca.indeed.com/rc/clk?jk=7fe92ab23b6471ac&fccid=ef63980be6005ec6&vjs=3,4.3
11,Data/Business Intelligence Analyst (Remote),Mero,"Toronto, ON•Remote",https://ca.indeed.com/company/Mero/jobs/Data-Business-Intelligence-Analyst-b26bf3d2c095f767?fccid=5cb3320e6428b117&vjs=3,None
12,Data Science Consultant - Artificial Intelligence Advisory,PwC,"London, ON",https://ca.indeed.com/rc/clk?jk=0b1a0da35e791c05&fccid=5e964c4afc56b180&vjs=3,4.0
13,Data Science Intern,Geotab,"Oakville, ON•Remote",https://ca.indeed.com/rc/clk?jk=50b518ce27b3eb46&fccid=31921a4bf53a6026&vjs=3,3.1
14,Data Scientist Intern (4 months),IBM Canada,"Mississauga, ON+1 location",https://ca.indeed.com/rc/clk?jk=aa4d6cfc86b70fac&fccid=de71a49b535e21cb&vjs=3,3.9
15,Stage - Data Scientist (Scientifique de données),Paradocs Mountain Software,"Quebec City, QC",https://ca.indeed.com/rc/clk?jk=12ac8329267eb201&fccid=ebe5a4bb96663080&vjs=3,None
16,Statistical Program Data Analyst,York Region,"Newmarket, ON",https://ca.indeed.com/rc/clk?jk=d1f2cc3f0b831663&fccid=f3c54a468b13c9c9&vjs=3,4.2
17,Data Scientist Intern,DRW,"Montréal, QC",https://ca.indeed.com/rc/clk?jk=d5f9fb5ed9eddb8a&fccid=d9e7c4d795860e0c&vjs=3,4.4
18,Data Scientist,Providence Health Care,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=f6e0d7be0bd4b15f&fccid=e98b37c86f8eec83&vjs=3,4.2
19,Bioinformatics Data Science Analyst,University Health Network,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=b2a8d8a2c1fe5117&fccid=2bef55e014d470c4&vjs=3,4.1
20,Data Science Intern,PCL Construction,"Edmonton, AB",https://ca.indeed.com/rc/clk?jk=8e3a96b2670fb4d7&fccid=73c309830cebe205&vjs=3,3.8
21,"new
Data Scientist – Delta One Strats",Morgan Stanley,"Montréal, QC",https://ca.indeed.com/rc/clk?jk=e1a693dec985b01d&fccid=0c39fb2c91742dcf&vjs=3,3.9
22,"Data Scientist, Insights (Remote)",Pelmorex Corp,Remote,https://ca.indeed.com/rc/clk?jk=e9a0ea9fa5adf518&fccid=b2d4328e43e833e5&vjs=3,4.0
23,"new
Data Scientist, Longevity Solutions",RBC,"Mississauga, ON",https://ca.indeed.com/rc/clk?jk=78f51e6fe6686b54&fccid=537b899e30af3338&vjs=3,4.0
24,"new
Data Science Manager (Remote, Canada)",Shopify,"Toronto, ON•Remote",https://ca.indeed.com/rc/clk?jk=dc088e8d79735c4a&fccid=d5a5824be27ba831&vjs=3,3.9
25,"new
Data Scientist 1",IQVIA,Remote,https://ca.indeed.com/rc/clk?jk=63cf005f880eb5f6&fccid=6b7a1dfe07e7f037&vjs=3,3.8
26,Repost - Statistical Data Analyst,York Region,"East Gwillimbury, ON",https://ca.indeed.com/rc/clk?jk=d3be6eedcdd3383f&fccid=f3c54a468b13c9c9&vjs=3,4.2
27,Data Scientist Intern,Geotab,"Oakville, ON•Remote",https://ca.indeed.com/rc/clk?jk=14fa0cedade273f3&fccid=31921a4bf53a6026&vjs=3,3.1
28,"new
Data Analyst",Shaw Communications,"Calgary, AB•Remote",https://ca.indeed.com/rc/clk?jk=e19656f063378774&fccid=0261b4753802fd26&vjs=3,3.8
