,Title,Company,Location,Link,Review
0,data scientist,ASTEK Canada Inc.,"Montréal, QC•Remote",https://ca.indeed.com/rc/clk?jk=af84638a85810a4e&fccid=ac1fd6324894c165&vjs=3,None
1,"new
data scientist",Tiger Analytics Inc.,"Toronto, ON•Remote",https://ca.indeed.com/rc/clk?jk=f7fc1a9832ce87e7&fccid=cba01270e96bb012&vjs=3,None
2,data scientist,ICwhatUC Incorporated,"Calgary, AB•Remote",https://ca.indeed.com/rc/clk?jk=ea55f30623585143&fccid=4de447b8b392ca6b&vjs=3,None
3,"Data Scientist, Insights (Remote)",Pelmorex Corp,Remote,https://ca.indeed.com/rc/clk?jk=e9a0ea9fa5adf518&fccid=b2d4328e43e833e5&vjs=3,4.0
4,"new
Data Scientist 1",IQVIA,Remote,https://ca.indeed.com/rc/clk?jk=63cf005f880eb5f6&fccid=6b7a1dfe07e7f037&vjs=3,3.8
5,"Data Scientist, Decision Science",Coursera,Remote,https://ca.indeed.com/rc/clk?jk=7fe92ab23b6471ac&fccid=ef63980be6005ec6&vjs=3,4.3
6,Data/Business Intelligence Analyst (Remote),Mero,"Toronto, ON•Remote",https://ca.indeed.com/company/Mero/jobs/Data-Business-Intelligence-Analyst-b26bf3d2c095f767?fccid=5cb3320e6428b117&vjs=3,None
7,Data Scientist,Rackspace,Remote,https://ca.indeed.com/rc/clk?jk=1c37b24971c6e011&fccid=b60c9324aeb7df96&vjs=3,None
8,Data Scientist,MobSquad,"Calgary, AB•Remote",https://ca.indeed.com/rc/clk?jk=5bdab81d0a23dccd&fccid=e140fb6d05504c9a&vjs=3,None
9,Data Scientist,Vori Health,Remote,https://ca.indeed.com/rc/clk?jk=c1e2e8e2e923678d&fccid=0258bd41493433c4&vjs=3,None
10,Data Scientist Intern,Geotab,"Oakville, ON•Remote",https://ca.indeed.com/rc/clk?jk=14fa0cedade273f3&fccid=31921a4bf53a6026&vjs=3,3.1
11,Data Science Analyst (Remote),Yelp,"Toronto, ON•Remote",https://ca.indeed.com/rc/clk?jk=52df01128134e3f6&fccid=0e94073a1c937bd1&vjs=3,None
12,Data Scientist (Remote),Yelp,"Toronto, ON•Remote",https://ca.indeed.com/rc/clk?jk=4d9f353a7f25a8da&fccid=0e94073a1c937bd1&vjs=3,None
13,Data Scientist,HomeStars,"Toronto, ON•Remote",https://ca.indeed.com/rc/clk?jk=81cb2961acfa39e2&fccid=d9cd9ef63c694f94&vjs=3,3.2
14,Principal Data Scientist,UKG (Ultimate Kronos Group),Remote,https://ca.indeed.com/rc/clk?jk=362e17bc60dcb089&fccid=0d1386ca25efa609&vjs=3,4.1
15,"new
Data Scientist",Zynga,"Toronto, ON•Temporarily Remote",https://ca.indeed.com/rc/clk?jk=9145384a9c5cea2e&fccid=f379417fa48d0010&vjs=3,3.8
16,"new
Staff Data Scientist (Remote, Canada)",Shopify,"Toronto, ON•Remote",https://ca.indeed.com/rc/clk?jk=564827cd9ec5f33d&fccid=d5a5824be27ba831&vjs=3,3.9
17,Data Scientist,Equifax,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=aa1f2b07f6cafd63&fccid=34c446722f3cf576&vjs=3,3.5
18,"new
Data Scientist",Aviva,"Montréal, QC•Remote",https://ca.indeed.com/rc/clk?jk=c4790eb8167dcb3c&fccid=354f4c12e3c6bd5a&vjs=3,3.8
19,Data Scientist - Biology,Deep Genomics,"Toronto, ON•Remote",https://ca.indeed.com/rc/clk?jk=85b3cd915a86a854&fccid=7439b4dd3d2dd6bc&vjs=3,None
20,"Sr Data Scientist, Machine Learning",Coursera,Remote,https://ca.indeed.com/rc/clk?jk=94dd354b99642a66&fccid=ef63980be6005ec6&vjs=3,4.3
21,"Data Analyst, Business Intelligence",Opencare,Remote,https://ca.indeed.com/company/Opencare/jobs/Data-Analyst-7ce204fb2579b341?fccid=41c9357f422a7ab3&vjs=3,None
22,Data Scientist/Engineer,TELUS,"Toronto, ON•Remote",https://ca.indeed.com/rc/clk?jk=a6df206ca89410aa&fccid=ed81336789a877c2&vjs=3,3.9
23,"new
Senior Data Scientist Healthcare Methodology",PRA Health Sciences,Remote,https://ca.indeed.com/rc/clk?jk=441d425b23bd6c79&fccid=59237124d676ae4d&vjs=3,3.5
24,"new
Senior Data Scientist (Remote, Canada)",Shopify,"Toronto, ON•Remote",https://ca.indeed.com/rc/clk?jk=506e546718dd26ca&fccid=d5a5824be27ba831&vjs=3,3.9
25,Data Scientist [REMOTE],Viafoura Inc.,"Toronto, ON•Remote",https://ca.indeed.com/company/Viafoura-Inc./jobs/Data-Scientist-6776c113ea6f92d6?fccid=382d52309d5d13f2&vjs=3,5.0
26,Data Scientist,sharethrough,"Toronto, ON+1 location•Remote",https://ca.indeed.com/rc/clk?jk=3b045988c5dcc4b2&fccid=420b591004b16413&vjs=3,None
27,"new
Data Analyst",Shaw Communications,"Calgary, AB•Remote",https://ca.indeed.com/rc/clk?jk=e19656f063378774&fccid=0261b4753802fd26&vjs=3,3.8
28,Intermediate Data Scientist,MobSquad,"Halifax, NS•Remote",https://ca.indeed.com/company/MobSquad/jobs/Intermediate-Data-Scientist-db51a96484148763?fccid=e088dad3684f5a55&vjs=3,None
