,Title,Company,Location,Link,Review
0,"new
Geospatial Analyst",City of Calgary,"Calgary, AB",https://ca.indeed.com/rc/clk?jk=8b264cc00e8cf7bd&fccid=4fac8d665ce49365&vjs=3,4.0
1,Join Statistics Canada for Assistant Director Opportunities,Statistics Canada,"Ottawa, ON•Temporarily Remote",https://ca.indeed.com/rc/clk?jk=accfa8fb00db6bba&fccid=015fab4acc81b466&vjs=3,4.1
2,Intellectual Property Analyst,City of Calgary,"Calgary, AB",https://ca.indeed.com/rc/clk?jk=4adc131d3340ae8a&fccid=4fac8d665ce49365&vjs=3,4.0
3,GIS Analyst,Niagara Region,"Niagara, ON•Remote",https://ca.indeed.com/rc/clk?jk=28af63f187af7054&fccid=b7748d8d3ec813ec&vjs=3,3.4
4,Geospatial Expert,Korem,"Quebec City, QC",https://ca.indeed.com/rc/clk?jk=06aa8af2d9974198&fccid=fd784f42735086ed&vjs=3,None
5,"new
Mapping and GIS Specialist",BC Hydro,"Burnaby, BC",https://ca.indeed.com/rc/clk?jk=b5908061872d4aae&fccid=faec17211a77ac07&vjs=3,3.8
6,Geospatial Data Analyst,University of Alberta,"Edmonton, AB",https://ca.indeed.com/rc/clk?jk=8ac9d1c6d4a2fd8a&fccid=09ac3ce4d9d271d1&vjs=3,4.3
7,"new
Intern, Geospatial Support - Indigenous",Nutrien Ltd.,"Saskatoon, SK",https://ca.indeed.com/rc/clk?jk=aef1bab91000ea4e&fccid=2f7563a9ec0a07ec&vjs=3,3.3
8,Geospatial Developer,Korem,"Quebec City, QC",https://ca.indeed.com/rc/clk?jk=7529e19f96b21821&fccid=fd784f42735086ed&vjs=3,None
9,"new
Wildlife Research Technician (wildlife field, wildlife healt...",Environment and Climate Change Canada,Canada•Temporarily Remote,https://ca.indeed.com/rc/clk?jk=634b53821fdaf747&fccid=d45e6800befca5fb&vjs=3,4.3
10,"new
Engineering Technologist",Fisheries and Oceans Canada,"Prince Rupert, BC•Temporarily Remote",https://ca.indeed.com/rc/clk?jk=5e109ab7a5f07b81&fccid=e6a98a77c6290f9e&vjs=3,4.3
11,Geospatial Centre Director,University of Alberta,"Edmonton, AB",https://ca.indeed.com/rc/clk?jk=e8214370d5283a22&fccid=09ac3ce4d9d271d1&vjs=3,4.3
12,IT Help Desk Support Associate,Hexagon Geosystems,"Calgary, AB",https://ca.indeed.com/rc/clk?jk=b241e21f2d2f075b&fccid=0a22ab36cf7af12f&vjs=3,3.9
13,Supervisor Geospatial Technician,City of Regina,"Regina, SK",https://ca.indeed.com/rc/clk?jk=fc41f3bf22432dd0&fccid=43447d28576e52bb&vjs=3,3.8
14,"Biologist (BI02), Senior Biologist (BI03), Analyst (PC02), S...",Fisheries and Oceans Canada,"Winnipeg, MB",https://ca.indeed.com/rc/clk?jk=af8f152a5ff8c7cb&fccid=e6a98a77c6290f9e&vjs=3,4.3
15,"new
HEALTH INFORMATION ANALYST",City of Toronto,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=066f5c196db5916a&fccid=f2087b51205d4920&vjs=3,4.2
16,GIS Analyst,Arup,"Toronto, ON•Remote",https://ca.indeed.com/rc/clk?jk=e0dbbbfd1da75160&fccid=38c0d5e4f2a99768&vjs=3,4.1
17,"new
Mapping and GIS Specialist - Site-C Vancouver (MOU#15)",BC Hydro,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=a928b866e12b4572&fccid=faec17211a77ac07&vjs=3,3.8
18,Quality Assurance Analyst,Enview,Ontario•Remote,https://ca.indeed.com/rc/clk?jk=95c8c9e1469e5b3d&fccid=ef9f4d3ac03b3f46&vjs=3,None
19,"new
GIS Analyst",Enbridge,"Edmonton, AB",https://ca.indeed.com/rc/clk?jk=69f5059046fbac4b&fccid=221c64eea0d34f50&vjs=3,3.9
20,Geographic Information System (GIS) and Data Management Offi...,Environment and Climate Change Canada,"Yellowknife, NT",https://ca.indeed.com/rc/clk?jk=6abcfd4a2173bc0b&fccid=d45e6800befca5fb&vjs=3,4.3
21,"new
STO 18R - Geospatial Resource Information Technician",BC Public Service,"Cranbrook, BC",https://ca.indeed.com/rc/clk?jk=df1bbf3b53d3b78a&fccid=65dd05622a756445&vjs=3,3.5
22,"new
GIS Analyst",Northwest Hydraulic Consultants,"Edmonton, AB",https://ca.indeed.com/rc/clk?jk=1c4a0a4636fe859c&fccid=cb65975c892e755a&vjs=3,None
23,Senior Fleet Data Analyst,BC Transit,"Victoria, BC",https://ca.indeed.com/rc/clk?jk=cb34f8efd05b8b6c&fccid=ac6b6a0433b74c6f&vjs=3,2.9
24,DÉVELOPPEUR(EUSE) JAVA,K2 Geospatial,"Quebec City, QC",https://ca.indeed.com/rc/clk?jk=dcfe3affa08a28ad&fccid=de77721be393371e&vjs=3,5.0
25,"new
Data Scientist, Longevity Solutions",RBC,"Mississauga, ON",https://ca.indeed.com/rc/clk?jk=78f51e6fe6686b54&fccid=537b899e30af3338&vjs=3,4.0
26,"Open Source Intelligence & Investigations Manager, Forensic",Deloitte,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=930e86d703f43f22&fccid=9e215d88a6b33622&vjs=3,4.0
27,Systems Engineer,MDA,"Richmond, BC",https://ca.indeed.com/rc/clk?jk=5b66fd8db2b319e0&fccid=11f7828cf965b07c&vjs=3,3.5
28,"new
Test Automation Developer",Teledyne CARIS,"Fredericton, NB",https://ca.indeed.com/rc/clk?jk=cbd1b34de33c3622&fccid=56fc1ffc1942e614&vjs=3,3.6
29,Sr Manager Geospatial,Rogers Communications,"Toronto, ON•Temporarily Remote",https://ca.indeed.com/rc/clk?jk=a386795edd778792&fccid=b5583ca8df6a68c3&vjs=3,3.7
30,Senior GIS Analyst - Remote,DNV,"Montréal, QC•Remote",https://ca.indeed.com/company/DNV/jobs/Senior-GIS-Analyst-08f39c8a4b6b52c5?fccid=621355d16566db19&vjs=3,None
31,Web Content Designer/Developer,Teledyne DALSA Digital Imaging (Waterloo),"Waterloo, ON",https://ca.indeed.com/rc/clk?jk=c1175f3150fe342b&fccid=56fc1ffc1942e614&vjs=3,3.6
32,Intermediate Quality Assurance Developer,SOLV3D,Remote,https://ca.indeed.com/rc/clk?jk=543ed48f4fcefd01&fccid=93e940cd2f62eaee&vjs=3,None
33,"new
Engineering Student",MDA,"Richmond, BC+1 location",https://ca.indeed.com/rc/clk?jk=de1890cdbdd95858&fccid=11f7828cf965b07c&vjs=3,3.5
34,GIS Specialist,Aecon Group,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=84a294d82989316a&fccid=142c552fa53fee9b&vjs=3,4.0
35,Data & Graduate Studies Librarian,British Columbia Institute of Technology (BCIT),"Burnaby, BC",https://ca.indeed.com/rc/clk?jk=55d4381bc0f03758&fccid=a874193b682c9f05&vjs=3,4.0
36,Jr Software Engineer,MDA,"Richmond, BC",https://ca.indeed.com/rc/clk?jk=55e28ab2ecb354d9&fccid=11f7828cf965b07c&vjs=3,3.5
37,Data Analyst,Zesty.ai,"Montréal, QC",https://ca.indeed.com/rc/clk?jk=d4d775151f07a88b&fccid=46e789a2786c8da1&vjs=3,None
38,Junior Software Developer,i-Open Technologies,"Abbotsford, BC",https://ca.indeed.com/rc/clk?jk=f8d143d8710fe678&fccid=b63e29db81b6f3e6&vjs=3,3.3
39,Geomatics Engineering Co-op and New Grads,McElhanney Ltd.,British Columbia,https://ca.indeed.com/rc/clk?jk=cae4f5ce097c689b&fccid=ce625fe329965c2b&vjs=3,3.9
40,"new
Intermediate Design Technologist",CTQ Consultants,"Kelowna, BC•Remote",https://ca.indeed.com/rc/clk?jk=f6227fd833dae492&fccid=30d868b2a80d03cb&vjs=3,None
41,Qualitative Research Analyst – International Land Use,NatureBank,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=3bdf504c45226aba&fccid=b1bccb04ebaeb393&vjs=3,None
42,Data Scientist,Lightspark,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=1d9e179320a6422a&fccid=06926f09c00964a3&vjs=3,None
43,Research Assistant,McGill University,"Montréal, QC•Temporarily Remote",https://ca.indeed.com/rc/clk?jk=a104023cb97c83a2&fccid=367ae0b0728910f4&vjs=3,4.3
44,Business Analyst,Trimble,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=f78663978e731264&fccid=41ffc18dec1f58bf&vjs=3,3.7
45,Field Technician,Cyient,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=205797d2bc7e140b&fccid=48337f40cc18bca7&vjs=3,3.5
46,Cloud DevOps,Teledyne CARIS,"Fredericton, NB",https://ca.indeed.com/rc/clk?jk=1c396edfea30e784&fccid=56fc1ffc1942e614&vjs=3,3.6
47,Telecommunications Design Specialist,Cyient,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=8e5815e98515a6ad&fccid=48337f40cc18bca7&vjs=3,3.5
48,Coastal Protection Act Program Administrator (PAO 4),Province of Nova Scotia,"Halifax, NS",https://ca.indeed.com/rc/clk?jk=b1dbf4be489412d5&fccid=76b2daf26bb1853b&vjs=3,3.8
49,Data Scientist,Klick Health,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=b285d02ec794484a&fccid=832aa6ee75eceac4&vjs=3,3.1
