,Title,Company,Location,Link,Review
0,"new
data entry clerk",The Corporation of the City of Police,"North Bay, ON",https://ca.indeed.com/rc/clk?jk=778c416b639c9fc2&fccid=dd616958bd9ddc12&vjs=3,None
1,data entry clerk,Reebee Inc.,"Kitchener, ON•Remote",https://ca.indeed.com/rc/clk?jk=c24f65234c49e38b&fccid=1621537647c2d99f&vjs=3,None
2,"new
data entry operator",Hunt Refrigeration (Canada) Inc.,"Harrietsfield, NS",https://ca.indeed.com/rc/clk?jk=103ca208a08d7475&fccid=c188499eb4abf9bf&vjs=3,None
3,"new
Data Entry Clerk",Traffic Tech Inc.,"Kirkland, QC",https://ca.indeed.com/rc/clk?jk=3ef7966e0532ce1b&fccid=f777d90c4c585855&vjs=3,3.1
4,Telephone Data Collection Clerk,York University,"Toronto, ON•Remote",https://ca.indeed.com/rc/clk?jk=7bbcccbf4edebe87&fccid=78311129365d34c7&vjs=3,4.2
5,data scientist,ASTEK Canada Inc.,"Montréal, QC•Remote",https://ca.indeed.com/rc/clk?jk=af84638a85810a4e&fccid=ac1fd6324894c165&vjs=3,None
6,TV Listings Data Entry,TV Media Inc.,"Orleans, ON•Remote",https://ca.indeed.com/rc/clk?jk=ed6c4d902b1b37f4&fccid=bddde2e0cda4469b&vjs=3,None
7,"new
data entry clerk",Mandeep Singh Brar & Company Ltd.,"Abbotsford, BC",https://ca.indeed.com/rc/clk?jk=ea7ad74760cb16ea&fccid=409c54b130cdeadc&vjs=3,None
8,"new
data entry clerk",J.A. Kaytor Holdings Inc/Service Ontario,"Hamilton, ON",https://ca.indeed.com/rc/clk?jk=392368a46ac467cd&fccid=dd616958bd9ddc12&vjs=3,None
9,Data entry clerk,Axxess International,"Montréal, QC•Remote",https://ca.indeed.com/rc/clk?jk=5a02746b7e110009&fccid=5d06d35ec02ea80b&vjs=3,4.0
10,"new
21-C-147 - Administrative Assistant - Student Data",School District 91,"Castlegar, BC",https://ca.indeed.com/rc/clk?jk=4636086e0c4d1886&fccid=69858053b9b1631d&vjs=3,4.3
11,"new
Administrative Data Entry",FedEx Express Canada,"Don Mills, ON",https://ca.indeed.com/rc/clk?jk=ca0ad12d62b51cb5&fccid=5c439b65a0bd045b&vjs=3,3.8
12,data input clerk,Bauman Sawmill Inc.,"Wallenstein, ON",https://ca.indeed.com/rc/clk?jk=a888181477512255&fccid=9c2736d424176061&vjs=3,None
13,"new
Data Analytics Staff",EY,"Vancouver, BC+1 location",https://ca.indeed.com/rc/clk?jk=3647629d00802207&fccid=1544766d4c2915b0&vjs=3,4.0
14,data entry clerk,Legal Leaf Immigration Consulting Ltd.,"Calgary, AB",https://ca.indeed.com/rc/clk?jk=af3e18ecc615fdc5&fccid=f2ac52585548f042&vjs=3,None
15,"new
data scientist",Tiger Analytics Inc.,"Toronto, ON•Remote",https://ca.indeed.com/rc/clk?jk=f7fc1a9832ce87e7&fccid=cba01270e96bb012&vjs=3,None
16,Admissions Data Clerk - tg,McGill University,"Montréal, QC",https://ca.indeed.com/rc/clk?jk=0fd146d63e8f137f&fccid=367ae0b0728910f4&vjs=3,4.3
17,Data/Business Intelligence Analyst (Remote),Mero,"Toronto, ON•Remote",https://ca.indeed.com/company/Mero/jobs/Data-Business-Intelligence-Analyst-b26bf3d2c095f767?fccid=5cb3320e6428b117&vjs=3,None
18,data entry clerk,Neal Traffic Services Limited,"Orangeville, ON",https://ca.indeed.com/rc/clk?jk=eefb9002813b70f0&fccid=9e0294094f7ca114&vjs=3,None
19,"new
data administrator",A D Services Ltd.,"Surrey, BC",https://ca.indeed.com/rc/clk?jk=c66ba09559b24779&fccid=54f8adf846b616a1&vjs=3,None
