,Title,Link
0,Lean Officer(NEW),https://www.vietnamworks.com/lean-officer-6-1439554-jd/?source=searchResults&searchType=2&placement=1439555&sortBy=date
1,DevOps Engineer(NEW),https://www.vietnamworks.com/devops-engineer-110-1-1-1-1439541-jd/?source=searchResults&searchType=2&placement=1439542&sortBy=date
2,Accountant (8 month Temporary)(NEW),https://www.vietnamworks.com/accountant-8-month-temporary-1-1439561-jd/?source=searchResults&searchType=2&placement=1439562&sortBy=date
3,IT Engineer(NEW),https://www.vietnamworks.com/it-engineer-116-1-1-1-1439557-jd/?source=searchResults&searchType=2&placement=1439558&sortBy=date
4,Chuyên Viên Kiểm Soát Tuân Thủ(NEW),https://www.vietnamworks.com/chuyen-vien-kiem-soat-tuan-thu-16-1-2-1439553-jd/?source=searchResults&searchType=2&placement=1439554&sortBy=date
5,Supervisor - Tiếng Nhật - Phòng Sale(NEW),https://www.vietnamworks.com/supervisor-tieng-nhat-phong-sale-1436729-jd/?source=searchResults&searchType=2&placement=1436730&sortBy=date
6,IT Manager – Back Office Division(NEW),https://www.vietnamworks.com/it-manager-back-office-division-1436707-jd/?source=searchResults&searchType=2&placement=1436708&sortBy=date
7,Hot Job - Nhân Viên Xuất Nhập Khẩu (Lương Thưởng Hấp Dẫn)(NEW),https://www.vietnamworks.com/hot-job-nhan-vien-xuat-nhap-khau-luong-thuong-hap-dan-1436689-jd/?source=searchResults&searchType=2&placement=1436690&sortBy=date
8,General Accountant for Luxury Brand - Attractive Salary & Benefits(NEW),https://www.vietnamworks.com/general-accountant-for-luxury-brand-attractive-salary-benefits-1436191-jd/?source=searchResults&searchType=2&placement=1436192&sortBy=date
9,Chuyên Viên Kinh Doanh (Thương Mại Điện Tử)(NEW),https://www.vietnamworks.com/chuyen-vien-kinh-doanh-thuong-mai-dien-tu-6-1436103-jd/?source=searchResults&searchType=2&placement=1436104&sortBy=date
10,Java Developer (Thu Nhập Tương Đương Từ 14 - 22 Tháng Lương)(NEW),https://www.vietnamworks.com/java-developer-thu-nhap-tuong-duong-tu-14-22-thang-luong-1-1-1434881-jd/?source=searchResults&searchType=2&placement=1434882&sortBy=date
11,Logistics Executive (Salary up to 500$ Per month)(NEW),https://www.vietnamworks.com/logistics-executive-salary-up-to-500-per-month-1-1434139-jd/?source=searchResults&searchType=2&placement=1434140&sortBy=date
12,Customs Liquidation & Customs Declaration Staff (Experienced) (Salary up to 650$ Per month)(NEW),https://www.vietnamworks.com/customs-liquidation-customs-declaration-staff-experienced-salary-up-to-650-per-month-1-1434138-jd/?source=searchResults&searchType=2&placement=1434139&sortBy=date
13,Chuyên Viên Kinh Doanh Thiết Bị Y Tế - [Mức Lương 8M -10M + Phụ Cấp + Thưởng](NEW),https://www.vietnamworks.com/chuyen-vien-kinh-doanh-thiet-bi-y-te-muc-luong-8m-10m-phu-cap-thuong-1-1434112-jd/?source=searchResults&searchType=2&placement=1434113&sortBy=date
14,Trade Operation Officer(NEW),https://www.vietnamworks.com/trade-operation-officer-1434015-jd/?source=searchResults&searchType=2&placement=1434016&sortBy=date
15,Nhân Viên PR - Quản Lý Đô Thị(NEW),https://www.vietnamworks.com/nhan-vien-pr-quan-ly-do-thi-1434010-jd/?source=searchResults&searchType=2&placement=1434011&sortBy=date
16,Country Manager – Vietnam(NEW),https://www.vietnamworks.com/country-manager-vietnam-15-1434005-jd/?source=searchResults&searchType=2&placement=1434006&sortBy=date
17,"Sales Team Leader (Fix Allowence $1,200)(NEW)",https://www.vietnamworks.com/sales-team-leader-fix-allowence-1-200-1433627-jd/?source=searchResults&searchType=2&placement=1433628&sortBy=date
18,Service Advisor (Rolls-Royce Motorcars)(NEW),https://www.vietnamworks.com/service-advisor-rolls-royce-motorcars-1-1433581-jd/?source=searchResults&searchType=2&placement=1433582&sortBy=date
19,Overseas Purchasing Executive(NEW),https://www.vietnamworks.com/overseas-purchasing-executive-1432141-jd/?source=searchResults&searchType=2&placement=1432142&sortBy=date
20,Chuyên Viên Kinh Doanh (Tiếng Anh)(NEW),https://www.vietnamworks.com/chuyen-vien-kinh-doanh-tieng-anh-3-1-2-1-1432138-jd/?source=searchResults&searchType=2&placement=1432139&sortBy=date
21,Specifier Engineer(NEW),https://www.vietnamworks.com/specifier-engineer-1431884-jd/?source=searchResults&searchType=2&placement=1431885&sortBy=date
22,Điều Phối Đội Xe Container(NEW),https://www.vietnamworks.com/dieu-phoi-doi-xe-container-1-1431488-jd/?source=searchResults&searchType=2&placement=1431489&sortBy=date
23,Senior Legal & Compliance Executive in Hanoi(NEW),https://www.vietnamworks.com/senior-legal-compliance-executive-in-hanoi-1-1431482-jd/?source=searchResults&searchType=2&placement=1431483&sortBy=date
24,Nhân Viên Phòng Mua Hàng(NEW),https://www.vietnamworks.com/nhan-vien-phong-mua-hang-61-1-1431480-jd/?source=searchResults&searchType=2&placement=1431481&sortBy=date
25,Sales Executive(NEW),https://www.vietnamworks.com/sales-executive-1849-1431461-jd/?source=searchResults&searchType=2&placement=1431462&sortBy=date
26,Software Engineer (C/C++ or Java) - Sign On Bonus & Relocation Bonus(NEW),https://www.vietnamworks.com/software-engineer-c-c-plus-plus-or-java-sign-on-bonus-relocation-bonus-1431442-jd/?source=searchResults&searchType=2&placement=1431443&sortBy=date
27,Rider E-Learning Executive(NEW),https://www.vietnamworks.com/rider-e-learning-executive-1431348-jd/?source=searchResults&searchType=2&placement=1431349&sortBy=date
28,IT Helpdesk(NEW),https://www.vietnamworks.com/it-helpdesk-72-1-1-1430259-jd/?source=searchResults&searchType=2&placement=1430260&sortBy=date
29,HCM - Chuyên Viên Quan Hệ Khách Hàng Doanh Nghiệp(NEW),https://www.vietnamworks.com/hcm-chuyen-vien-quan-he-khach-hang-doanh-nghiep-3-1430222-jd/?source=searchResults&searchType=2&placement=1430223&sortBy=date
30,Microbiologist/ Nhân Viên Phòng Vi Sinh(NEW),https://www.vietnamworks.com/microbiologist-nhan-vien-phong-vi-sinh-1430183-jd/?source=searchResults&searchType=2&placement=1430184&sortBy=date
31,QC Specialist/ Kiểm Soát Viên Đa Năng(NEW),https://www.vietnamworks.com/qc-specialist-kiem-soat-vien-da-nang-1430172-jd/?source=searchResults&searchType=2&placement=1430173&sortBy=date
32,Web Developer (Chấp Nhận Sinh Viên Mới Ra Trường)(NEW),https://www.vietnamworks.com/web-developer-chap-nhan-sinh-vien-moi-ra-truong-1429093-jd/?source=searchResults&searchType=2&placement=1429094&sortBy=date
33,Chuyên Viên Tuyển Dụng IT(NEW),https://www.vietnamworks.com/chuyen-vien-tuyen-dung-it-3-1429089-jd/?source=searchResults&searchType=2&placement=1429090&sortBy=date
34,QA Engineer (Urgent)(NEW),https://www.vietnamworks.com/qa-engineer-urgent-2-1-1439518-jd/?source=searchResults&searchType=2&placement=1439519&sortBy=date
35,Quality Assurance Staff - QA Staff/ Nhân Viên Đảm Bảo Chất Lượng(NEW),https://www.vietnamworks.com/quality-assurance-staff-qa-staff-nhan-vien-dam-bao-chat-luong-1-1436593-jd/?source=searchResults&searchType=2&placement=1436594&sortBy=date
36,Production Control Staff - Nhân Viên Quản Lý Sản Xuất (01 Permanent & 01 Short Term 7 Months)(NEW),https://www.vietnamworks.com/production-control-staff-nhan-vien-quan-ly-san-xuat-01-permanent-01-short-term-7-months-1-1436592-jd/?source=searchResults&searchType=2&placement=1436593&sortBy=date
37,Cán Bộ Môi Giới – VCBS Hội Sở Chính(NEW),https://www.vietnamworks.com/can-bo-moi-gioi-vcbs-hoi-so-chinh-1-1436582-jd/?source=searchResults&searchType=2&placement=1436583&sortBy=date
38,IT Staff(NEW),https://www.vietnamworks.com/it-staff-147-1-1-1436569-jd/?source=searchResults&searchType=2&placement=1436570&sortBy=date
39,[HN - HCM] - Chuyên Viên Kinh Doanh Thiết Bị Y Tế(NEW),https://www.vietnamworks.com/hn-hcm-chuyen-vien-kinh-doanh-thiet-bi-y-te-1-1436568-jd/?source=searchResults&searchType=2&placement=1436569&sortBy=date
40,Junior Project Manager ( IT Communicator)(NEW),https://www.vietnamworks.com/junior-project-manager-it-communicator-1-1436563-jd/?source=searchResults&searchType=2&placement=1436564&sortBy=date
41,Họa Viên Kết Cấu(NEW),https://www.vietnamworks.com/hoa-vien-ket-cau-14-1-1436556-jd/?source=searchResults&searchType=2&placement=1436557&sortBy=date
42,Production Engineering Staff (01 Person)/nhân Viên Kỹ Thuật Sản Xuất(NEW),https://www.vietnamworks.com/production-engineering-staff-01-person-nhan-vien-ky-thuat-san-xuat-1436555-jd/?source=searchResults&searchType=2&placement=1436556&sortBy=date
43,Senior Devops Engineer(NEW),https://www.vietnamworks.com/senior-devops-engineer-25-1-1-1436548-jd/?source=searchResults&searchType=2&placement=1436549&sortBy=date
44,Java Developer – 2+ Years’ Experience(NEW),https://www.vietnamworks.com/java-developer-2-years-experience-1-1-1436545-jd/?source=searchResults&searchType=2&placement=1436546&sortBy=date
45,Front-End Web Developer (Html/css/js -Up to $900)(NEW),https://www.vietnamworks.com/front-end-web-developer-html-css-js-up-to-900-4-1-1436533-jd/?source=searchResults&searchType=2&placement=1436534&sortBy=date
46,Copywriter/ux Writer(NEW),https://www.vietnamworks.com/copywriter-ux-writer-1436529-jd/?source=searchResults&searchType=2&placement=1436530&sortBy=date
47,Thiết Kế Mô Hình 3D (Thiệp 3D Pop-Up Cards )(NEW),https://www.vietnamworks.com/thiet-ke-mo-hinh-3d-thiep-3d-pop-up-cards-4-1436514-jd/?source=searchResults&searchType=2&placement=1436515&sortBy=date
48,Nữ Nhân Viên Kinh Doanh Quốc Tế - Chỉ Yêu Cầu Tiếng Anh (Chấp Nhận Sinh Viên Mới RA Trường)(NEW),https://www.vietnamworks.com/nu-nhan-vien-kinh-doanh-quoc-te-chi-yeu-cau-tieng-anh-chap-nhan-sinh-vien-moi-ra-truong-2-1436507-jd/?source=searchResults&searchType=2&placement=1436508&sortBy=date
49,Chuyên Viên SEO Marketing(NEW),https://www.vietnamworks.com/chuyen-vien-seo-marketing-6-1436501-jd/?source=searchResults&searchType=2&placement=1436502&sortBy=date
50,Reporting & Data Management Assistant Manager(NEW),https://www.vietnamworks.com/reporting-data-management-assistant-manager-1436496-jd/?source=searchResults&searchType=2&placement=1436497&sortBy=date
51,Senior Backend Engineer (Java)(NEW),https://www.vietnamworks.com/senior-backend-engineer-java-1-1-1436486-jd/?source=searchResults&searchType=2&placement=1436487&sortBy=date
52,"Mobile Apps Dev (Android, Java, Kotlin)(NEW)",https://www.vietnamworks.com/mobile-apps-dev-android-java-kotlin-1-1-1-1436483-jd/?source=searchResults&searchType=2&placement=1436484&sortBy=date
