,Title,Link
0,[Hội Sở TP.HCM] - Financial Institution Supervisor - Định Chế Tài Chính(NEW),https://www.vietnamworks.com/hoi-so-tp-hcm-financial-institution-supervisor-dinh-che-tai-chinh-1439601-jd/?source=searchResults&searchType=2&placement=1439602&sortBy=date
1,Senior DevOps Engineer (Hanoi & HCMC)(NEW),https://www.vietnamworks.com/senior-devops-engineer-hanoi-hcmc-1437970-jd/?source=searchResults&searchType=2&placement=1437971&sortBy=date
2,Senior IT (Opportunity to Become IT Manager)(NEW),https://www.vietnamworks.com/senior-it-opportunity-to-become-it-manager-1433091-jd/?source=searchResults&searchType=2&placement=1433092&sortBy=date
3,Graphic Design Technician(NEW),https://www.vietnamworks.com/graphic-design-technician-1430307-jd/?source=searchResults&searchType=2&placement=1430308&sortBy=date
4,Assistant Relationship Manager(NEW),https://www.vietnamworks.com/assistant-relationship-manager-11-1-1-1-1431504-jd/?source=searchResults&searchType=2&placement=1431505&sortBy=date
5,Lean Officer(NEW),https://www.vietnamworks.com/lean-officer-6-1439554-jd/?source=searchResults&searchType=2&placement=1439555&sortBy=date
6,DevOps Engineer(NEW),https://www.vietnamworks.com/devops-engineer-110-1-1-1-1439541-jd/?source=searchResults&searchType=2&placement=1439542&sortBy=date
7,Accountant (8 month Temporary)(NEW),https://www.vietnamworks.com/accountant-8-month-temporary-1-1439561-jd/?source=searchResults&searchType=2&placement=1439562&sortBy=date
8,IT Engineer(NEW),https://www.vietnamworks.com/it-engineer-116-1-1-1-1439557-jd/?source=searchResults&searchType=2&placement=1439558&sortBy=date
9,Chuyên Viên Kiểm Soát Tuân Thủ(NEW),https://www.vietnamworks.com/chuyen-vien-kiem-soat-tuan-thu-16-1-2-1439553-jd/?source=searchResults&searchType=2&placement=1439554&sortBy=date
10,Area Sales Manager B2C(NEW),https://www.vietnamworks.com/area-sales-manager-b2c-1-1439545-jd/?source=searchResults&searchType=2&placement=1439546&sortBy=date
11,Game – Product Planning and Communication Specialist (HCM)(NEW),https://www.vietnamworks.com/game-product-planning-and-communication-specialist-hcm-1-1439542-jd/?source=searchResults&searchType=2&placement=1439543&sortBy=date
12,Sales Back Office(NEW),https://www.vietnamworks.com/sales-back-office-10-2-1-1439539-jd/?source=searchResults&searchType=2&placement=1439540&sortBy=date
13,Chuyên Viên Triển Khai Phần Mềm ERP / ERP Specialist(NEW),https://www.vietnamworks.com/chuyen-vien-trien-khai-phan-mem-erp-erp-specialist-1438267-jd/?source=searchResults&searchType=2&placement=1438268&sortBy=date
14,[HN] Data Engineer(NEW),https://www.vietnamworks.com/hn-data-engineer-2-1431499-jd/?source=searchResults&searchType=2&placement=1431500&sortBy=date
15,Chuyên Viên Pháp Chế(NEW),https://www.vietnamworks.com/chuyen-vien-phap-che-510-1-1429155-jd/?source=searchResults&searchType=2&placement=1429156&sortBy=date
16,Purchasing Executive (New Project)(NEW),https://www.vietnamworks.com/purchasing-executive-new-project-1-1436789-jd/?source=searchResults&searchType=2&placement=1436790&sortBy=date
17,Quản Lý Dự Án(NEW),https://www.vietnamworks.com/quan-ly-du-an-167-1431415-jd/?source=searchResults&searchType=2&placement=1431416&sortBy=date
18,Business Development Executive(NEW),https://www.vietnamworks.com/business-development-executive-342-1429154-jd/?source=searchResults&searchType=2&placement=1429155&sortBy=date
19,Hà Nội - Trưởng Nhóm/cvcc Lập Trình Viên Mobileapp(NEW),https://www.vietnamworks.com/ha-noi-truong-nhom-cvcc-lap-trinh-vien-mobileapp-1437504-jd/?source=searchResults&searchType=2&placement=1437505&sortBy=date
20,[Vinhomes] Chuyên Gia Công Nghệ Thông Tin(NEW),https://www.vietnamworks.com/vinhomes-chuyen-gia-cong-nghe-thong-tin-1435393-jd/?source=searchResults&searchType=2&placement=1435394&sortBy=date
21,Business Development Executive - Account Executive (Sales) - Based in Ha Noi(NEW),https://www.vietnamworks.com/business-development-executive-account-executive-sales-based-in-ha-noi-1439528-jd/?source=searchResults&searchType=2&placement=1439529&sortBy=date
22,"[ Bình Dương, Bình Phước ] Nhân Viên Kinh Doanh - Kênh GT(NEW)",https://www.vietnamworks.com/binh-duong-binh-phuoc-nhan-vien-kinh-doanh-kenh-gt-1439415-jd/?source=searchResults&searchType=2&placement=1439416&sortBy=date
23,Financial Analyst(NEW),https://www.vietnamworks.com/financial-analyst-73-2-1436784-jd/?source=searchResults&searchType=2&placement=1436785&sortBy=date
24,Business Analyst (IT Industry)(NEW),https://www.vietnamworks.com/business-analyst-it-industry-3-1-1-1-1-1438968-jd/?source=searchResults&searchType=2&placement=1438969&sortBy=date
25,IT Manager – Back Office Division(NEW),https://www.vietnamworks.com/it-manager-back-office-division-1436707-jd/?source=searchResults&searchType=2&placement=1436708&sortBy=date
26,Trade Operation Officer(NEW),https://www.vietnamworks.com/trade-operation-officer-1434015-jd/?source=searchResults&searchType=2&placement=1434016&sortBy=date
27,Nhân Viên PR - Quản Lý Đô Thị(NEW),https://www.vietnamworks.com/nhan-vien-pr-quan-ly-do-thi-1434010-jd/?source=searchResults&searchType=2&placement=1434011&sortBy=date
28,Service Advisor (Rolls-Royce Motorcars)(NEW),https://www.vietnamworks.com/service-advisor-rolls-royce-motorcars-1-1433581-jd/?source=searchResults&searchType=2&placement=1433582&sortBy=date
29,IT Helpdesk(NEW),https://www.vietnamworks.com/it-helpdesk-72-1-1-1430259-jd/?source=searchResults&searchType=2&placement=1430260&sortBy=date
30,HCM - Chuyên Viên Quan Hệ Khách Hàng Doanh Nghiệp(NEW),https://www.vietnamworks.com/hcm-chuyen-vien-quan-he-khach-hang-doanh-nghiep-3-1430222-jd/?source=searchResults&searchType=2&placement=1430223&sortBy=date
31,Software Engineer (C/C++ or Java) - Sign On Bonus & Relocation Bonus(NEW),https://www.vietnamworks.com/software-engineer-c-c-plus-plus-or-java-sign-on-bonus-relocation-bonus-1431442-jd/?source=searchResults&searchType=2&placement=1431443&sortBy=date
32,Rider E-Learning Executive(NEW),https://www.vietnamworks.com/rider-e-learning-executive-1431348-jd/?source=searchResults&searchType=2&placement=1431349&sortBy=date
33,QC Specialist/ Kiểm Soát Viên Đa Năng(NEW),https://www.vietnamworks.com/qc-specialist-kiem-soat-vien-da-nang-1430172-jd/?source=searchResults&searchType=2&placement=1430173&sortBy=date
34,Specifier Engineer(NEW),https://www.vietnamworks.com/specifier-engineer-1431884-jd/?source=searchResults&searchType=2&placement=1431885&sortBy=date
35,Dealer Operation Staff(NEW),https://www.vietnamworks.com/dealer-operation-staff-1-1436772-jd/?source=searchResults&searchType=2&placement=1436773&sortBy=date
36,Supervisor - Tiếng Nhật - Phòng Sale(NEW),https://www.vietnamworks.com/supervisor-tieng-nhat-phong-sale-1436729-jd/?source=searchResults&searchType=2&placement=1436730&sortBy=date
37,Logistics Executive (Salary up to 500$ Per month)(NEW),https://www.vietnamworks.com/logistics-executive-salary-up-to-500-per-month-1-1434139-jd/?source=searchResults&searchType=2&placement=1434140&sortBy=date
38,Country Manager – Vietnam(NEW),https://www.vietnamworks.com/country-manager-vietnam-15-1434005-jd/?source=searchResults&searchType=2&placement=1434006&sortBy=date
39,Senior Legal & Compliance Executive in Hanoi(NEW),https://www.vietnamworks.com/senior-legal-compliance-executive-in-hanoi-1-1431482-jd/?source=searchResults&searchType=2&placement=1431483&sortBy=date
40,Chuyên Viên Tuyển Dụng IT(NEW),https://www.vietnamworks.com/chuyen-vien-tuyen-dung-it-3-1429089-jd/?source=searchResults&searchType=2&placement=1429090&sortBy=date
41,General Accountant for Luxury Brand - Attractive Salary & Benefits(NEW),https://www.vietnamworks.com/general-accountant-for-luxury-brand-attractive-salary-benefits-1436191-jd/?source=searchResults&searchType=2&placement=1436192&sortBy=date
42,Hot Job - Nhân Viên Xuất Nhập Khẩu (Lương Thưởng Hấp Dẫn)(NEW),https://www.vietnamworks.com/hot-job-nhan-vien-xuat-nhap-khau-luong-thuong-hap-dan-1436689-jd/?source=searchResults&searchType=2&placement=1436690&sortBy=date
43,Chuyên Viên Kinh Doanh Thiết Bị Y Tế - [Mức Lương 8M -10M + Phụ Cấp + Thưởng](NEW),https://www.vietnamworks.com/chuyen-vien-kinh-doanh-thiet-bi-y-te-muc-luong-8m-10m-phu-cap-thuong-1-1434112-jd/?source=searchResults&searchType=2&placement=1434113&sortBy=date
44,Customs Liquidation & Customs Declaration Staff (Experienced) (Salary up to 650$ Per month)(NEW),https://www.vietnamworks.com/customs-liquidation-customs-declaration-staff-experienced-salary-up-to-650-per-month-1-1434138-jd/?source=searchResults&searchType=2&placement=1434139&sortBy=date
45,Web Developer (Chấp Nhận Sinh Viên Mới Ra Trường)(NEW),https://www.vietnamworks.com/web-developer-chap-nhan-sinh-vien-moi-ra-truong-1429093-jd/?source=searchResults&searchType=2&placement=1429094&sortBy=date
46,"QC Engineers (Tester, QA QC, Manual)(NEW)",https://www.vietnamworks.com/qc-engineers-tester-qa-qc-manual-1438982-jd/?source=searchResults&searchType=2&placement=1438983&sortBy=date
47,"3D Modeler ( Background Modeler ) - Up to 30,000,000(NEW)",https://www.vietnamworks.com/3d-modeler-background-modeler-up-to-30-000-000-1-1437463-jd/?source=searchResults&searchType=2&placement=1437464&sortBy=date
48,"Unity Game Developer (Up to 40,000,000 VNĐ)(NEW)",https://www.vietnamworks.com/unity-game-developer-up-to-40-000-000-vnd-1-1-1437473-jd/?source=searchResults&searchType=2&placement=1437474&sortBy=date
49,Chuyên Viên Quản Trị Hệ Thống Công Nghệ Thông Tin(NEW),https://www.vietnamworks.com/chuyen-vien-quan-tri-he-thong-cong-nghe-thong-tin-2-1436786-jd/?source=searchResults&searchType=2&placement=1436787&sortBy=date
50,Chuyên Viên Kinh Doanh (Thương Mại Điện Tử)(NEW),https://www.vietnamworks.com/chuyen-vien-kinh-doanh-thuong-mai-dien-tu-6-1436103-jd/?source=searchResults&searchType=2&placement=1436104&sortBy=date
51,"Sales Team Leader (Fix Allowence $1,200)(NEW)",https://www.vietnamworks.com/sales-team-leader-fix-allowence-1-200-1433627-jd/?source=searchResults&searchType=2&placement=1433628&sortBy=date
52,Chuyên Viên Cao Cấp Tài Chính(NEW),https://www.vietnamworks.com/chuyen-vien-cao-cap-tai-chinh-3-1-1436777-jd/?source=searchResults&searchType=2&placement=1436778&sortBy=date
53,Chuyên Viên Cao Cấp Tuyển Dụng (Nghỉ Thứ 7 Và Chủ Nhật)(NEW),https://www.vietnamworks.com/chuyen-vien-cao-cap-tuyen-dung-nghi-thu-7-va-chu-nhat-1-1436778-jd/?source=searchResults&searchType=2&placement=1436779&sortBy=date
54,Trưởng Ban Kiểm Toán Nội Bộ(NEW),https://www.vietnamworks.com/truong-ban-kiem-toan-noi-bo-5-1-1436776-jd/?source=searchResults&searchType=2&placement=1436777&sortBy=date
55,Java Developer (Thu Nhập Tương Đương Từ 14 - 22 Tháng Lương)(NEW),https://www.vietnamworks.com/java-developer-thu-nhap-tuong-duong-tu-14-22-thang-luong-1-1-1434881-jd/?source=searchResults&searchType=2&placement=1434882&sortBy=date
56,Overseas Purchasing Executive(NEW),https://www.vietnamworks.com/overseas-purchasing-executive-1432141-jd/?source=searchResults&searchType=2&placement=1432142&sortBy=date
57,Chuyên Viên Kinh Doanh (Tiếng Anh)(NEW),https://www.vietnamworks.com/chuyen-vien-kinh-doanh-tieng-anh-3-1-2-1-1432138-jd/?source=searchResults&searchType=2&placement=1432139&sortBy=date
58,Microbiologist/ Nhân Viên Phòng Vi Sinh(NEW),https://www.vietnamworks.com/microbiologist-nhan-vien-phong-vi-sinh-1430183-jd/?source=searchResults&searchType=2&placement=1430184&sortBy=date
59,Nhân Viên Phòng Mua Hàng(NEW),https://www.vietnamworks.com/nhan-vien-phong-mua-hang-61-1-1431480-jd/?source=searchResults&searchType=2&placement=1431481&sortBy=date
60,Điều Phối Đội Xe Container(NEW),https://www.vietnamworks.com/dieu-phoi-doi-xe-container-1-1431488-jd/?source=searchResults&searchType=2&placement=1431489&sortBy=date
61,Sales Executive(NEW),https://www.vietnamworks.com/sales-executive-1849-1431461-jd/?source=searchResults&searchType=2&placement=1431462&sortBy=date
62,QA Engineer (Urgent)(NEW),https://www.vietnamworks.com/qa-engineer-urgent-2-1-1439518-jd/?source=searchResults&searchType=2&placement=1439519&sortBy=date
63,Technical Architect (Java/nodejs)(NEW),https://www.vietnamworks.com/technical-architect-java-nodejs-1434793-jd/?source=searchResults&searchType=2&placement=1434794&sortBy=date
64,Devops/ System Engineer(NEW),https://www.vietnamworks.com/devops-system-engineer-4-1-1-1-1434772-jd/?source=searchResults&searchType=2&placement=1434773&sortBy=date
65,"Lập Trình Viên Java, J2Ee/web Service/jms, Oracle Database ( Non-Mobile Application)(NEW)",https://www.vietnamworks.com/lap-trinh-vien-java-j2ee-web-service-jms-oracle-database-non-mobile-application-1436206-jd/?source=searchResults&searchType=2&placement=1436207&sortBy=date
66,Senior Devops Engineer(NEW),https://www.vietnamworks.com/senior-devops-engineer-25-1-1-1436548-jd/?source=searchResults&searchType=2&placement=1436549&sortBy=date
67,IT Staff(NEW),https://www.vietnamworks.com/it-staff-147-1-1-1436569-jd/?source=searchResults&searchType=2&placement=1436770&sortBy=date
68,[HN - HCM] - Chuyên Viên Kinh Doanh Thiết Bị Y Tế(NEW),https://www.vietnamworks.com/hn-hcm-chuyen-vien-kinh-doanh-thiet-bi-y-te-1-1436568-jd/?source=searchResults&searchType=2&placement=1436769&sortBy=date
69,Quality Assurance Staff - QA Staff/ Nhân Viên Đảm Bảo Chất Lượng(NEW),https://www.vietnamworks.com/quality-assurance-staff-qa-staff-nhan-vien-dam-bao-chat-luong-1-1436593-jd/?source=searchResults&searchType=2&placement=1436794&sortBy=date
70,"Kỹ Sư Bảo Trì, Điện - Tự Động Hóa(NEW)",https://www.vietnamworks.com/ky-su-bao-tri-dien-tu-dong-hoa-1436253-jd/?source=searchResults&searchType=2&placement=1436454&sortBy=date
71,Chuyên Gia Nghiên Cứu và Phát Triển Sản Phẩm Tín Dụng - K.KHDN(NEW),https://www.vietnamworks.com/chuyen-gia-nghien-cuu-va-phat-trien-san-pham-tin-dung-k-khdn-1436220-jd/?source=searchResults&searchType=2&placement=1436421&sortBy=date
72,Chuyên Viên Kiểm Thử - K.CNTT(NEW),https://www.vietnamworks.com/chuyen-vien-kiem-thu-k-cntt-1436211-jd/?source=searchResults&searchType=2&placement=1436412&sortBy=date
73,Senior UI/UX Designer (Thu Nhập Lên Đến $1500)(NEW),https://www.vietnamworks.com/senior-ui-ux-designer-thu-nhap-len-den-1500-2-1-1433505-jd/?source=searchResults&searchType=2&placement=1433706&sortBy=date
74,Data Engineer (14 - 50 Triệu)(NEW),https://www.vietnamworks.com/data-engineer-14-50-trieu-1-1-1-1434768-jd/?source=searchResults&searchType=2&placement=1434969&sortBy=date
75,Trưởng Nhóm Thiết Kế M&E Cho Dự Án Nhà Máy(NEW),https://www.vietnamworks.com/truong-nhom-thiet-ke-m-e-cho-du-an-nha-may-1433749-jd/?source=searchResults&searchType=2&placement=1433950&sortBy=date
76,"Lập Trình Viên C#, Java(NEW)",https://www.vietnamworks.com/lap-trinh-vien-c-sharp-java-1433690-jd/?source=searchResults&searchType=2&placement=1433891&sortBy=date
77,Senior IT Recruiter(NEW),https://www.vietnamworks.com/senior-it-recruiter-50-1435079-jd/?source=searchResults&searchType=2&placement=1435280&sortBy=date
78,02 Nhân Viên IT(NEW),https://www.vietnamworks.com/02-nhan-vien-it-5-1-1434886-jd/?source=searchResults&searchType=2&placement=1435087&sortBy=date
79,Fresher 5G Engineer(NEW),https://www.vietnamworks.com/fresher-5g-engineer-1433916-jd/?source=searchResults&searchType=2&placement=1434117&sortBy=date
80,Phó Phòng Pháp Chế và Tuân Thủ (Legal and Compliance Deputy Manager)(NEW),https://www.vietnamworks.com/pho-phong-phap-che-va-tuan-thu-legal-and-compliance-deputy-manager-1433859-jd/?source=searchResults&searchType=2&placement=1434060&sortBy=date
81,Kỹ Sư Công Nghệ Thông Tin - 10 Người(NEW),https://www.vietnamworks.com/ky-su-cong-nghe-thong-tin-10-nguoi-1-1435142-jd/?source=searchResults&searchType=2&placement=1435343&sortBy=date
82,Họa Viên Kết Cấu(NEW),https://www.vietnamworks.com/hoa-vien-ket-cau-14-1-1436556-jd/?source=searchResults&searchType=2&placement=1436757&sortBy=date
83,Copywriter/ux Writer(NEW),https://www.vietnamworks.com/copywriter-ux-writer-1436529-jd/?source=searchResults&searchType=2&placement=1436730&sortBy=date
84,Nữ Nhân Viên Kinh Doanh Quốc Tế - Chỉ Yêu Cầu Tiếng Anh (Chấp Nhận Sinh Viên Mới RA Trường)(NEW),https://www.vietnamworks.com/nu-nhan-vien-kinh-doanh-quoc-te-chi-yeu-cau-tieng-anh-chap-nhan-sinh-vien-moi-ra-truong-2-1436507-jd/?source=searchResults&searchType=2&placement=1436708&sortBy=date
85,Senior Tech Recruiter(NEW),https://www.vietnamworks.com/senior-tech-recruiter-3-1-1436434-jd/?source=searchResults&searchType=2&placement=1436635&sortBy=date
86,Phó Giám Đốc Chi Nhánh(NEW),https://www.vietnamworks.com/pho-giam-doc-chi-nhanh-30-1-1434756-jd/?source=searchResults&searchType=2&placement=1434957&sortBy=date
87,Project Manager (Software)(NEW),https://www.vietnamworks.com/project-manager-software-2-1434759-jd/?source=searchResults&searchType=2&placement=1434960&sortBy=date
88,Fresher Java(NEW),https://www.vietnamworks.com/fresher-java-1-1436391-jd/?source=searchResults&searchType=2&placement=1436592&sortBy=date
89,Production Superintendent(NEW),https://www.vietnamworks.com/production-superintendent-3-1-1-1436365-jd/?source=searchResults&searchType=2&placement=1436566&sortBy=date
90,Kỹ Sư Quản Lý Chất Lượng Nhà Cung Cấp - SQE (Tiếng Trung/tiếng Anh)(NEW),https://www.vietnamworks.com/ky-su-quan-ly-chat-luong-nha-cung-cap-sqe-tieng-trung-tieng-anh-1-1436297-jd/?source=searchResults&searchType=2&placement=1436498&sortBy=date
91,Technical Services Manager and Formulation Manager- Asia(NEW),https://www.vietnamworks.com/technical-services-manager-and-formulation-manager-asia-1436311-jd/?source=searchResults&searchType=2&placement=1436512&sortBy=date
92,Sales Engineer(NEW),https://www.vietnamworks.com/sales-engineer-737-1436349-jd/?source=searchResults&searchType=2&placement=1436550&sortBy=date
93,Product Specialist - Financial Services(NEW),https://www.vietnamworks.com/product-specialist-financial-services-1433933-jd/?source=searchResults&searchType=2&placement=1434134&sortBy=date
94,Sales Executive - Nhân Viên Kinh Doanh(NEW),https://www.vietnamworks.com/sales-executive-nhan-vien-kinh-doanh-135-1436192-jd/?source=searchResults&searchType=2&placement=1436393&sortBy=date
95,Production Engineering Staff (01 Person)/nhân Viên Kỹ Thuật Sản Xuất(NEW),https://www.vietnamworks.com/production-engineering-staff-01-person-nhan-vien-ky-thuat-san-xuat-1436555-jd/?source=searchResults&searchType=2&placement=1436756&sortBy=date
96,Nhân Viên Truyền Thông - Làm Tại Hải Dương(NEW),https://www.vietnamworks.com/nhan-vien-truyen-thong-lam-tai-hai-duong-1-1-1-1433836-jd/?source=searchResults&searchType=2&placement=1434037&sortBy=date
97,Nhân Viên Kinh Doanh Thiết Bị Y Tế(NEW),https://www.vietnamworks.com/nhan-vien-kinh-doanh-thiet-bi-y-te-127-1-1-1-1433802-jd/?source=searchResults&searchType=2&placement=1434003&sortBy=date
98,[HOT JOB] Trưởng Nhóm Kinh Doanh Thương Mại Quốc Tế (Lương Hấp Dẫn Từ 15 - 30 Triệu)(NEW),https://www.vietnamworks.com/hot-job-truong-nhom-kinh-doanh-thuong-mai-quoc-te-luong-hap-dan-tu-15-30-trieu-1433800-jd/?source=searchResults&searchType=2&placement=1434001&sortBy=date
99,Trucking Operator(NEW),https://www.vietnamworks.com/trucking-operator-1433557-jd/?source=searchResults&searchType=2&placement=1433758&sortBy=date
100,"Manager, Credit Analytics & Portfolio Monitoring – Risk Management(NEW)",https://www.vietnamworks.com/manager-credit-analytics-portfolio-monitoring-risk-management-1433485-jd/?source=searchResults&searchType=2&placement=1433686&sortBy=date
101,Chuyên Viên Tư Vấn Bảo Hiểm Nhân Thọ - Kênh Full Time Agent (Toàn Thời Gian)(NEW),https://www.vietnamworks.com/chuyen-vien-tu-van-bao-hiem-nhan-tho-kenh-full-time-agent-toan-thoi-gian-1433796-jd/?source=searchResults&searchType=2&placement=1433997&sortBy=date
102,Lập Trình Viên Fullstack(NEW),https://www.vietnamworks.com/lap-trinh-vien-fullstack-1-1433768-jd/?source=searchResults&searchType=2&placement=1433969&sortBy=date
103,Corporate Reappraisal Officer(NEW),https://www.vietnamworks.com/corporate-reappraisal-officer-1-1433717-jd/?source=searchResults&searchType=2&placement=1433918&sortBy=date
104,Junior Analog Circuit Design Engineer(NEW),https://www.vietnamworks.com/junior-analog-circuit-design-engineer-1433591-jd/?source=searchResults&searchType=2&placement=1433792&sortBy=date
105,Junior Project Manager ( IT Communicator)(NEW),https://www.vietnamworks.com/junior-project-manager-it-communicator-1-1436563-jd/?source=searchResults&searchType=2&placement=1436764&sortBy=date
106,Reporting & Data Management Assistant Manager(NEW),https://www.vietnamworks.com/reporting-data-management-assistant-manager-1436496-jd/?source=searchResults&searchType=2&placement=1436697&sortBy=date
107,Senior QA Automation Engineer(NEW),https://www.vietnamworks.com/senior-qa-automation-engineer-11-1-1-1436477-jd/?source=searchResults&searchType=2&placement=1436678&sortBy=date
