,Title,Link
0,lean officer(new),https://www.vietnamworks.com/lean-officer-6-1439554-jd/?source=searchResults&searchType=2&placement=1439555&sortBy=date
1,devops engineer(new),https://www.vietnamworks.com/devops-engineer-110-1-1-1-1439541-jd/?source=searchResults&searchType=2&placement=1439542&sortBy=date
2,accountant (8 month temporary)(new),https://www.vietnamworks.com/accountant-8-month-temporary-1-1439561-jd/?source=searchResults&searchType=2&placement=1439562&sortBy=date
3,it engineer(new),https://www.vietnamworks.com/it-engineer-116-1-1-1-1439557-jd/?source=searchResults&searchType=2&placement=1439558&sortBy=date
4,chuyên viên kiểm soát tuân thủ(new),https://www.vietnamworks.com/chuyen-vien-kiem-soat-tuan-thu-16-1-2-1439553-jd/?source=searchResults&searchType=2&placement=1439554&sortBy=date
5,supervisor - tiếng nhật - phòng sale(new),https://www.vietnamworks.com/supervisor-tieng-nhat-phong-sale-1436729-jd/?source=searchResults&searchType=2&placement=1436730&sortBy=date
6,it manager – back office division(new),https://www.vietnamworks.com/it-manager-back-office-division-1436707-jd/?source=searchResults&searchType=2&placement=1436708&sortBy=date
7,hot job - nhân viên xuất nhập khẩu (lương thưởng hấp dẫn)(new),https://www.vietnamworks.com/hot-job-nhan-vien-xuat-nhap-khau-luong-thuong-hap-dan-1436689-jd/?source=searchResults&searchType=2&placement=1436690&sortBy=date
8,general accountant for luxury brand - attractive salary & benefits(new),https://www.vietnamworks.com/general-accountant-for-luxury-brand-attractive-salary-benefits-1436191-jd/?source=searchResults&searchType=2&placement=1436192&sortBy=date
9,chuyên viên kinh doanh (thương mại điện tử)(new),https://www.vietnamworks.com/chuyen-vien-kinh-doanh-thuong-mai-dien-tu-6-1436103-jd/?source=searchResults&searchType=2&placement=1436104&sortBy=date
10,java developer (thu nhập tương đương từ 14 - 22 tháng lương)(new),https://www.vietnamworks.com/java-developer-thu-nhap-tuong-duong-tu-14-22-thang-luong-1-1-1434881-jd/?source=searchResults&searchType=2&placement=1434882&sortBy=date
11,logistics executive (salary up to 500$ per month)(new),https://www.vietnamworks.com/logistics-executive-salary-up-to-500-per-month-1-1434139-jd/?source=searchResults&searchType=2&placement=1434140&sortBy=date
12,customs liquidation & customs declaration staff (experienced) (salary up to 650$ per month)(new),https://www.vietnamworks.com/customs-liquidation-customs-declaration-staff-experienced-salary-up-to-650-per-month-1-1434138-jd/?source=searchResults&searchType=2&placement=1434139&sortBy=date
13,chuyên viên kinh doanh thiết bị y tế - [mức lương 8m -10m + phụ cấp + thưởng](new),https://www.vietnamworks.com/chuyen-vien-kinh-doanh-thiet-bi-y-te-muc-luong-8m-10m-phu-cap-thuong-1-1434112-jd/?source=searchResults&searchType=2&placement=1434113&sortBy=date
14,trade operation officer(new),https://www.vietnamworks.com/trade-operation-officer-1434015-jd/?source=searchResults&searchType=2&placement=1434016&sortBy=date
15,nhân viên pr - quản lý đô thị(new),https://www.vietnamworks.com/nhan-vien-pr-quan-ly-do-thi-1434010-jd/?source=searchResults&searchType=2&placement=1434011&sortBy=date
16,country manager – vietnam(new),https://www.vietnamworks.com/country-manager-vietnam-15-1434005-jd/?source=searchResults&searchType=2&placement=1434006&sortBy=date
17,"sales team leader (fix allowence $1,200)(new)",https://www.vietnamworks.com/sales-team-leader-fix-allowence-1-200-1433627-jd/?source=searchResults&searchType=2&placement=1433628&sortBy=date
18,service advisor (rolls-royce motorcars)(new),https://www.vietnamworks.com/service-advisor-rolls-royce-motorcars-1-1433581-jd/?source=searchResults&searchType=2&placement=1433582&sortBy=date
19,overseas purchasing executive(new),https://www.vietnamworks.com/overseas-purchasing-executive-1432141-jd/?source=searchResults&searchType=2&placement=1432142&sortBy=date
20,chuyên viên kinh doanh (tiếng anh)(new),https://www.vietnamworks.com/chuyen-vien-kinh-doanh-tieng-anh-3-1-2-1-1432138-jd/?source=searchResults&searchType=2&placement=1432139&sortBy=date
21,specifier engineer(new),https://www.vietnamworks.com/specifier-engineer-1431884-jd/?source=searchResults&searchType=2&placement=1431885&sortBy=date
22,điều phối đội xe container(new),https://www.vietnamworks.com/dieu-phoi-doi-xe-container-1-1431488-jd/?source=searchResults&searchType=2&placement=1431489&sortBy=date
23,senior legal & compliance executive in hanoi(new),https://www.vietnamworks.com/senior-legal-compliance-executive-in-hanoi-1-1431482-jd/?source=searchResults&searchType=2&placement=1431483&sortBy=date
24,nhân viên phòng mua hàng(new),https://www.vietnamworks.com/nhan-vien-phong-mua-hang-61-1-1431480-jd/?source=searchResults&searchType=2&placement=1431481&sortBy=date
25,sales executive(new),https://www.vietnamworks.com/sales-executive-1849-1431461-jd/?source=searchResults&searchType=2&placement=1431462&sortBy=date
26,software engineer (c/c++ or java) - sign on bonus & relocation bonus(new),https://www.vietnamworks.com/software-engineer-c-c-plus-plus-or-java-sign-on-bonus-relocation-bonus-1431442-jd/?source=searchResults&searchType=2&placement=1431443&sortBy=date
27,rider e-learning executive(new),https://www.vietnamworks.com/rider-e-learning-executive-1431348-jd/?source=searchResults&searchType=2&placement=1431349&sortBy=date
28,it helpdesk(new),https://www.vietnamworks.com/it-helpdesk-72-1-1-1430259-jd/?source=searchResults&searchType=2&placement=1430260&sortBy=date
29,hcm - chuyên viên quan hệ khách hàng doanh nghiệp(new),https://www.vietnamworks.com/hcm-chuyen-vien-quan-he-khach-hang-doanh-nghiep-3-1430222-jd/?source=searchResults&searchType=2&placement=1430223&sortBy=date
30,microbiologist/ nhân viên phòng vi sinh(new),https://www.vietnamworks.com/microbiologist-nhan-vien-phong-vi-sinh-1430183-jd/?source=searchResults&searchType=2&placement=1430184&sortBy=date
31,qc specialist/ kiểm soát viên đa năng(new),https://www.vietnamworks.com/qc-specialist-kiem-soat-vien-da-nang-1430172-jd/?source=searchResults&searchType=2&placement=1430173&sortBy=date
32,web developer (chấp nhận sinh viên mới ra trường)(new),https://www.vietnamworks.com/web-developer-chap-nhan-sinh-vien-moi-ra-truong-1429093-jd/?source=searchResults&searchType=2&placement=1429094&sortBy=date
33,chuyên viên tuyển dụng it(new),https://www.vietnamworks.com/chuyen-vien-tuyen-dung-it-3-1429089-jd/?source=searchResults&searchType=2&placement=1429090&sortBy=date
34,qa engineer (urgent)(new),https://www.vietnamworks.com/qa-engineer-urgent-2-1-1439518-jd/?source=searchResults&searchType=2&placement=1439519&sortBy=date
35,quality assurance staff - qa staff/ nhân viên đảm bảo chất lượng(new),https://www.vietnamworks.com/quality-assurance-staff-qa-staff-nhan-vien-dam-bao-chat-luong-1-1436593-jd/?source=searchResults&searchType=2&placement=1436594&sortBy=date
36,production control staff - nhân viên quản lý sản xuất (01 permanent & 01 short term 7 months)(new),https://www.vietnamworks.com/production-control-staff-nhan-vien-quan-ly-san-xuat-01-permanent-01-short-term-7-months-1-1436592-jd/?source=searchResults&searchType=2&placement=1436593&sortBy=date
37,cán bộ môi giới – vcbs hội sở chính(new),https://www.vietnamworks.com/can-bo-moi-gioi-vcbs-hoi-so-chinh-1-1436582-jd/?source=searchResults&searchType=2&placement=1436583&sortBy=date
38,it staff(new),https://www.vietnamworks.com/it-staff-147-1-1-1436569-jd/?source=searchResults&searchType=2&placement=1436570&sortBy=date
39,[hn - hcm] - chuyên viên kinh doanh thiết bị y tế(new),https://www.vietnamworks.com/hn-hcm-chuyen-vien-kinh-doanh-thiet-bi-y-te-1-1436568-jd/?source=searchResults&searchType=2&placement=1436569&sortBy=date
40,junior project manager ( it communicator)(new),https://www.vietnamworks.com/junior-project-manager-it-communicator-1-1436563-jd/?source=searchResults&searchType=2&placement=1436564&sortBy=date
41,họa viên kết cấu(new),https://www.vietnamworks.com/hoa-vien-ket-cau-14-1-1436556-jd/?source=searchResults&searchType=2&placement=1436557&sortBy=date
42,production engineering staff (01 person)/nhân viên kỹ thuật sản xuất(new),https://www.vietnamworks.com/production-engineering-staff-01-person-nhan-vien-ky-thuat-san-xuat-1436555-jd/?source=searchResults&searchType=2&placement=1436556&sortBy=date
43,senior devops engineer(new),https://www.vietnamworks.com/senior-devops-engineer-25-1-1-1436548-jd/?source=searchResults&searchType=2&placement=1436549&sortBy=date
44,java developer – 2+ years’ experience(new),https://www.vietnamworks.com/java-developer-2-years-experience-1-1-1436545-jd/?source=searchResults&searchType=2&placement=1436546&sortBy=date
45,front-end web developer (html/css/js -up to $900)(new),https://www.vietnamworks.com/front-end-web-developer-html-css-js-up-to-900-4-1-1436533-jd/?source=searchResults&searchType=2&placement=1436534&sortBy=date
46,copywriter/ux writer(new),https://www.vietnamworks.com/copywriter-ux-writer-1436529-jd/?source=searchResults&searchType=2&placement=1436530&sortBy=date
47,thiết kế mô hình 3d (thiệp 3d pop-up cards )(new),https://www.vietnamworks.com/thiet-ke-mo-hinh-3d-thiep-3d-pop-up-cards-4-1436514-jd/?source=searchResults&searchType=2&placement=1436515&sortBy=date
48,nữ nhân viên kinh doanh quốc tế - chỉ yêu cầu tiếng anh (chấp nhận sinh viên mới ra trường)(new),https://www.vietnamworks.com/nu-nhan-vien-kinh-doanh-quoc-te-chi-yeu-cau-tieng-anh-chap-nhan-sinh-vien-moi-ra-truong-2-1436507-jd/?source=searchResults&searchType=2&placement=1436508&sortBy=date
49,chuyên viên seo marketing(new),https://www.vietnamworks.com/chuyen-vien-seo-marketing-6-1436501-jd/?source=searchResults&searchType=2&placement=1436502&sortBy=date
50,reporting & data management assistant manager(new),https://www.vietnamworks.com/reporting-data-management-assistant-manager-1436496-jd/?source=searchResults&searchType=2&placement=1436497&sortBy=date
51,senior backend engineer (java)(new),https://www.vietnamworks.com/senior-backend-engineer-java-1-1-1436486-jd/?source=searchResults&searchType=2&placement=1436487&sortBy=date
52,"mobile apps dev (android, java, kotlin)(new)",https://www.vietnamworks.com/mobile-apps-dev-android-java-kotlin-1-1-1-1436483-jd/?source=searchResults&searchType=2&placement=1436484&sortBy=date
53,thiết kế đồ họa vi tính – computer graphic designer(new),https://www.vietnamworks.com/thiet-ke-do-hoa-vi-tinh-computer-graphic-designer-3-1-1-1-1-1-3-1436481-jd/?source=searchResults&searchType=2&placement=1436482&sortBy=date
54,software engineer in test(new),https://www.vietnamworks.com/software-engineer-in-test-5-2-1-1-1-1436480-jd/?source=searchResults&searchType=2&placement=1436481&sortBy=date
55,senior qa automation engineer(new),https://www.vietnamworks.com/senior-qa-automation-engineer-11-1-1-1436477-jd/?source=searchResults&searchType=2&placement=1436478&sortBy=date
56,senior tech recruiter(new),https://www.vietnamworks.com/senior-tech-recruiter-3-1-1436434-jd/?source=searchResults&searchType=2&placement=1436435&sortBy=date
57,kiến trúc sư cảnh quan(new),https://www.vietnamworks.com/kien-truc-su-canh-quan-37-1-1436420-jd/?source=searchResults&searchType=2&placement=1436421&sortBy=date
