,ID,Date,Company,Title,Location,Link
0,QoNxaI3vxZDmuqZJWv6mmg==,2021-11-09,Shopee,ShopeePay - Business Intelligence,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/shopeepay-business-intelligence-at-shopee-2754663826?refId=grrmBAHTbfaNFjyCQCwvUA%3D%3D&trackingId=QoNxaI3vxZDmuqZJWv6mmg%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
1,xx2eNgPKofS3LQfeL5fXTA==,2021-09-30,Employment Hero,Remote Database Developer,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/remote-database-developer-at-employment-hero-2772766208?refId=grrmBAHTbfaNFjyCQCwvUA%3D%3D&trackingId=xx2eNgPKofS3LQfeL5fXTA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
2,hsqnzm5lrhsVlG7JrVzd7Q==,2021-11-03,BPC Banking Technologies,Oracle PL/SQL Developer (Banking Segment),"Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/oracle-pl-sql-developer-banking-segment-at-bpc-banking-technologies-2784734052?refId=grrmBAHTbfaNFjyCQCwvUA%3D%3D&trackingId=hsqnzm5lrhsVlG7JrVzd7Q%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
3,9CoD3kN5RYFqyb+MACBw8Q==,2021-11-04,Kiến Guru,Business Intelligence,"Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/business-intelligence-at-ki%E1%BA%BFn-guru-2778661153?refId=grrmBAHTbfaNFjyCQCwvUA%3D%3D&trackingId=9CoD3kN5RYFqyb%2BMACBw8Q%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
4,zoEUr/KKSKhPQYFa3vVjEA==,2021-10-11,SeaMoney,Business Intelligence,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/business-intelligence-at-seamoney-2756445247?refId=grrmBAHTbfaNFjyCQCwvUA%3D%3D&trackingId=zoEUr%2FKKSKhPQYFa3vVjEA%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
5,ualUoFF7cgQdQpa7X1OfFw==,2021-11-03,Sendo.vn,Business Intelligence Engineer,"Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/business-intelligence-engineer-at-sendo-vn-2777228558?refId=grrmBAHTbfaNFjyCQCwvUA%3D%3D&trackingId=ualUoFF7cgQdQpa7X1OfFw%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
6,uIRb+KMUu3/yt+VrEQQZkA==,2021-11-08,Hitachi Vantara,Junior Pentaho Consultant,"Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/junior-pentaho-consultant-at-hitachi-vantara-2790406670?refId=grrmBAHTbfaNFjyCQCwvUA%3D%3D&trackingId=uIRb%2BKMUu3%2Fyt%2BVrEQQZkA%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
7,ESt0XhGk1F1G3ldm1h9onw==,2021-08-30,Katalon,Data Engineer,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/data-engineer-at-katalon-2732006975?refId=grrmBAHTbfaNFjyCQCwvUA%3D%3D&trackingId=ESt0XhGk1F1G3ldm1h9onw%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
8,2DqiSSdGxzOqB13yamVg1Q==,2021-10-14,Techcombank (TCB),Senior Data Warehouse Developer,"Hanoi, Hanoi, Vietnam",https://vn.linkedin.com/jobs/view/senior-data-warehouse-developer-at-techcombank-tcb-2699211432?refId=grrmBAHTbfaNFjyCQCwvUA%3D%3D&trackingId=2DqiSSdGxzOqB13yamVg1Q%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
9,QDrXcFeccmRSHwazjsqj8w==,2021-10-22,DXC Technology,BI DATA ANALYST DEVELOPER,"Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/bi-data-analyst-developer-at-dxc-technology-2759599691?refId=grrmBAHTbfaNFjyCQCwvUA%3D%3D&trackingId=QDrXcFeccmRSHwazjsqj8w%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
10,CB8eDLs8hbEUl36gVVwQIQ==,2021-11-09,CarePlus International Clinics,Business Application Developer,"Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/business-application-developer-at-careplus-international-clinics-2785943346?refId=grrmBAHTbfaNFjyCQCwvUA%3D%3D&trackingId=CB8eDLs8hbEUl36gVVwQIQ%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
11,MwX79LXGBrhC97OqGvBZpA==,2021-10-21,Techcombank (TCB),Senior/ Data Architect,"Hanoi, Hanoi, Vietnam",https://vn.linkedin.com/jobs/view/senior-data-architect-at-techcombank-tcb-2758179004?refId=grrmBAHTbfaNFjyCQCwvUA%3D%3D&trackingId=MwX79LXGBrhC97OqGvBZpA%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
12,7WyxaFzvsc+/tFgAhkRNAA==,2021-10-21,Techcombank (TCB),Senior/ Data Architect,"Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/senior-data-architect-at-techcombank-tcb-2758173798?refId=grrmBAHTbfaNFjyCQCwvUA%3D%3D&trackingId=7WyxaFzvsc%2B%2FtFgAhkRNAA%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
13,XD1lGYU041IOJTR4r/0EQA==,2021-11-02,"KMS Technology, Inc.",Senior Data Engineer,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/senior-data-engineer-at-kms-technology-inc-2783278109?refId=grrmBAHTbfaNFjyCQCwvUA%3D%3D&trackingId=XD1lGYU041IOJTR4r%2F0EQA%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
14,9u1ElQTB2iWNtotto73TKA==,2021-10-27,Chợ Tốt,Business Intelligence Specialist,"Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/business-intelligence-specialist-at-ch%E1%BB%A3-t%E1%BB%91t-2768825339?refId=grrmBAHTbfaNFjyCQCwvUA%3D%3D&trackingId=9u1ElQTB2iWNtotto73TKA%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card
15,eeY/1IfMNVhspFNPk1F1MQ==,2021-10-26,Votiva,Dynamics Developer,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/dynamics-developer-at-votiva-2767818152?refId=grrmBAHTbfaNFjyCQCwvUA%3D%3D&trackingId=eeY%2F1IfMNVhspFNPk1F1MQ%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card
16,DwQS1iOtgh19kQd3536PEA==,2021-11-02,Home Credit Vietnam,Senior Data Analyst,"Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/senior-data-analyst-at-home-credit-vietnam-2775254858?refId=grrmBAHTbfaNFjyCQCwvUA%3D%3D&trackingId=DwQS1iOtgh19kQd3536PEA%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card
17,hYhxo/doqHcLLyV2QERR2Q==,2021-10-19,One Mount,Senior Business Intelligence (Banking/Finance),"Hanoi, Hanoi, Vietnam",https://vn.linkedin.com/jobs/view/senior-business-intelligence-banking-finance-at-one-mount-2755938749?refId=grrmBAHTbfaNFjyCQCwvUA%3D%3D&trackingId=hYhxo%2FdoqHcLLyV2QERR2Q%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card
18,U7B+9TRSA13XahJog2SVKw==,2021-10-27,MoMo (M_Service),Data Analyst (Junior/Senior/Lead),"Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/data-analyst-junior-senior-lead-at-momo-m-service-2731808057?refId=grrmBAHTbfaNFjyCQCwvUA%3D%3D&trackingId=U7B%2B9TRSA13XahJog2SVKw%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card
