,auto_id,ID,Date,Company,Title,Location,Link
0,0,4MoIH07KU5WY43uGV3RDbA==,2021-11-04,Kiến Guru,Business Intelligence,"Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/business-intelligence-at-ki%E1%BA%BFn-guru-2778661153?refId=uPcGMrvL8yd%2F1qEhoj%2Fx3w%3D%3D&trackingId=4MoIH07KU5WY43uGV3RDbA%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
1,1,LCq76k16/3ifLGdkiXw6KQ==,2021-11-04,Shopee,"ShopeeFood - Strategy & Planning, Business Intelligence","Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/shopeefood-strategy-planning-business-intelligence-at-shopee-2699218840?refId=uPcGMrvL8yd%2F1qEhoj%2Fx3w%3D%3D&trackingId=LCq76k16%2F3ifLGdkiXw6KQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
2,2,8in1tJrkcciTWFU3SxjrOg==,2021-11-03,Sendo.vn,Business Intelligence Engineer,"Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/business-intelligence-engineer-at-sendo-vn-2777228558?refId=uPcGMrvL8yd%2F1qEhoj%2Fx3w%3D%3D&trackingId=8in1tJrkcciTWFU3SxjrOg%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
3,3,fGtgARWANrWr+PSmizks7g==,2021-11-04,Shopee,Finance Business Intelligence Analyst,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/finance-business-intelligence-analyst-at-shopee-2698744210?refId=uPcGMrvL8yd%2F1qEhoj%2Fx3w%3D%3D&trackingId=fGtgARWANrWr%2BPSmizks7g%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
4,4,A2o3gwEFNVuE1JqZwLkxVw==,2021-10-07,Shopee,Senior Business Intelligence Analyst,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/senior-business-intelligence-analyst-at-shopee-2781954852?refId=uPcGMrvL8yd%2F1qEhoj%2Fx3w%3D%3D&trackingId=A2o3gwEFNVuE1JqZwLkxVw%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
5,5,ztHBEwuGiurfUULhNuVWEw==,2021-11-01,Movi Vietnam,"Senior Manager, Business Intelligence & Data Analytics - Risk Department","Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/senior-manager-business-intelligence-data-analytics-risk-department-at-movi-vietnam-2773777869?refId=uPcGMrvL8yd%2F1qEhoj%2Fx3w%3D%3D&trackingId=ztHBEwuGiurfUULhNuVWEw%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
6,6,lupsbLXct3NHkxB9OpwJMQ==,2021-10-18,Shopee,ShopeePay - Business Intelligence,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/shopeepay-business-intelligence-at-shopee-2754663826?refId=uPcGMrvL8yd%2F1qEhoj%2Fx3w%3D%3D&trackingId=lupsbLXct3NHkxB9OpwJMQ%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
7,7,,2021-10-30,secret,"Senior Manager, Analytics Consulting","Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/senior-manager-analytics-consulting-at-secret-2779507676?refId=uPcGMrvL8yd%2F1qEhoj%2Fx3w%3D%3D&trackingId=Fkgy5S2qtTk8xq4sTTbKog%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
8,8,oQKp1TDUDj1JF+Bgdj6fYQ==,2021-10-01,Shopee,Shopee C&B - Reporting and Analytics,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/shopee-c-b-reporting-and-analytics-at-shopee-2756443861?refId=uPcGMrvL8yd%2F1qEhoj%2Fx3w%3D%3D&trackingId=oQKp1TDUDj1JF%2BBgdj6fYQ%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
9,9,OVskacA6fBAGk1dZxHxlkg==,2021-10-19,Shopee,Business Intelligence Analyst (Based in Kuala Lumpur),"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/business-intelligence-analyst-based-in-kuala-lumpur-at-shopee-2755941449?refId=uPcGMrvL8yd%2F1qEhoj%2Fx3w%3D%3D&trackingId=OVskacA6fBAGk1dZxHxlkg%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
