,ID,Date,Company,Title,Location,Link
0,4MoIH07KU5WY43uGV3RDbA==,2021-11-04,Kiến Guru,Business Intelligence,"Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/business-intelligence-at-ki%E1%BA%BFn-guru-2778661153?refId=uPcGMrvL8yd%2F1qEhoj%2Fx3w%3D%3D&trackingId=4MoIH07KU5WY43uGV3RDbA%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
1,LCq76k16/3ifLGdkiXw6KQ==,2021-11-04,Shopee,"ShopeeFood - Strategy & Planning, Business Intelligence","Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/shopeefood-strategy-planning-business-intelligence-at-shopee-2699218840?refId=uPcGMrvL8yd%2F1qEhoj%2Fx3w%3D%3D&trackingId=LCq76k16%2F3ifLGdkiXw6KQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
2,8in1tJrkcciTWFU3SxjrOg==,2021-11-03,Sendo.vn,Business Intelligence Engineer,"Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/business-intelligence-engineer-at-sendo-vn-2777228558?refId=uPcGMrvL8yd%2F1qEhoj%2Fx3w%3D%3D&trackingId=8in1tJrkcciTWFU3SxjrOg%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
3,fGtgARWANrWr+PSmizks7g==,2021-11-04,Shopee,Finance Business Intelligence Analyst,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/finance-business-intelligence-analyst-at-shopee-2698744210?refId=uPcGMrvL8yd%2F1qEhoj%2Fx3w%3D%3D&trackingId=fGtgARWANrWr%2BPSmizks7g%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
4,A2o3gwEFNVuE1JqZwLkxVw==,2021-10-07,Shopee,Senior Business Intelligence Analyst,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/senior-business-intelligence-analyst-at-shopee-2781954852?refId=uPcGMrvL8yd%2F1qEhoj%2Fx3w%3D%3D&trackingId=A2o3gwEFNVuE1JqZwLkxVw%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
5,ztHBEwuGiurfUULhNuVWEw==,2021-11-01,Movi Vietnam,"Senior Manager, Business Intelligence & Data Analytics - Risk Department","Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/senior-manager-business-intelligence-data-analytics-risk-department-at-movi-vietnam-2773777869?refId=uPcGMrvL8yd%2F1qEhoj%2Fx3w%3D%3D&trackingId=ztHBEwuGiurfUULhNuVWEw%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
6,lupsbLXct3NHkxB9OpwJMQ==,2021-10-18,Shopee,ShopeePay - Business Intelligence,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/shopeepay-business-intelligence-at-shopee-2754663826?refId=uPcGMrvL8yd%2F1qEhoj%2Fx3w%3D%3D&trackingId=lupsbLXct3NHkxB9OpwJMQ%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
7,,2021-10-30,secret,"Senior Manager, Analytics Consulting","Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/senior-manager-analytics-consulting-at-secret-2779507676?refId=uPcGMrvL8yd%2F1qEhoj%2Fx3w%3D%3D&trackingId=Fkgy5S2qtTk8xq4sTTbKog%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
8,oQKp1TDUDj1JF+Bgdj6fYQ==,2021-10-01,Shopee,Shopee C&B - Reporting and Analytics,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/shopee-c-b-reporting-and-analytics-at-shopee-2756443861?refId=uPcGMrvL8yd%2F1qEhoj%2Fx3w%3D%3D&trackingId=oQKp1TDUDj1JF%2BBgdj6fYQ%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
9,OVskacA6fBAGk1dZxHxlkg==,2021-10-19,Shopee,Business Intelligence Analyst (Based in Kuala Lumpur),"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/business-intelligence-analyst-based-in-kuala-lumpur-at-shopee-2755941449?refId=uPcGMrvL8yd%2F1qEhoj%2Fx3w%3D%3D&trackingId=OVskacA6fBAGk1dZxHxlkg%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
10,O+to0upSE1/pyk/SQVLF2Q==,2021-09-25,Citi,Data & Analytics Analyst,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/data-analytics-analyst-at-citi-2756832533?refId=uPcGMrvL8yd%2F1qEhoj%2Fx3w%3D%3D&trackingId=O%2Bto0upSE1%2Fpyk%2FSQVLF2Q%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
11,S0XMmXp9iIS6uK88fMpK9g==,2021-10-07,Grab,"Manager, Business Insights & Planning","Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/manager-business-insights-planning-at-grab-2773770088?refId=uPcGMrvL8yd%2F1qEhoj%2Fx3w%3D%3D&trackingId=S0XMmXp9iIS6uK88fMpK9g%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
12,YlWdwG25G3Ns2O3C+Lzwmw==,2021-09-19,Shopee,Business Intelligence Associate ( BD Team),"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/business-intelligence-associate-bd-team-at-shopee-2756433751?refId=uPcGMrvL8yd%2F1qEhoj%2Fx3w%3D%3D&trackingId=YlWdwG25G3Ns2O3C%2BLzwmw%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
13,ctikGeyZXcCY58RAu7bV/g==,2021-10-03,Shopee,Business Intelligence - MKT Campaign,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/business-intelligence-mkt-campaign-at-shopee-2776056931?refId=uPcGMrvL8yd%2F1qEhoj%2Fx3w%3D%3D&trackingId=ctikGeyZXcCY58RAu7bV%2Fg%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
14,x5zwmdGgDRERRhW5jbD7vQ==,2021-10-23,Brainnest,Business Analysis Internship (Remote),"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/business-analysis-internship-remote-at-brainnest-2771119113?refId=uPcGMrvL8yd%2F1qEhoj%2Fx3w%3D%3D&trackingId=x5zwmdGgDRERRhW5jbD7vQ%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card
15,5SCcvYxXqnLo5RYscS1ujw==,2021-10-24,Brainnest,Business Analysis Internship,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/business-analysis-internship-at-brainnest-2771556602?refId=uPcGMrvL8yd%2F1qEhoj%2Fx3w%3D%3D&trackingId=5SCcvYxXqnLo5RYscS1ujw%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card
16,zAEYxcPz3NI2HmZU4Emzgw==,2021-10-22,Shopee,People Team - Reporting and Analytics,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/people-team-reporting-and-analytics-at-shopee-2733646488?refId=uPcGMrvL8yd%2F1qEhoj%2Fx3w%3D%3D&trackingId=zAEYxcPz3NI2HmZU4Emzgw%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card
17,FxewnnvjTFFRTEtxbJz/eQ==,2021-10-18,GSK,Business Intelligence Manager,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/business-intelligence-manager-at-gsk-2757244055?refId=uPcGMrvL8yd%2F1qEhoj%2Fx3w%3D%3D&trackingId=FxewnnvjTFFRTEtxbJz%2FeQ%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card
18,O1GAIkPMWKEKZXGJi5BElQ==,2021-10-19,Shopee,ShopeeFood - Business Intelligence Analyst (Based in Kuala Lumpur),"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/shopeefood-business-intelligence-analyst-based-in-kuala-lumpur-at-shopee-2755941450?refId=uPcGMrvL8yd%2F1qEhoj%2Fx3w%3D%3D&trackingId=O1GAIkPMWKEKZXGJi5BElQ%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card
19,7PPCuZplLleVH7rZvhlPig==,2021-10-27,InnomizeTech,Data Analyst,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/data-analyst-at-innomizetech-2768493298?refId=uPcGMrvL8yd%2F1qEhoj%2Fx3w%3D%3D&trackingId=7PPCuZplLleVH7rZvhlPig%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card
20,PU6VTjW4P3DKA97in9ObDQ==,2021-11-03,McDonald's Vietnam,Customer & Business Insights Analyst,"Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/customer-business-insights-analyst-at-mcdonald-s-vietnam-2746684336?refId=uPcGMrvL8yd%2F1qEhoj%2Fx3w%3D%3D&trackingId=PU6VTjW4P3DKA97in9ObDQ%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card
