,ID,Date,Company,Title,Location,Link
0,bE0Q1sS37E0M6u5lD2nliA==,2021-11-04,Kiến Guru,Business Intelligence,"Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/business-intelligence-at-ki%E1%BA%BFn-guru-2778661153?refId=cjEZ1LWhbzxqbVrzqZQhHQ%3D%3D&trackingId=bE0Q1sS37E0M6u5lD2nliA%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
1,pwzHOn1Q/+Kz8n0Q4p/Kmw==,2021-11-04,Shopee,"ShopeeFood - Strategy & Planning, Business Intelligence","Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/shopeefood-strategy-planning-business-intelligence-at-shopee-2699218840?refId=cjEZ1LWhbzxqbVrzqZQhHQ%3D%3D&trackingId=pwzHOn1Q%2F%2BKz8n0Q4p%2FKmw%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
2,eQ3TS7bdDVTmQ1UGYCBsvA==,2021-11-03,Sendo.vn,Business Intelligence Engineer,"Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/business-intelligence-engineer-at-sendo-vn-2777228558?refId=cjEZ1LWhbzxqbVrzqZQhHQ%3D%3D&trackingId=eQ3TS7bdDVTmQ1UGYCBsvA%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
3,nRn8+LjpLkf3U3ZeZDfw+Q==,2021-11-04,Shopee,Finance Business Intelligence Analyst,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/finance-business-intelligence-analyst-at-shopee-2698744210?refId=cjEZ1LWhbzxqbVrzqZQhHQ%3D%3D&trackingId=nRn8%2BLjpLkf3U3ZeZDfw%2BQ%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
4,1nEn2MzgYsQVy2dNnKmliw==,2021-10-07,Shopee,Senior Business Intelligence Analyst,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/senior-business-intelligence-analyst-at-shopee-2781954852?refId=cjEZ1LWhbzxqbVrzqZQhHQ%3D%3D&trackingId=1nEn2MzgYsQVy2dNnKmliw%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
5,CvP/XqZ49x2oYYqCsnClLQ==,2021-11-01,Movi Vietnam,"Senior Manager, Business Intelligence & Data Analytics - Risk Department","Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/senior-manager-business-intelligence-data-analytics-risk-department-at-movi-vietnam-2773777869?refId=cjEZ1LWhbzxqbVrzqZQhHQ%3D%3D&trackingId=CvP%2FXqZ49x2oYYqCsnClLQ%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
6,Tgv/XvVK7OBdVnJt4gn83Q==,2021-10-18,Shopee,ShopeePay - Business Intelligence,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/shopeepay-business-intelligence-at-shopee-2754663826?refId=cjEZ1LWhbzxqbVrzqZQhHQ%3D%3D&trackingId=Tgv%2FXvVK7OBdVnJt4gn83Q%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
7,,2021-10-30,secret,"Senior Manager, Analytics Consulting","Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/senior-manager-analytics-consulting-at-secret-2779507676?refId=cjEZ1LWhbzxqbVrzqZQhHQ%3D%3D&trackingId=QuTEfHQSXsNO%2BpIXbaJZfA%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
8,2SeTfs2NctNwEUQoibIdUg==,2021-10-01,Shopee,Shopee C&B - Reporting and Analytics,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/shopee-c-b-reporting-and-analytics-at-shopee-2756443861?refId=cjEZ1LWhbzxqbVrzqZQhHQ%3D%3D&trackingId=2SeTfs2NctNwEUQoibIdUg%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
9,GoeDxQX3YwUmAzf7OUZ/mw==,2021-10-19,Shopee,Business Intelligence Analyst (Based in Kuala Lumpur),"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/business-intelligence-analyst-based-in-kuala-lumpur-at-shopee-2755941449?refId=cjEZ1LWhbzxqbVrzqZQhHQ%3D%3D&trackingId=GoeDxQX3YwUmAzf7OUZ%2Fmw%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
10,X3ANhaosKP8dJbIHQwXNdw==,2021-09-25,Citi,Data & Analytics Analyst,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/data-analytics-analyst-at-citi-2756832533?refId=cjEZ1LWhbzxqbVrzqZQhHQ%3D%3D&trackingId=X3ANhaosKP8dJbIHQwXNdw%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
11,JLnI4e1ESmO9FJymBPGXcg==,2021-10-07,Grab,"Manager, Business Insights & Planning","Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/manager-business-insights-planning-at-grab-2773770088?refId=cjEZ1LWhbzxqbVrzqZQhHQ%3D%3D&trackingId=JLnI4e1ESmO9FJymBPGXcg%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
12,ezZsZGzwXj0emdG7jI9eug==,2021-10-03,Shopee,Business Intelligence - MKT Campaign,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/business-intelligence-mkt-campaign-at-shopee-2776056931?refId=cjEZ1LWhbzxqbVrzqZQhHQ%3D%3D&trackingId=ezZsZGzwXj0emdG7jI9eug%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
