,ID,Date,Company,Title,Location,Link
0,2Qut0SAl7ZeXm6TLNWo9dg==,2021-10-19,Citi,Data Analytics Manager,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/data-analytics-manager-at-citi-2756836156?refId=PQnXCgOkhH69MExFamgPEg%3D%3D&trackingId=2Qut0SAl7ZeXm6TLNWo9dg%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
1,CP1cR6LqGa+KBYaEQIRRAA==,2021-11-01,Confidential,REMOTE - DATA ENGINEER,Vietnam,https://vn.linkedin.com/jobs/view/remote-data-engineer-at-confidential-2774515969?refId=PQnXCgOkhH69MExFamgPEg%3D%3D&trackingId=CP1cR6LqGa%2BKBYaEQIRRAA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
2,mQmBotxDpv0BTYrK7sV5yA==,2021-09-25,Citi,Data & Analytics Analyst,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/data-analytics-analyst-at-citi-2756832533?refId=PQnXCgOkhH69MExFamgPEg%3D%3D&trackingId=mQmBotxDpv0BTYrK7sV5yA%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
3,E5m3sBCT+ZgOQfhMpOkMFQ==,2021-11-01,Mekong One,NLP Data Scientist Intern,"Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/nlp-data-scientist-intern-at-mekong-one-2781160502?refId=PQnXCgOkhH69MExFamgPEg%3D%3D&trackingId=E5m3sBCT%2BZgOQfhMpOkMFQ%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
4,xYs7dg2/qlpWbd4SJ8tqpQ==,2021-10-27,MoMo (M_Service),Data Analyst (Junior/Senior/Lead),"Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/data-analyst-junior-senior-lead-at-momo-m-service-2731808057?refId=PQnXCgOkhH69MExFamgPEg%3D%3D&trackingId=xYs7dg2%2FqlpWbd4SJ8tqpQ%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
5,Mv0qo/lue7OUvMMKz3VlBw==,2021-10-07,Grab,Data Processing Analyst,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/data-processing-analyst-at-grab-2774549040?refId=PQnXCgOkhH69MExFamgPEg%3D%3D&trackingId=Mv0qo%2Flue7OUvMMKz3VlBw%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
6,Z5E1465BGs+SAxlg04wIPw==,2021-10-03,Shopee,Business Intelligence - MKT Campaign,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/business-intelligence-mkt-campaign-at-shopee-2776056931?refId=PQnXCgOkhH69MExFamgPEg%3D%3D&trackingId=Z5E1465BGs%2BSAxlg04wIPw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
7,NCJ2nbp10HcXh44iL4ZYKA==,2021-10-06,Shopee,Business Intelligence Analyst,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/business-intelligence-analyst-at-shopee-2780596083?refId=PQnXCgOkhH69MExFamgPEg%3D%3D&trackingId=NCJ2nbp10HcXh44iL4ZYKA%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
8,EUemy0u5iCOKwvjsfJ2AJw==,2021-10-22,Nestlé,Corporate Head of Digital Transformation,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/corporate-head-of-digital-transformation-at-nestl%C3%A9-2769842355?refId=PQnXCgOkhH69MExFamgPEg%3D%3D&trackingId=EUemy0u5iCOKwvjsfJ2AJw%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
9,vpAMHJom5jMcq0W/431yhg==,2021-10-17,Abbott,Data Analytics Manager,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/data-analytics-manager-at-abbott-2763683741?refId=PQnXCgOkhH69MExFamgPEg%3D%3D&trackingId=vpAMHJom5jMcq0W%2F431yhg%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
10,Rv238z4UOx3kB/IDPXw4aQ==,2021-10-27,InnomizeTech,Data Analyst,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/data-analyst-at-innomizetech-2768493298?refId=PQnXCgOkhH69MExFamgPEg%3D%3D&trackingId=Rv238z4UOx3kB%2FIDPXw4aQ%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
