,ID,Date,Company,Title,Location,Link
0,atOGM1JMbVjsridEB412oQ==,2021-11-01,NGen Canada,Data Analyst,Canada,https://ca.linkedin.com/jobs/view/data-analyst-at-ngen-canada-2779364225?refId=pf%2FIOWdoKYTKR2DF%2FVUVJw%3D%3D&trackingId=atOGM1JMbVjsridEB412oQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
1,UZyvRhT5S1ti7YW8C5F8vA==,2021-10-11,Xapo,Data Analyst (Remote - Work from Anywhere),"Gibraltar, Gibraltar",https://gi.linkedin.com/jobs/view/data-analyst-remote-work-from-anywhere-at-xapo-2756484771?refId=pf%2FIOWdoKYTKR2DF%2FVUVJw%3D%3D&trackingId=UZyvRhT5S1ti7YW8C5F8vA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
2,OuqPVXlWc4bSBxiOKlSSrA==,2021-10-18,The Concourse Group LLC,Data Analyst,Washington DC-Baltimore Area,https://www.linkedin.com/jobs/view/data-analyst-at-the-concourse-group-llc-2758268224?refId=pf%2FIOWdoKYTKR2DF%2FVUVJw%3D%3D&trackingId=OuqPVXlWc4bSBxiOKlSSrA%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
3,iMizudWxujNQYgdKKqPHBg==,2021-11-01,ROAS Media,Junior Data Analyst,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/junior-data-analyst-at-roas-media-2773799211?refId=pf%2FIOWdoKYTKR2DF%2FVUVJw%3D%3D&trackingId=iMizudWxujNQYgdKKqPHBg%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
4,,2021-11-01,Analytico Asia,Data Analyst (Remote),"Jakarta, Jakarta, Indonesia",https://id.linkedin.com/jobs/view/data-analyst-remote-at-analytico-asia-2780939339?refId=pf%2FIOWdoKYTKR2DF%2FVUVJw%3D%3D&trackingId=PtKbd4%2BLwgCvlUQ%2BxHWS1w%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
5,cYwCo4g6v+1/YSp0aIEd7w==,2021-11-01,Cover,Data Analyst,Canada,https://ca.linkedin.com/jobs/view/data-analyst-at-cover-2781530305?refId=pf%2FIOWdoKYTKR2DF%2FVUVJw%3D%3D&trackingId=cYwCo4g6v%2B1%2FYSp0aIEd7w%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
6,,2021-10-31,Blue Cross Blue Shield Association - Talent Acquisition,Senior Data Analyst,Greater Chicago Area,https://www.linkedin.com/jobs/view/senior-data-analyst-at-blue-cross-blue-shield-association-talent-acquisition-2780572182?refId=pf%2FIOWdoKYTKR2DF%2FVUVJw%3D%3D&trackingId=xI5O4yGyL0%2Bkyl3S84GwIg%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
7,+sR5VHLV/78zomqmxJWRGQ==,2021-10-26,Coders Data,Data Analyst,San Francisco Bay Area,https://www.linkedin.com/jobs/view/data-analyst-at-coders-data-2774351374?refId=pf%2FIOWdoKYTKR2DF%2FVUVJw%3D%3D&trackingId=%2BsR5VHLV%2F78zomqmxJWRGQ%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
8,8aKP3WzNDnSLOjHbviO2+Q==,2021-10-25,Mintology Studio,Data Analyst,Singapore,https://sg.linkedin.com/jobs/view/data-analyst-at-mintology-studio-2766734390?refId=pf%2FIOWdoKYTKR2DF%2FVUVJw%3D%3D&trackingId=8aKP3WzNDnSLOjHbviO2%2BQ%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
9,90t/to7CrtMdVse23+4G/A==,2021-10-21,SlashData,Junior Data Analyst (Remote - UK or Greece),Greece,https://gr.linkedin.com/jobs/view/junior-data-analyst-remote-uk-or-greece-at-slashdata-2764986458?refId=pf%2FIOWdoKYTKR2DF%2FVUVJw%3D%3D&trackingId=90t%2Fto7CrtMdVse23%2B4G%2FA%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
10,BrCiQRpS8eaOkcjs9fUYDg==,2021-10-20,Mr Yum,Data Analyst,"Melbourne, Victoria, Australia",https://au.linkedin.com/jobs/view/data-analyst-at-mr-yum-2766890795?refId=pf%2FIOWdoKYTKR2DF%2FVUVJw%3D%3D&trackingId=BrCiQRpS8eaOkcjs9fUYDg%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
11,gDAHQNEXC1d96VGmoEESFQ==,2021-10-21,Billigence,Data Analyst,"Prague, Czechia",https://cz.linkedin.com/jobs/view/data-analyst-at-billigence-2768326285?refId=pf%2FIOWdoKYTKR2DF%2FVUVJw%3D%3D&trackingId=gDAHQNEXC1d96VGmoEESFQ%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
12,Z4jnLkeID20otSpsL/9nZQ==,2021-10-20,UBS,HR Data Analyst - remote,"Cracow, Małopolskie, Poland",https://pl.linkedin.com/jobs/view/hr-data-analyst-remote-at-ubs-2771425111?refId=pf%2FIOWdoKYTKR2DF%2FVUVJw%3D%3D&trackingId=Z4jnLkeID20otSpsL%2F9nZQ%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
13,8hcXJtABWLi4C55H9ZKcxw==,2021-10-26,Uber,Data Analyst,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/data-analyst-at-uber-2774185873?refId=pf%2FIOWdoKYTKR2DF%2FVUVJw%3D%3D&trackingId=8hcXJtABWLi4C55H9ZKcxw%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
14,kWuHjanKnM4CvuTdO4Xgmg==,2021-11-02,Oliver James,Data Business Analyst - Remote / London - £500 Outside IR35,"London, England, United Kingdom",https://uk.linkedin.com/jobs/view/data-business-analyst-remote-london-%C2%A3500-outside-ir35-at-oliver-james-2782495911?refId=pf%2FIOWdoKYTKR2DF%2FVUVJw%3D%3D&trackingId=kWuHjanKnM4CvuTdO4Xgmg%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card
15,8Az5VFxpda3Q75pQI3P66A==,2021-10-18,Deferit,Data Analyst,New York City Metropolitan Area,https://www.linkedin.com/jobs/view/data-analyst-at-deferit-2754631092?refId=pf%2FIOWdoKYTKR2DF%2FVUVJw%3D%3D&trackingId=8Az5VFxpda3Q75pQI3P66A%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card
16,KHIkc80lP4MJbsMgrv2siQ==,2021-11-02,Chiiz.com,Data Analyst,"New Delhi, Delhi, India",https://in.linkedin.com/jobs/view/data-analyst-at-chiiz-com-2781964434?refId=pf%2FIOWdoKYTKR2DF%2FVUVJw%3D%3D&trackingId=KHIkc80lP4MJbsMgrv2siQ%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card
