,ID,Date,Company,Title,Location,Link
0,XGlc7z2MabdO1jMSmsTu3Q==,2021-11-01,Hubpay,Data Engineer,United Arab Emirates,https://ae.linkedin.com/jobs/view/data-engineer-at-hubpay-2779322364?refId=PSKJMmzag6lASPylXpcr8w%3D%3D&trackingId=XGlc7z2MabdO1jMSmsTu3Q%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
1,w0cEOUtccXOaDxIqHQzA2g==,2021-11-01,SimplyAnalytics,Data Engineer (100% Remote),United States,https://www.linkedin.com/jobs/view/data-engineer-100%25-remote-at-simplyanalytics-2781685617?refId=PSKJMmzag6lASPylXpcr8w%3D%3D&trackingId=w0cEOUtccXOaDxIqHQzA2g%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
2,5akTGTISiWDPhmY5Bbupwg==,2021-11-01,Licenseware,Data Engineer,Romania,https://ro.linkedin.com/jobs/view/data-engineer-at-licenseware-2781174368?refId=PSKJMmzag6lASPylXpcr8w%3D%3D&trackingId=5akTGTISiWDPhmY5Bbupwg%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
3,1RNTZFU1RBWUvk9rwnZ6PQ==,2021-10-07,Facebook,Data Engineer,United States,https://www.linkedin.com/jobs/view/data-engineer-at-facebook-2774559037?refId=PSKJMmzag6lASPylXpcr8w%3D%3D&trackingId=1RNTZFU1RBWUvk9rwnZ6PQ%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
4,ijWqvt9hlVmm221lAWsZBA==,2021-11-01,SimplyAnalytics,Data Engineer (100% Remote),Canada,https://ca.linkedin.com/jobs/view/data-engineer-100%25-remote-at-simplyanalytics-2779373340?refId=PSKJMmzag6lASPylXpcr8w%3D%3D&trackingId=ijWqvt9hlVmm221lAWsZBA%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
5,aE/xDYfukNUK4zRbI1WLVA==,2021-11-01,"Intello Group, Inc.",Data Engineer,"Dallas, TX",https://www.linkedin.com/jobs/view/data-engineer-at-intello-group-inc-2775206964?refId=PSKJMmzag6lASPylXpcr8w%3D%3D&trackingId=aE%2FxDYfukNUK4zRbI1WLVA%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
6,IkGjZxDVQcWyT0WA778oRA==,2021-11-01,TrueSkilla,Data Engineer,United States,https://www.linkedin.com/jobs/view/data-engineer-at-trueskilla-2774574417?refId=PSKJMmzag6lASPylXpcr8w%3D%3D&trackingId=IkGjZxDVQcWyT0WA778oRA%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
7,m/NBrDmR9igVcsQdq31qUw==,2021-11-01,HireMe,Data Engineer,United States,https://www.linkedin.com/jobs/view/data-engineer-at-hireme-2774572446?refId=PSKJMmzag6lASPylXpcr8w%3D%3D&trackingId=m%2FNBrDmR9igVcsQdq31qUw%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
8,+EQhGlQASkXVuVe4dvs4HA==,2021-11-01,X4 Technology,Data Engineer,United States,https://www.linkedin.com/jobs/view/data-engineer-at-x4-technology-2779325957?refId=PSKJMmzag6lASPylXpcr8w%3D%3D&trackingId=%2BEQhGlQASkXVuVe4dvs4HA%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
9,IJ+UZQMgPcSMIRLs3UR3ew==,2021-11-01,Facebook,"Data Engineer, Analytics",United States,https://www.linkedin.com/jobs/view/data-engineer-analytics-at-facebook-2774564943?refId=PSKJMmzag6lASPylXpcr8w%3D%3D&trackingId=IJ%2BUZQMgPcSMIRLs3UR3ew%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
