,ID,Date,Company,Title,Location,Link
0,jVwxLtPHROKcKOn5E+l8ug==,2021-10-28,ProWeb,Data Entry Assistant,Canada,https://ca.linkedin.com/jobs/view/data-entry-assistant-at-proweb-2769717996?refId=SMuV8nXe84LD3L6qQZlkAQ%3D%3D&trackingId=jVwxLtPHROKcKOn5E%2Bl8ug%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
1,pYzeG102nCdkhy6CQMT2qA==,2021-11-01,NGen Canada,Data Analyst,Canada,https://ca.linkedin.com/jobs/view/data-analyst-at-ngen-canada-2779364225?refId=SMuV8nXe84LD3L6qQZlkAQ%3D%3D&trackingId=pYzeG102nCdkhy6CQMT2qA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
2,,2021-10-27,Mincon Canada Inc,Data Entry Clerk,"Alberta, Canada",https://ca.linkedin.com/jobs/view/data-entry-clerk-at-mincon-canada-inc-2775639228?refId=SMuV8nXe84LD3L6qQZlkAQ%3D%3D&trackingId=HUnnw1e0EF7J%2B2r%2F7OljVA%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
3,UE0um5LZDEml9u7ONozN8Q==,2021-11-01,Cover,Data Analyst,Canada,https://ca.linkedin.com/jobs/view/data-analyst-at-cover-2781530305?refId=SMuV8nXe84LD3L6qQZlkAQ%3D%3D&trackingId=UE0um5LZDEml9u7ONozN8Q%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
4,,2021-10-30,Construction La Quebecoise,Data Entry Clerk,"Quebec, Canada",https://ca.linkedin.com/jobs/view/data-entry-clerk-at-construction-la-quebecoise-2779928265?refId=SMuV8nXe84LD3L6qQZlkAQ%3D%3D&trackingId=rz5z4qXGuzt8s9C0v%2BSx%2FA%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
5,LXKSxRhVPkA+edAQ9vuT2A==,2021-11-01,iSmileTechnologies,Data Science Intern,Canada,https://ca.linkedin.com/jobs/view/data-science-intern-at-ismiletechnologies-2781513870?refId=SMuV8nXe84LD3L6qQZlkAQ%3D%3D&trackingId=LXKSxRhVPkA%2BedAQ9vuT2A%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
6,C381nAvn1osGiSWHR6Ugiw==,2021-10-07,#OpenToWork * Jobs at Amazon * Jobs at Google * Jobs at Microsoft * Jobs at Tesla * Jobs at Alibaba,Data Entry Specialist,Canada,https://ca.linkedin.com/jobs/view/data-entry-specialist-at-%23opentowork-jobs-at-amazon-jobs-at-google-jobs-at-microsoft-jobs-at-tesla-jobs-at-alibaba-2748024626?refId=SMuV8nXe84LD3L6qQZlkAQ%3D%3D&trackingId=C381nAvn1osGiSWHR6Ugiw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
7,EGYFcsajPLn5i6yvmfPWpA==,2021-09-17,METARES,Remote Data Entry Jobs No Experience (Remote),"Toronto, Ontario, Canada",https://ca.linkedin.com/jobs/view/remote-data-entry-jobs-no-experience-remote-at-metares-2753081351?refId=SMuV8nXe84LD3L6qQZlkAQ%3D%3D&trackingId=EGYFcsajPLn5i6yvmfPWpA%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
8,DU/DnCRbYyatEJGUdzN+mg==,2021-11-01,Open North | Nord Ouvert,Senior Analyst - Data Policy & Technology,Canada,https://ca.linkedin.com/jobs/view/senior-analyst-data-policy-technology-at-open-north-nord-ouvert-2615011436?refId=SMuV8nXe84LD3L6qQZlkAQ%3D%3D&trackingId=DU%2FDnCRbYyatEJGUdzN%2Bmg%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
9,kELr2dhx3S1ooew+1jDzHA==,2021-11-01,"freelance writer, editor",Data Entry Operator,Canada,https://ca.linkedin.com/jobs/view/data-entry-operator-at-freelance-writer-editor-2773787471?refId=SMuV8nXe84LD3L6qQZlkAQ%3D%3D&trackingId=kELr2dhx3S1ooew%2B1jDzHA%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
10,JggKQdPYuIxoIe762+GYbQ==,2021-09-17,METARES,Data Entry Jobs No Experience (Remote),"Toronto, Ontario, Canada",https://ca.linkedin.com/jobs/view/data-entry-jobs-no-experience-remote-at-metares-2753078658?refId=SMuV8nXe84LD3L6qQZlkAQ%3D%3D&trackingId=JggKQdPYuIxoIe762%2BGYbQ%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
11,GrchynW04zGIvLLjMUwC4A==,2021-10-04,Canadian Franchise Association,Data Entry Intern,Canada,https://ca.linkedin.com/jobs/view/data-entry-intern-at-canadian-franchise-association-2745067008?refId=SMuV8nXe84LD3L6qQZlkAQ%3D%3D&trackingId=GrchynW04zGIvLLjMUwC4A%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
12,FRYi0qKsUEDbVY7cakvT/g==,2021-11-01,ApexFocusGroup,Remote Data Entry Clerk Work From Home,"Mississauga, Ontario, Canada",https://ca.linkedin.com/jobs/view/remote-data-entry-clerk-work-from-home-at-apexfocusgroup-2781759581?refId=SMuV8nXe84LD3L6qQZlkAQ%3D%3D&trackingId=FRYi0qKsUEDbVY7cakvT%2Fg%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
13,rhW6KTZyFipAQu8No4u/5A==,2021-10-14,ManyMangoes,Data Administration,"Vancouver, British Columbia, Canada",https://ca.linkedin.com/jobs/view/data-administration-at-manymangoes-2756059139?refId=SMuV8nXe84LD3L6qQZlkAQ%3D%3D&trackingId=rhW6KTZyFipAQu8No4u%2F5A%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
14,Pp9+xpgzFRCIEK0/oCD9og==,2021-10-15,TowardJobs,Remote Data Entry Clerk - Work From Home,"Hamilton, Ontario, Canada",https://ca.linkedin.com/jobs/view/remote-data-entry-clerk-work-from-home-at-towardjobs-2780017560?refId=SMuV8nXe84LD3L6qQZlkAQ%3D%3D&trackingId=Pp9%2BxpgzFRCIEK0%2FoCD9og%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card
