,ID,Date,Company,Title,Location,Link
0,UJRkr8TPkrMBnVxU6zpXbQ==,2021-10-26,Yelp,Data Science Analyst (Remote),"Toronto, Ontario, Canada",https://ca.linkedin.com/jobs/view/data-science-analyst-remote-at-yelp-2596224812?refId=6AlfvanI3PSVtnXhZ3JSEA%3D%3D&trackingId=UJRkr8TPkrMBnVxU6zpXbQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
1,gscLBrr/nvfDIOwQf4iT5Q==,2021-11-01,Cover,Data Analyst,Canada,https://ca.linkedin.com/jobs/view/data-analyst-at-cover-2781530305?refId=6AlfvanI3PSVtnXhZ3JSEA%3D%3D&trackingId=gscLBrr%2FnvfDIOwQf4iT5Q%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
2,Jba+wlh2D9WHXwcLgFUIww==,2021-11-01,NGen Canada,Data Analyst,Canada,https://ca.linkedin.com/jobs/view/data-analyst-at-ngen-canada-2779364225?refId=6AlfvanI3PSVtnXhZ3JSEA%3D%3D&trackingId=Jba%2Bwlh2D9WHXwcLgFUIww%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
3,IO6yFxdkmebdnXBz79apcQ==,2021-10-12,My Heart Fitness,Data Analyst / Bio Statistician,"Milton, Ontario, Canada",https://ca.linkedin.com/jobs/view/data-analyst-bio-statistician-at-my-heart-fitness-2747319845?refId=6AlfvanI3PSVtnXhZ3JSEA%3D%3D&trackingId=IO6yFxdkmebdnXBz79apcQ%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
4,mcQ2DNVdXFYwjq4BzQukxA==,2021-11-01,Dawn InfoTek,Data Scientist,"Toronto, Ontario, Canada",https://ca.linkedin.com/jobs/view/data-scientist-at-dawn-infotek-2774568527?refId=6AlfvanI3PSVtnXhZ3JSEA%3D%3D&trackingId=mcQ2DNVdXFYwjq4BzQukxA%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
5,gT+j4IpNXZLxDBa4Ck+gbw==,2021-10-31,Quartic.ai,Data Scientist Intern,"Toronto, Ontario, Canada",https://ca.linkedin.com/jobs/view/data-scientist-intern-at-quartic-ai-2780071292?refId=6AlfvanI3PSVtnXhZ3JSEA%3D%3D&trackingId=gT%2Bj4IpNXZLxDBa4Ck%2Bgbw%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
6,k2+roBH+iHfs0z2PeBIxKA==,2021-10-20,Drop,Data Analyst,"Toronto, Ontario, Canada",https://ca.linkedin.com/jobs/view/data-analyst-at-drop-2757452773?refId=6AlfvanI3PSVtnXhZ3JSEA%3D%3D&trackingId=k2%2BroBH%2BiHfs0z2PeBIxKA%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
7,A6fKqBjG+2h3ksJC8hLIRg==,2021-11-01,Newcomp Analytics,Analytics Advisor,"Greater Toronto Area, Canada",https://ca.linkedin.com/jobs/view/analytics-advisor-at-newcomp-analytics-2775714237?refId=6AlfvanI3PSVtnXhZ3JSEA%3D%3D&trackingId=A6fKqBjG%2B2h3ksJC8hLIRg%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
8,,2021-10-29,FFW - One Global Team. A World of Opportunities.,Analytics Strategist | Canada - Fully Remote,"Toronto, Ontario, Canada",https://ca.linkedin.com/jobs/view/analytics-strategist-canada-fully-remote-at-ffw-one-global-team-a-world-of-opportunities-2778421478?refId=6AlfvanI3PSVtnXhZ3JSEA%3D%3D&trackingId=wHNS1ciJLZLgLcoTacrL%2Bw%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
9,D1x3cVgpj0D5A5RAvk0KvQ==,2021-10-11,Change Healthcare,Business Intelligence Analyst,"Toronto, Ontario, Canada",https://ca.linkedin.com/jobs/view/business-intelligence-analyst-at-change-healthcare-2749926479?refId=6AlfvanI3PSVtnXhZ3JSEA%3D%3D&trackingId=D1x3cVgpj0D5A5RAvk0KvQ%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
