,ID,Date,Company,Title,Location,Link
0,vbj7nzFGAh6NDTq1P66BVA==,2021-10-29,Confidencial,*Junior master data (english and french required)*,Costa Rica,https://cr.linkedin.com/jobs/view/junior-master-data-english-and-french-required-at-confidencial-2779131623?refId=%2BP9lp68FblL2RWmdTfKFIw%3D%3D&trackingId=vbj7nzFGAh6NDTq1P66BVA%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
1,f+bTlSlg/eo5d3r+S/lWWw==,2021-11-01,Data Sciences,Platforms and Support Agent,Canada,https://ca.linkedin.com/jobs/view/platforms-and-support-agent-at-data-sciences-2779329138?refId=%2BP9lp68FblL2RWmdTfKFIw%3D%3D&trackingId=f%2BbTlSlg%2Feo5d3r%2BS%2FlWWw%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
2,BXSWbJA6pcejQgIq/pSSyA==,2021-11-01,Cognizant,French Language Music Programming Specialist,Canada,https://ca.linkedin.com/jobs/view/french-language-music-programming-specialist-at-cognizant-2781381430?refId=%2BP9lp68FblL2RWmdTfKFIw%3D%3D&trackingId=BXSWbJA6pcejQgIq%2FpSSyA%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
3,ZgVvCu0SEnZlkf26MR+OZg==,2021-10-26,Appen,Work-from-home Opportunity | French Speakers in Switzerland,Switzerland,https://ch.linkedin.com/jobs/view/work-from-home-opportunity-french-speakers-in-switzerland-at-appen-2768460512?refId=%2BP9lp68FblL2RWmdTfKFIw%3D%3D&trackingId=ZgVvCu0SEnZlkf26MR%2BOZg%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
4,BQ7DqbX3rE+8qll6ZRgH3A==,2021-10-27,Appen,Work from Home | Internet Analysts,"Rabat-Salé-Kenitra, Morocco",https://ma.linkedin.com/jobs/view/work-from-home-internet-analysts-at-appen-2768862174?refId=%2BP9lp68FblL2RWmdTfKFIw%3D%3D&trackingId=BQ7DqbX3rE%2B8qll6ZRgH3A%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
5,JMFWwpVcyUS+ZdckFe1NjQ==,2021-11-01,Tech First,Foreign Language Content Moderator,Puerto Rico,https://pr.linkedin.com/jobs/view/foreign-language-content-moderator-at-tech-first-2774575493?refId=%2BP9lp68FblL2RWmdTfKFIw%3D%3D&trackingId=JMFWwpVcyUS%2BZdckFe1NjQ%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
6,cHqoNUZDDaEBuyoo16rqQg==,2021-10-12,Appen,Work From Home Opportunity | French Speakers,Greater Zurich Area,https://ch.linkedin.com/jobs/view/work-from-home-opportunity-french-speakers-at-appen-2746697198?refId=%2BP9lp68FblL2RWmdTfKFIw%3D%3D&trackingId=cHqoNUZDDaEBuyoo16rqQg%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
7,0FfB2vAG3JQplbydZWnJRQ==,2021-10-22,Grupo Bimbo,French Master Data Analyst,"Tres Ríos, Cartago, Costa Rica",https://cr.linkedin.com/jobs/view/french-master-data-analyst-at-grupo-bimbo-2765746604?refId=%2BP9lp68FblL2RWmdTfKFIw%3D%3D&trackingId=0FfB2vAG3JQplbydZWnJRQ%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
8,mLIuAmp/3+oUQgeCiRZPPw==,2021-11-01,Facebook,"Language Manager, Spanish",United States,https://www.linkedin.com/jobs/view/language-manager-spanish-at-facebook-2774564793?refId=%2BP9lp68FblL2RWmdTfKFIw%3D%3D&trackingId=mLIuAmp%2F3%2BoUQgeCiRZPPw%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
9,lI3p+K2vjA0aSIkbm4QrGg==,2021-10-26,Appen,Work-from-home Opportunity | French Speakers in Switzerland*,Switzerland,https://ch.linkedin.com/jobs/view/work-from-home-opportunity-french-speakers-in-switzerland-at-appen-2768464280?refId=%2BP9lp68FblL2RWmdTfKFIw%3D%3D&trackingId=lI3p%2BK2vjA0aSIkbm4QrGg%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
