,ID,Date,Company,Title,Location,Link
0,zAQabCEIuQIs1gZnKCqGNw==,2021-11-01,Coders Data,Data Analyst,San Francisco Bay Area,https://www.linkedin.com/jobs/view/data-analyst-at-coders-data-2774537411?refId=pNQVvk693K%2FeslWxjCfq7g%3D%3D&trackingId=zAQabCEIuQIs1gZnKCqGNw%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
1,CjC4SJ38vE3mJbJGdTLgkA==,2021-11-01,OnePoint Consultants DWC LLC,Digital Data Analyst (Dubai),"Dubai, United Arab Emirates",https://ae.linkedin.com/jobs/view/digital-data-analyst-dubai-at-onepoint-consultants-dwc-llc-2778790761?refId=pNQVvk693K%2FeslWxjCfq7g%3D%3D&trackingId=CjC4SJ38vE3mJbJGdTLgkA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
2,qRRGnvLQyXdSRr0PwxdgDg==,2021-11-01,People Dynamics,Data Analyst,"Doha, Qatar",https://qa.linkedin.com/jobs/view/data-analyst-at-people-dynamics-1071638226?refId=pNQVvk693K%2FeslWxjCfq7g%3D%3D&trackingId=qRRGnvLQyXdSRr0PwxdgDg%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
3,fMtatv8x5RfIHSPPH79D4A==,2021-10-31,Shuwaikh Economic Office,Data Analyst,"Al Asimah, Kuwait",https://kw.linkedin.com/jobs/view/data-analyst-at-shuwaikh-economic-office-2776154765?refId=pNQVvk693K%2FeslWxjCfq7g%3D%3D&trackingId=fMtatv8x5RfIHSPPH79D4A%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
4,baT3Wre59yW6JP1UcR8Zag==,2021-11-01,MégaDestock Dz,Data-analyst,"Algiers, Algeria",https://dz.linkedin.com/jobs/view/data-analyst-at-m%C3%A9gadestock-dz-2774550803?refId=pNQVvk693K%2FeslWxjCfq7g%3D%3D&trackingId=baT3Wre59yW6JP1UcR8Zag%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
5,6Wf5l/bmOD2pc8Sywc7khA==,2021-11-01,Hubpay,Data Scientist,United Arab Emirates,https://ae.linkedin.com/jobs/view/data-scientist-at-hubpay-2779317930?refId=pNQVvk693K%2FeslWxjCfq7g%3D%3D&trackingId=6Wf5l%2FbmOD2pc8Sywc7khA%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
6,UIs/9wJducR5OwTLeVzF2Q==,2021-11-01,Roll,Data Analyst,"Mexico City, Mexico",https://mx.linkedin.com/jobs/view/data-analyst-at-roll-2781545991?refId=pNQVvk693K%2FeslWxjCfq7g%3D%3D&trackingId=UIs%2F9wJducR5OwTLeVzF2Q%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
7,vrlxuQJSJ+U/U2dU2kAAzg==,2021-11-01,Confidential,Data Analyst,United States,https://www.linkedin.com/jobs/view/data-analyst-at-confidential-2774572958?refId=pNQVvk693K%2FeslWxjCfq7g%3D%3D&trackingId=vrlxuQJSJ%2BU%2FU2dU2kAAzg%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
8,12GcBgbl8XfGCl9dPlVM8w==,2021-11-01,Remotasks Africa,Data Annotator,Kenya,https://ke.linkedin.com/jobs/view/data-annotator-at-remotasks-africa-2781305229?refId=pNQVvk693K%2FeslWxjCfq7g%3D%3D&trackingId=12GcBgbl8XfGCl9dPlVM8w%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
9,ziO25ECRV45CNyKwK825uw==,2021-11-01,Jobcracker,Data Entry Specialist,"Abu Dhabi, United Arab Emirates",https://ae.linkedin.com/jobs/view/data-entry-specialist-at-jobcracker-2781071013?refId=pNQVvk693K%2FeslWxjCfq7g%3D%3D&trackingId=ziO25ECRV45CNyKwK825uw%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
10,oTn+mq/F7I4cPITPqZ5Nxg==,2021-11-01,NGen Canada,Data Analyst,Canada,https://ca.linkedin.com/jobs/view/data-analyst-at-ngen-canada-2779364225?refId=pNQVvk693K%2FeslWxjCfq7g%3D%3D&trackingId=oTn%2Bmq%2FF7I4cPITPqZ5Nxg%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
11,z6khfPkdjZbTC9QLN/qrOw==,2021-11-01,Confidential,Data Science Analyst,"Abu Dhabi, United Arab Emirates",https://ae.linkedin.com/jobs/view/data-science-analyst-at-confidential-2774500135?refId=pNQVvk693K%2FeslWxjCfq7g%3D%3D&trackingId=z6khfPkdjZbTC9QLN%2FqrOw%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
12,fLR8tWQxiL8vTamMzUF3CA==,2021-11-01,ROI (ή) Operations Management,Insights Analyst,"Nicosia, Cyprus",https://cy.linkedin.com/jobs/view/insights-analyst-at-roi-%CE%AE-operations-management-2779329814?refId=pNQVvk693K%2FeslWxjCfq7g%3D%3D&trackingId=fLR8tWQxiL8vTamMzUF3CA%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
13,g9hYNDoJJsvqeh4RlHxeQQ==,2021-11-01,Hubpay,Data Engineer,United Arab Emirates,https://ae.linkedin.com/jobs/view/data-engineer-at-hubpay-2779322364?refId=pNQVvk693K%2FeslWxjCfq7g%3D%3D&trackingId=g9hYNDoJJsvqeh4RlHxeQQ%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
14,5gLMSzpHn0UsY6fmHfgWmQ==,2021-11-01,Condé Nast Data (India),Data Quality Analyst,"Chennai, Tamil Nadu, India",https://in.linkedin.com/jobs/view/data-quality-analyst-at-cond%C3%A9-nast-data-india-2781125688?refId=pNQVvk693K%2FeslWxjCfq7g%3D%3D&trackingId=5gLMSzpHn0UsY6fmHfgWmQ%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card
15,XIyyJRFwSfmIf+shhlzpaw==,2021-11-01,SellAnyCar.com,Data Analyst (Marketing),"Dubai, Dubai, United Arab Emirates",https://ae.linkedin.com/jobs/view/data-analyst-marketing-at-sellanycar-com-2781113617?refId=pNQVvk693K%2FeslWxjCfq7g%3D%3D&trackingId=XIyyJRFwSfmIf%2Bshhlzpaw%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card
16,3EFkRQWRbW4scPl5VjOBhg==,2021-11-01,Renoir Consulting,Principal : Analysis,"Dubai, United Arab Emirates",https://ae.linkedin.com/jobs/view/principal-analysis-at-renoir-consulting-2779322916?refId=pNQVvk693K%2FeslWxjCfq7g%3D%3D&trackingId=3EFkRQWRbW4scPl5VjOBhg%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card
17,VhSl3jJPuQUGy4/FcAUTkQ==,2021-11-01,New Harbor Capital,Business Intelligence Analyst,"Chicago, IL",https://www.linkedin.com/jobs/view/business-intelligence-analyst-at-new-harbor-capital-2781391184?refId=pNQVvk693K%2FeslWxjCfq7g%3D%3D&trackingId=VhSl3jJPuQUGy4%2FFcAUTkQ%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card
18,D8diCK0tlIWGTF7fj4+tdg==,2021-10-31,GeoTech,Data Scientist,"Riyadh, Saudi Arabia",https://sa.linkedin.com/jobs/view/data-scientist-at-geotech-2772172892?refId=pNQVvk693K%2FeslWxjCfq7g%3D%3D&trackingId=D8diCK0tlIWGTF7fj4%2Btdg%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card
