,ID,Date,Company,Title,Location,Link
0,jPIRdxxQTWOV2hAE0kDQRw==,2021-11-09,Be Group,Data Scientist,"Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/data-scientist-at-be-group-2785998723?refId=fj7hYebjVQv5TLpy%2F399DQ%3D%3D&trackingId=jPIRdxxQTWOV2hAE0kDQRw%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
1,LXL0ORvMKZPA0geVYtmTtw==,2021-11-02,"TELE247 GLOBAL CO., LTD",Data Analyst,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/data-analyst-at-tele247-global-co-ltd-2775252399?refId=fj7hYebjVQv5TLpy%2F399DQ%3D%3D&trackingId=LXL0ORvMKZPA0geVYtmTtw%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
2,G9f5yl8NeUt0IWK+vp0u4Q==,2021-11-05,Crif DnB Viet Nam,Data Analyst,"Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/data-analyst-at-crif-dnb-viet-nam-2779864502?refId=fj7hYebjVQv5TLpy%2F399DQ%3D%3D&trackingId=G9f5yl8NeUt0IWK%2Bvp0u4Q%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
3,EGhUAAvwGvADnnXyPexf+g==,2021-11-10,VNG Corporation,Senior Business Intelligence Analyst (Growth & Marketing),"Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/senior-business-intelligence-analyst-growth-marketing-at-vng-corporation-2786767611?refId=fj7hYebjVQv5TLpy%2F399DQ%3D%3D&trackingId=EGhUAAvwGvADnnXyPexf%2Bg%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
4,D8pyT0lF0KpCAezTatUk8A==,2021-11-08,Van Lang University,Data Scientist,"Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/data-scientist-at-van-lang-university-2786845545?refId=fj7hYebjVQv5TLpy%2F399DQ%3D%3D&trackingId=D8pyT0lF0KpCAezTatUk8A%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
5,dxSGdDiD8k4xzkVqy76GSQ==,2021-11-09,Medisetter Doctor Network,Data Operations Executive,Ho Chi Minh City Metropolitan Area,https://vn.linkedin.com/jobs/view/data-operations-executive-at-medisetter-doctor-network-2786123432?refId=fj7hYebjVQv5TLpy%2F399DQ%3D%3D&trackingId=dxSGdDiD8k4xzkVqy76GSQ%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
6,LNcUdq0TyaEs9x3aCroVPQ==,2021-11-10,Dream Incubator Vietnam,Strategy Consultant,"Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/strategy-consultant-at-dream-incubator-vietnam-2787269431?refId=fj7hYebjVQv5TLpy%2F399DQ%3D%3D&trackingId=LNcUdq0TyaEs9x3aCroVPQ%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
7,aGWe3WXx9wG6Y8M/quA7NQ==,2021-10-27,NADH Consulting,Research - Data Entry,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/research-data-entry-at-nadh-consulting-2768808320?refId=fj7hYebjVQv5TLpy%2F399DQ%3D%3D&trackingId=aGWe3WXx9wG6Y8M%2FquA7NQ%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
8,QOgtNIMPhVc+1J6kVBtIBg==,2021-10-27,InnomizeTech,Data Analyst,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/data-analyst-at-innomizetech-2768493298?refId=fj7hYebjVQv5TLpy%2F399DQ%3D%3D&trackingId=QOgtNIMPhVc%2B1J6kVBtIBg%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
9,/I1vFUujTKiDdij7M367CA==,2021-09-25,Citi,Data & Analytics Analyst,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/data-analytics-analyst-at-citi-2756832533?refId=fj7hYebjVQv5TLpy%2F399DQ%3D%3D&trackingId=%2FI1vFUujTKiDdij7M367CA%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
10,TBBWSvj4zJw8BKcJh0VhQg==,2021-11-10,ATM Online,Financial Analyst,"Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/financial-analyst-at-atm-online-2792809118?refId=fj7hYebjVQv5TLpy%2F399DQ%3D%3D&trackingId=TBBWSvj4zJw8BKcJh0VhQg%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
11,5D/10mxmmEzFjMhmF8EFTw==,2021-10-20,Nestlé,"Data Analytics | Join Our Asia, Oceania, Africa Talent Network","Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/data-analytics-join-our-asia-oceania-africa-talent-network-at-nestl%C3%A9-2793125435?refId=fj7hYebjVQv5TLpy%2F399DQ%3D%3D&trackingId=5D%2F10mxmmEzFjMhmF8EFTw%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
12,7aR7WlwkPVvAUhfC/w85Dw==,2021-11-02,FinAccel,Data Scientist,"Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/data-scientist-at-finaccel-2775290634?refId=fj7hYebjVQv5TLpy%2F399DQ%3D%3D&trackingId=7aR7WlwkPVvAUhfC%2Fw85Dw%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
13,H6grNnxFeI0QTh8a8PYY5g==,2021-11-04,DatVietVAC Group Holdings,Data Analyst,"Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/data-analyst-at-datvietvac-group-holdings-2779419996?refId=fj7hYebjVQv5TLpy%2F399DQ%3D%3D&trackingId=H6grNnxFeI0QTh8a8PYY5g%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
14,vfmah6Aw69qqfRXv0H4BeQ==,2021-11-01,Mekong One,NLP Data Scientist Intern,"Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/nlp-data-scientist-intern-at-mekong-one-2781160502?refId=fj7hYebjVQv5TLpy%2F399DQ%3D%3D&trackingId=vfmah6Aw69qqfRXv0H4BeQ%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card
