,ID,Date,Company,Title,Location,Link
0,sSYXktv5BudZXvuAtJEKaQ==,2021-10-19,Citi,Data Analytics Manager,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/data-analytics-manager-at-citi-2756836156?refId=OlmWpodft2CEssXLmVeG9Q%3D%3D&trackingId=sSYXktv5BudZXvuAtJEKaQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
1,u6ysUUHFT8y2aoWip4uguw==,2021-09-25,Citi,Data & Analytics Analyst,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/data-analytics-analyst-at-citi-2756832533?refId=OlmWpodft2CEssXLmVeG9Q%3D%3D&trackingId=u6ysUUHFT8y2aoWip4uguw%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
2,ytex+0U7YClao1iP7f0Ckg==,2021-10-22,Nestlé,Corporate Head of Digital Transformation,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/corporate-head-of-digital-transformation-at-nestl%C3%A9-2769842355?refId=OlmWpodft2CEssXLmVeG9Q%3D%3D&trackingId=ytex%2B0U7YClao1iP7f0Ckg%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
3,+WhHU8mLqHrVO29l4BMfsQ==,2021-10-03,Shopee,Business Intelligence - MKT Campaign,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/business-intelligence-mkt-campaign-at-shopee-2776056931?refId=OlmWpodft2CEssXLmVeG9Q%3D%3D&trackingId=%2BWhHU8mLqHrVO29l4BMfsQ%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
4,,2021-10-30,secret,"Senior Manager, Analytics Consulting","Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/senior-manager-analytics-consulting-at-secret-2779507676?refId=OlmWpodft2CEssXLmVeG9Q%3D%3D&trackingId=QO10l%2BvuX7b6hJgjogYnhA%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
5,38oyMfIH4cRb/yibPKDehg==,2021-10-17,Abbott,Data Analytics Manager,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/data-analytics-manager-at-abbott-2763683741?refId=OlmWpodft2CEssXLmVeG9Q%3D%3D&trackingId=38oyMfIH4cRb%2FyibPKDehg%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
6,4dw+YfpmM3XrXAs/JiawZg==,2021-10-14,Shopee,Business Intelligence Analyst,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/business-intelligence-analyst-at-shopee-2698744188?refId=OlmWpodft2CEssXLmVeG9Q%3D%3D&trackingId=4dw%2BYfpmM3XrXAs%2FJiawZg%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
7,gVUEEudPMfrSDYVqZ2k8YA==,2021-10-18,Shopee,ShopeePay - Business Intelligence,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/shopeepay-business-intelligence-at-shopee-2754663826?refId=OlmWpodft2CEssXLmVeG9Q%3D%3D&trackingId=gVUEEudPMfrSDYVqZ2k8YA%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
8,RhRewwLo9IL0yJ+XcE0yjQ==,2021-10-25,Topica Edtech Group,Business Intelligence Analyst,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/business-intelligence-analyst-at-topica-edtech-group-2766709089?refId=OlmWpodft2CEssXLmVeG9Q%3D%3D&trackingId=RhRewwLo9IL0yJ%2BXcE0yjQ%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
9,v9Klq0BwtjevXT1lKyXDhA==,2021-10-19,Shopee,Business Intelligence Analyst (Based in Kuala Lumpur),"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/business-intelligence-analyst-based-in-kuala-lumpur-at-shopee-2755941449?refId=OlmWpodft2CEssXLmVeG9Q%3D%3D&trackingId=v9Klq0BwtjevXT1lKyXDhA%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
