,ID,Date,Company,Title,Location,Link
0,dk21nlI5I6PN61/DSTa10g==,2021-10-23,Parcel Perform,Business Analyst,"Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/business-analyst-at-parcel-perform-2759592823?refId=cWJkPjvtzavzHSQPnpJoBQ%3D%3D&trackingId=dk21nlI5I6PN61%2FDSTa10g%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
1,5vOPou4VEj1q54s6YvII8w==,2021-10-26,EcoTruck - Ecosystem for Trucking,Data Engineer,"Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/data-engineer-at-ecotruck-ecosystem-for-trucking-2767832302?refId=cWJkPjvtzavzHSQPnpJoBQ%3D%3D&trackingId=5vOPou4VEj1q54s6YvII8w%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
2,fLcLooDJc9RQd7qwiPerCQ==,2021-10-14,L'Oréal,Assistant Digital Manager,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/assistant-digital-manager-at-l-or%C3%A9al-2755893746?refId=cWJkPjvtzavzHSQPnpJoBQ%3D%3D&trackingId=fLcLooDJc9RQd7qwiPerCQ%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
3,dbfusN/deRhM/D5QZ9RtDQ==,2021-10-26,Shopee,Digital Performance - PMO,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/digital-performance-pmo-at-shopee-2738145402?refId=cWJkPjvtzavzHSQPnpJoBQ%3D%3D&trackingId=dbfusN%2FdeRhM%2FD5QZ9RtDQ%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
4,hKOB2vAE/LWwzIu16XBYPA==,2021-10-18,GSK,Business Intelligence Manager,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/business-intelligence-manager-at-gsk-2757244055?refId=cWJkPjvtzavzHSQPnpJoBQ%3D%3D&trackingId=hKOB2vAE%2FLWwzIu16XBYPA%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
5,,2021-10-30,secret,"Senior Manager, Analytics Consulting","Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/senior-manager-analytics-consulting-at-secret-2779507676?refId=cWJkPjvtzavzHSQPnpJoBQ%3D%3D&trackingId=edDN%2BtTDSUfE21N4K8vHXQ%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
6,mb7tzqP5VyK1wY/NbQoxaQ==,2021-10-17,McKinsey & Company,Business Analyst (open for Ho Chi Minh City Based),"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/business-analyst-open-for-ho-chi-minh-city-based-at-mckinsey-company-2679901828?refId=cWJkPjvtzavzHSQPnpJoBQ%3D%3D&trackingId=mb7tzqP5VyK1wY%2FNbQoxaQ%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
7,,2021-10-21,Lazada Group,Vietnam - User Growth Data & Analytics,"Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/vietnam-user-growth-data-analytics-at-lazada-group-2716587295?refId=cWJkPjvtzavzHSQPnpJoBQ%3D%3D&trackingId=mijULc82z3YYFna9ifz%2Brw%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
8,,2021-10-04,Kiến Guru,Data Analyst,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/data-analyst-at-ki%E1%BA%BFn-guru-2778090736?refId=cWJkPjvtzavzHSQPnpJoBQ%3D%3D&trackingId=8WURlXcD23sCuBmZNqRfxw%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
9,S5IK9IE1NIKgF2DU2Simuw==,2021-10-27,Pierre Fabre Group,Business Analysis Manager,"Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/business-analysis-manager-at-pierre-fabre-group-2770749449?refId=cWJkPjvtzavzHSQPnpJoBQ%3D%3D&trackingId=S5IK9IE1NIKgF2DU2Simuw%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
10,,2021-10-17,Grab Vietnam,Data Processing Analyst,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/data-processing-analyst-at-grab-vietnam-2763423346?refId=cWJkPjvtzavzHSQPnpJoBQ%3D%3D&trackingId=h4r5NT5OKWGzR2iLxSk%2B2A%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
11,FmKvTFnrcqIZXdGjjiXgFg==,2021-10-26,Boston Consulting Group (BCG),Research Lead,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/research-lead-at-boston-consulting-group-bcg-2767866446?refId=cWJkPjvtzavzHSQPnpJoBQ%3D%3D&trackingId=FmKvTFnrcqIZXdGjjiXgFg%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
12,i+7yPXmbtuzmNveyxsPoeg==,2021-10-22,Syngenta,Business Intelligent Lead,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/business-intelligent-lead-at-syngenta-2739635189?refId=cWJkPjvtzavzHSQPnpJoBQ%3D%3D&trackingId=i%2B7yPXmbtuzmNveyxsPoeg%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
13,cgXxRZYXxDXVZ/qsT6Nu8Q==,2021-10-14,Shopee,Business Intelligence Analyst,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/business-intelligence-analyst-at-shopee-2698744188?refId=cWJkPjvtzavzHSQPnpJoBQ%3D%3D&trackingId=cgXxRZYXxDXVZ%2FqsT6Nu8Q%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
14,gE8d+ghrvttca0U0RCZ3SA==,2021-10-22,Vietsourcing Human Resources Services,Data Product Manager,"Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/data-product-manager-at-vietsourcing-human-resources-services-2762839539?refId=cWJkPjvtzavzHSQPnpJoBQ%3D%3D&trackingId=gE8d%2Bghrvttca0U0RCZ3SA%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card
15,,2021-09-29,Home Credit Viet Nam,Business Intelligence Team Leader,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/business-intelligence-team-leader-at-home-credit-viet-nam-2771555390?refId=cWJkPjvtzavzHSQPnpJoBQ%3D%3D&trackingId=gpar4Rg%2BtBkAOD6yZDXIQw%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card
16,qPXa4oHLnY2omd2K67chXg==,2021-10-12,Cargill,Market Insights Lead - TVN,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/market-insights-lead-tvn-at-cargill-2747399061?refId=cWJkPjvtzavzHSQPnpJoBQ%3D%3D&trackingId=qPXa4oHLnY2omd2K67chXg%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card
17,fwzBHicyMEZOEwbNn8yQSw==,2021-10-23,NielsenIQ,Data Science Executive,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/data-science-executive-at-nielseniq-2710365453?refId=cWJkPjvtzavzHSQPnpJoBQ%3D%3D&trackingId=fwzBHicyMEZOEwbNn8yQSw%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card
18,aQQtS3HzqjYXLFy4SHfdmg==,2021-09-29,AREVO,Data Scientist,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/data-scientist-at-arevo-2771560043?refId=cWJkPjvtzavzHSQPnpJoBQ%3D%3D&trackingId=aQQtS3HzqjYXLFy4SHfdmg%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card
19,,2021-09-12,Transcosmos Vietnam,Data Analyst,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/data-analyst-at-transcosmos-vietnam-2747151904?refId=cWJkPjvtzavzHSQPnpJoBQ%3D%3D&trackingId=5P0k98rq6dYM3PlPtNfQiA%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card
20,,2021-09-23,Home Credit Viet Nam,Business Intelligence Specialist,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/business-intelligence-specialist-at-home-credit-viet-nam-2763847884?refId=cWJkPjvtzavzHSQPnpJoBQ%3D%3D&trackingId=qZoe3Fr04PkQxFusXWYQ4w%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card
21,YrGaFX0Kx3GODMjZ01OXfg==,2021-10-25,Deloitte,Director - Technology Strategy & Transformation - VN,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/director-technology-strategy-transformation-vn-at-deloitte-2596228413?refId=cWJkPjvtzavzHSQPnpJoBQ%3D%3D&trackingId=YrGaFX0Kx3GODMjZ01OXfg%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card
22,zCPSjuH0kZTaDmZR7Co8Xw==,2021-10-28,Deloitte,Consulting Internship Program - VN,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/consulting-internship-program-vn-at-deloitte-2770484618?refId=cWJkPjvtzavzHSQPnpJoBQ%3D%3D&trackingId=zCPSjuH0kZTaDmZR7Co8Xw%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card
23,RfJ/3k99vd1CiJlcY7IkqQ==,2021-10-29,DHL Supply Chain,SOLUTION DESIGN ANALYST,"Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/solution-design-analyst-at-dhl-supply-chain-2771084956?refId=cWJkPjvtzavzHSQPnpJoBQ%3D%3D&trackingId=RfJ%2F3k99vd1CiJlcY7IkqQ%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card
24,BzJ+OgMAT6x1VuIrOAA0Mg==,2021-09-18,TIKI Corporation,"Data Engineer, FnA","Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/data-engineer-fna-at-tiki-corporation-2755059893?refId=cWJkPjvtzavzHSQPnpJoBQ%3D%3D&trackingId=BzJ%2BOgMAT6x1VuIrOAA0Mg%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card
25,pqSuFYwj4+Fz+psbYivedQ==,2021-10-14,Shopee,"ShopeeFood - Strategy & Planning, Business Intelligence","Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/shopeefood-strategy-planning-business-intelligence-at-shopee-2699218840?refId=MmgUiZ4BUz7TGFDeiRVcaA%3D%3D&trackingId=pqSuFYwj4%2BFz%2BpsbYivedQ%3D%3D&position=1&pageNum=1&trk=public_jobs_jserp-result_search-card
26,SsRZAVx78gNQD3R1hu8xtw==,2021-10-28,Gojek,Research Lead,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/research-lead-at-gojek-2714549316?refId=MmgUiZ4BUz7TGFDeiRVcaA%3D%3D&trackingId=SsRZAVx78gNQD3R1hu8xtw%3D%3D&position=2&pageNum=1&trk=public_jobs_jserp-result_search-card
27,MrU4C3P9mH+MLgwVMOAIuQ==,2021-10-29,Spirit Labs,Business Analyst,"Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/business-analyst-at-spirit-labs-2771098035?refId=MmgUiZ4BUz7TGFDeiRVcaA%3D%3D&trackingId=MrU4C3P9mH%2BMLgwVMOAIuQ%3D%3D&position=3&pageNum=1&trk=public_jobs_jserp-result_search-card
28,,2021-09-22,Deliveree Vietnam,Data Engineer (Junior - Middle),"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/data-engineer-junior-middle-at-deliveree-vietnam-2763426960?refId=MmgUiZ4BUz7TGFDeiRVcaA%3D%3D&trackingId=06w68GFkFon1NdVisRb2Xg%3D%3D&position=4&pageNum=1&trk=public_jobs_jserp-result_search-card
29,w9+nW8PRdSdYbpdssAs+SQ==,2021-10-21,Techcombank (TCB),Senior/ Data Architect,"Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/senior-data-architect-at-techcombank-tcb-2758173798?refId=MmgUiZ4BUz7TGFDeiRVcaA%3D%3D&trackingId=w9%2BnW8PRdSdYbpdssAs%2BSQ%3D%3D&position=5&pageNum=1&trk=public_jobs_jserp-result_search-card
30,lpzCjYzmZM47z5hTDllTUA==,2021-10-25,Topica Edtech Group,Business Intelligence Analyst,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/business-intelligence-analyst-at-topica-edtech-group-2766709089?refId=MmgUiZ4BUz7TGFDeiRVcaA%3D%3D&trackingId=lpzCjYzmZM47z5hTDllTUA%3D%3D&position=6&pageNum=1&trk=public_jobs_jserp-result_search-card
31,,2021-09-27,Buymed,Data Engineer,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/data-engineer-at-buymed-2769075279?refId=MmgUiZ4BUz7TGFDeiRVcaA%3D%3D&trackingId=mwUjufZMBkhAN7sMbEJN9Q%3D%3D&position=7&pageNum=1&trk=public_jobs_jserp-result_search-card
32,3dnyu1X+SHyGu1hUOO14Tw==,2021-10-29,Shopee,Risk Management Associate,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/risk-management-associate-at-shopee-2740909118?refId=MmgUiZ4BUz7TGFDeiRVcaA%3D%3D&trackingId=3dnyu1X%2BSHyGu1hUOO14Tw%3D%3D&position=8&pageNum=1&trk=public_jobs_jserp-result_search-card
33,GZbHoYuM++9C86n6PYFWkQ==,2021-09-19,Shopee,SPX - Business Expansion,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/spx-business-expansion-at-shopee-2756451942?refId=MmgUiZ4BUz7TGFDeiRVcaA%3D%3D&trackingId=GZbHoYuM%2B%2B9C86n6PYFWkQ%3D%3D&position=9&pageNum=1&trk=public_jobs_jserp-result_search-card
