,ID,Date,Company,Title,Location,Link
0,,2021-10-15,Finan,Data Engineer,Ho Chi Minh City Metropolitan Area,https://vn.linkedin.com/jobs/view/data-engineer-at-finan-2687846313?refId=qNQBtHVeTbT1whpUp1my3Q%3D%3D&trackingId=txtgTv9IbZmjSaLNEsxjVA%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
1,DRSl3fIzs2jPlMe9GylvSw==,2021-10-04,FE CREDIT,Data Engineer,Ho Chi Minh City Metropolitan Area,https://vn.linkedin.com/jobs/view/data-engineer-at-fe-credit-2737062516?refId=qNQBtHVeTbT1whpUp1my3Q%3D%3D&trackingId=DRSl3fIzs2jPlMe9GylvSw%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
2,aqhYrY88r3iq2cOPB5Cj8Q==,2021-10-26,EcoTruck - Ecosystem for Trucking,Data Engineer,"Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/data-engineer-at-ecotruck-ecosystem-for-trucking-2767832302?refId=qNQBtHVeTbT1whpUp1my3Q%3D%3D&trackingId=aqhYrY88r3iq2cOPB5Cj8Q%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
3,,2021-09-22,Deliveree Vietnam,Data Engineer (Junior - Middle),"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/data-engineer-junior-middle-at-deliveree-vietnam-2763426960?refId=qNQBtHVeTbT1whpUp1my3Q%3D%3D&trackingId=c9I4PPc2YDb%2BINK98iHXvg%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
4,X1x12al+069E+BXYDJlgEg==,2021-10-21,GiaoHangNhanh (GHN),Data Engineer,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/data-engineer-at-giaohangnhanh-ghn-2758109886?refId=qNQBtHVeTbT1whpUp1my3Q%3D%3D&trackingId=X1x12al%2B069E%2BBXYDJlgEg%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
5,,2021-09-27,Buymed,Data Engineer,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/data-engineer-at-buymed-2769075279?refId=qNQBtHVeTbT1whpUp1my3Q%3D%3D&trackingId=q0s19H8IusLxgjw%2Ftlmfsg%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
6,,2021-10-31,KMS Solutions,"Data Engineer, KMS Solutions","Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/data-engineer-kms-solutions-at-kms-solutions-2780434452?refId=qNQBtHVeTbT1whpUp1my3Q%3D%3D&trackingId=WfgY3OzEZBk8msS1YQqYMA%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
7,,2021-09-24,Onpoint,Data Engineer,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/data-engineer-at-onpoint-2764884812?refId=qNQBtHVeTbT1whpUp1my3Q%3D%3D&trackingId=AJNhdge9fmaWmVOjqzWFog%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
8,oJFgFrXWUiXogrX7eX3HsQ==,2021-10-29,Intrepid Group Asia,Data Engineer,"Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/data-engineer-at-intrepid-group-asia-2773180217?refId=qNQBtHVeTbT1whpUp1my3Q%3D%3D&trackingId=oJFgFrXWUiXogrX7eX3HsQ%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
9,2u5ccgRHAq5XSTphHK3NJw==,2021-10-23,Parcel Perform,Data Engineer,"Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/data-engineer-at-parcel-perform-2759594654?refId=qNQBtHVeTbT1whpUp1my3Q%3D%3D&trackingId=2u5ccgRHAq5XSTphHK3NJw%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
