,ID,Date,Company,Title,Link
0,4MoIH07KU5WY43uGV3RDbA==,11/4/2021,Kiến Guru,business intelligence,https://vn.linkedin.com/jobs/view/business-intelligence-at-ki%E1%BA%BFn-guru-2778661153?refId=uPcGMrvL8yd%2F1qEhoj%2Fx3w%3D%3D&trackingId=4MoIH07KU5WY43uGV3RDbA%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
1,LCq76k16/3ifLGdkiXw6KQ==,11/4/2021,Shopee,"shopeefood - strategy & planning, business intelligence",https://vn.linkedin.com/jobs/view/shopeefood-strategy-planning-business-intelligence-at-shopee-2699218840?refId=uPcGMrvL8yd%2F1qEhoj%2Fx3w%3D%3D&trackingId=LCq76k16%2F3ifLGdkiXw6KQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
2,8in1tJrkcciTWFU3SxjrOg==,11/3/2021,Sendo.vn,business intelligence engineer,https://vn.linkedin.com/jobs/view/business-intelligence-engineer-at-sendo-vn-2777228558?refId=uPcGMrvL8yd%2F1qEhoj%2Fx3w%3D%3D&trackingId=8in1tJrkcciTWFU3SxjrOg%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
3,fGtgARWANrWr+PSmizks7g==,11/4/2021,Shopee,finance business intelligence analyst,https://vn.linkedin.com/jobs/view/finance-business-intelligence-analyst-at-shopee-2698744210?refId=uPcGMrvL8yd%2F1qEhoj%2Fx3w%3D%3D&trackingId=fGtgARWANrWr%2BPSmizks7g%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
4,A2o3gwEFNVuE1JqZwLkxVw==,10/7/2021,Shopee,senior business intelligence analyst,https://vn.linkedin.com/jobs/view/senior-business-intelligence-analyst-at-shopee-2781954852?refId=uPcGMrvL8yd%2F1qEhoj%2Fx3w%3D%3D&trackingId=A2o3gwEFNVuE1JqZwLkxVw%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
5,ztHBEwuGiurfUULhNuVWEw==,11/1/2021,Movi Vietnam,"senior manager, business intelligence & data analytics - risk department",https://vn.linkedin.com/jobs/view/senior-manager-business-intelligence-data-analytics-risk-department-at-movi-vietnam-2773777869?refId=uPcGMrvL8yd%2F1qEhoj%2Fx3w%3D%3D&trackingId=ztHBEwuGiurfUULhNuVWEw%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
6,lupsbLXct3NHkxB9OpwJMQ==,10/18/2021,Shopee,shopeepay - business intelligence,https://vn.linkedin.com/jobs/view/shopeepay-business-intelligence-at-shopee-2754663826?refId=uPcGMrvL8yd%2F1qEhoj%2Fx3w%3D%3D&trackingId=lupsbLXct3NHkxB9OpwJMQ%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
7,,10/30/2021,secret,"senior manager, analytics consulting",https://vn.linkedin.com/jobs/view/senior-manager-analytics-consulting-at-secret-2779507676?refId=uPcGMrvL8yd%2F1qEhoj%2Fx3w%3D%3D&trackingId=Fkgy5S2qtTk8xq4sTTbKog%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
8,oQKp1TDUDj1JF+Bgdj6fYQ==,10/1/2021,Shopee,shopee c&b - reporting and analytics,https://vn.linkedin.com/jobs/view/shopee-c-b-reporting-and-analytics-at-shopee-2756443861?refId=uPcGMrvL8yd%2F1qEhoj%2Fx3w%3D%3D&trackingId=oQKp1TDUDj1JF%2BBgdj6fYQ%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
9,OVskacA6fBAGk1dZxHxlkg==,10/19/2021,Shopee,business intelligence analyst (based in kuala lumpur),https://vn.linkedin.com/jobs/view/business-intelligence-analyst-based-in-kuala-lumpur-at-shopee-2755941449?refId=uPcGMrvL8yd%2F1qEhoj%2Fx3w%3D%3D&trackingId=OVskacA6fBAGk1dZxHxlkg%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
10,O+to0upSE1/pyk/SQVLF2Q==,9/25/2021,Citi,data & analytics analyst,https://vn.linkedin.com/jobs/view/data-analytics-analyst-at-citi-2756832533?refId=uPcGMrvL8yd%2F1qEhoj%2Fx3w%3D%3D&trackingId=O%2Bto0upSE1%2Fpyk%2FSQVLF2Q%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
11,S0XMmXp9iIS6uK88fMpK9g==,10/7/2021,Grab,"manager, business insights & planning",https://vn.linkedin.com/jobs/view/manager-business-insights-planning-at-grab-2773770088?refId=uPcGMrvL8yd%2F1qEhoj%2Fx3w%3D%3D&trackingId=S0XMmXp9iIS6uK88fMpK9g%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
