,Description,Link
0,"Business Intelligence
Kiến Guru Ho Chi Minh City, Vietnam
6 days ago Be among the first 25 applicants
See who Kiến Guru has hired for this role
Apply Now
Save
Direct message the job poster from Kiến Guru
Trung Dao (Marcus)
Looking for Business Intelligence candidate
Responsibilities
Evaluate and define business metrics, then build and maintain decision tools such as dashboards and reports to support various business functions and management
Monitor data quality to ensure data sources are reliable and relevant for the team’s purposes
Analyze data to drive insightful findings and translate them into meaningful, actionable recommendations for our stakeholders
Communicate to stakeholders regularly about the reasons behind the trends and provide insight to drive strategic decisions
Job Requirement
At least 3 YOE as Business Intelligence or relevant Data Analyst with proven business impact
Bachelor’s Degree or higher
Experience working with cross-functional teams to gather requirements and define the right metrics to describe the state of the business - both on a macro-level and a micro-level
Highly Proficient in SQL (experience in BigQuery is a big plus)
 Very good data and analytical skills including the ability to define and decompose relevant metrics and evaluate the corresponding impacts in the context of business.
Passion for creating highly usable and thorough dashboards/visualizations
Structured though process and ability to learn quickly with a can-do attitude
Excellence written and verbal communication skills in English and Vietnamese.
Other Information
Work Location: 351/58 Le Van Sy Street, Ward 13, Dist. 3, HCMC
Salary Range: 20 - 30 Mil VND (Gross)
Young and friendly environment
Show less
Employment type
Full-time
Referrals increase your chances of interviewing at Kiến Guru by 2x
See who you know
Turn on job alerts
Business Intelligence Specialist in Ho Chi Minh City, Vietnam
",https://vn.linkedin.com/jobs/view/business-intelligence-at-ki%E1%BA%BFn-guru-2778661153?refId=uPcGMrvL8yd%2F1qEhoj%2Fx3w%3D%3D&trackingId=4MoIH07KU5WY43uGV3RDbA%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
1,"ShopeeFood - Strategy & Planning, Business Intelligence
Shopee Ho Chi Minh City, Ho Chi Minh City, Vietnam
6 days ago Be among the first 25 applicants
See who Shopee has hired for this role
Apply on company website
Save
Job Description
Develop and automate report/ dashboard to monitor performance specified by management board, propose appropriate business key metrics at different developmental stages.
Consult management and operational teams by running deep dive data analyses on issues/ ad-hoc requests that lead to actionable insights to growth the business.
Be responsible for the accuracy of the data extraction.
Support various business functions with the development and maintenance of various
management reports.

Requirements
0-2+ years of industry experience with proven business impact; degree in quantitative field
preferred.
Have experience with Python, R (or other tools for statistical analysis), data visualisation tools is
a plus.
Proficiency in advance SQL skills working with relational databases to write complex queries and stored procedures.
Ability to manage multiple priorities and adjust quickly to changing priorities.
Experience working with multiple stakeholders across various divisions.
Ability to make inferences from data and devise appropriate course of actions.
Excellence written and verbal communication skills in English and Vietnamese.
Comfortable working with large data sets and numbers.
Good working knowledge of the technology products.
Self-starter with can-do attitude.
Able to work in a team.
Show less
Seniority level
Entry level
Employment type
Full-time
Job function
Business Development and Sales
Industries
Internet Publishing
Referrals increase your chances of interviewing at Shopee by 2x
See who you know
Turn on job alerts
Business Intelligence Specialist in Ho Chi Minh City, Ho Chi Minh City, Vietnam
",https://vn.linkedin.com/jobs/view/shopeefood-strategy-planning-business-intelligence-at-shopee-2699218840?refId=uPcGMrvL8yd%2F1qEhoj%2Fx3w%3D%3D&trackingId=LCq76k16%2F3ifLGdkiXw6KQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
2,"Business Intelligence Engineer
Sendo.vn Ho Chi Minh City, Vietnam
1 week ago Be among the first 25 applicants
See who Sendo.vn has hired for this role
Apply Now
Save
Direct message the job poster from Sendo.vn
Phung Thanh Vy
HRBP at Sendo.vn
Analyzing business requirements in BI context to build warehouse data
Translating business needs into technical specifications
Developing reporting systems that provide accessible information for decision makers
Maintaining data analytics platforms
Evaluating and improving existing BI systems
Conducting troubleshooting on BI models
Work with users and team members at all levels for performance improvement and suggestions
Show less
Employment type
Full-time
Referrals increase your chances of interviewing at Sendo.vn by 2x
See who you know
Turn on job alerts
Business Intelligence Engineer in Ho Chi Minh City, Vietnam
",https://vn.linkedin.com/jobs/view/business-intelligence-engineer-at-sendo-vn-2777228558?refId=uPcGMrvL8yd%2F1qEhoj%2Fx3w%3D%3D&trackingId=8in1tJrkcciTWFU3SxjrOg%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
3,None,https://vn.linkedin.com/jobs/view/finance-business-intelligence-analyst-at-shopee-2698744210?refId=uPcGMrvL8yd%2F1qEhoj%2Fx3w%3D%3D&trackingId=fGtgARWANrWr%2BPSmizks7g%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
4,"Senior Business Intelligence Analyst
Shopee Ho Chi Minh City, Ho Chi Minh City, Vietnam
1 month ago Be among the first 25 applicants
See who Shopee has hired for this role
No longer accepting applications
Job Description:
Evaluate and define business metrics, democratize data by building and socializing decision tools (dashboard, reports)
Consult business stakeholders (e.g. Business Development, Retail, Campaign, etc) to run analyses that lead to actionable Insights to growth the business
Lead the effort to communicate state of the business to stakeholders regularly with the purpose of enabling Shopee Vietnam team understand reasons behind the trends and provide insight to drive strategic decisions
Support various business functions with the development and maintenance of various management reports

Requirements:
3-4 years of industry experience in Business Intelligence or Data Analyst role with proven business impact
Experience working with cross-functional teams to gather requirements and define the right metrics to describe the state of the business - both on a macro-level and a micro-level
Passion for creating highly usable and thorough dashboards/visualizations
Strong analytical thinking and ability to learn quickly with can do attitude
Advance Excel skill with knowledge in Power Query, Power Pivots
Experience in mySQL is compulsory
Knowing statistical programming language (Python, R) to manipulate and draw insights from large data set is a plus
Excellence written and verbal communication skills in English and Vietnamese
Show less
Seniority level
Associate
Employment type
Full-time
Job function
Research, Analyst, and Information Technology
Industries
IT Services and IT Consulting, Marketing and Advertising, and Internet Publishing
Referrals increase your chances of interviewing at Shopee by 2x
See who you know
Turn on job alerts
Senior Business Intelligence Analyst in Ho Chi Minh City, Ho Chi Minh City, Vietnam
",https://vn.linkedin.com/jobs/view/senior-business-intelligence-analyst-at-shopee-2781954852?refId=uPcGMrvL8yd%2F1qEhoj%2Fx3w%3D%3D&trackingId=A2o3gwEFNVuE1JqZwLkxVw%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
5,"Senior Manager, Business Intelligence & Data Analytics - Risk Department
Movi Vietnam Ho Chi Minh City, Vietnam
1 week ago Be among the first 25 applicants
See who Movi Vietnam has hired for this role
Apply Now
Save
Direct message the job poster from Movi Vietnam
Thuy Pham
Movi Viet Nam is hiring Manager Credit Risk Analyst & Portfolio
Key Role and Responsibilities
Support the Head of Department to manage the preparation of reports for Risk Division to assist with the management of Credit Risk, Operational Risk, Compliance, Fraud and Collections (NPLs, Loan Impairment Expense and prudent provisioning)
Maintenance of Risk (including scorecards), Sales and Marketing reporting using internal data and external ‘Big Data’.
Support the management, design, development, testing and evaluation of big data and machine learning solutions within the organization through algorithms and tools.
Assist in the management of a team to design, develop and evaluate Machine Learning Pipelines solutions embracing the latest open source and cloud technologies like Python, R, AWS, …
Manage the preparation of budgets and reports on costs and expenses within Risk when required by Finance Division.
Working under instruction from the CRO and the Head of DA & BI you will support credit risk forecasting, PD, LGD and EL calculations and maintenance of this data.
Be responsible for accurate operational and statistical reports to primarily assist the Risk Department but will also support other departments such as Sales, Marketing and Finance.
Manage the maintenance of the internal file review process.
Manage the maintenance of old records system and transfer of files to Data Warehouse.
Support management of high-quality maintenance of data within the company’s systems by Risk Division staff.
Manage internal reporting of 3rd Party agencies.
Ensure direct reports are managing efficient business operations that will aim to deliver the best Risk Management practices, drive improvement in performance and develop team members.
Participate in the designing and implementation of training to help raise the skill and knowledge levels of team members.
Immediately report instances of dishonesty or suspicious behavior, irrespective of the circumstances or individuals involved.
Comply with all operational risk duties as specified in the company’s policies and guidelines.
Knowledge of financial industry trends and best practice is desirable.
Strong skills in Excel are required and knowledge of SQL is desirable.
Support change management projects and drive continuous improvement.
This role reports to the Head of Data Analytics and Business Intelligence.
Complete other tasks assigned by Chief Risk ",https://vn.linkedin.com/jobs/view/senior-manager-business-intelligence-data-analytics-risk-department-at-movi-vietnam-2773777869?refId=uPcGMrvL8yd%2F1qEhoj%2Fx3w%3D%3D&trackingId=ztHBEwuGiurfUULhNuVWEw%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
6,"ShopeePay - Business Intelligence
Shopee Ho Chi Minh City, Ho Chi Minh City, Vietnam
1 day ago Be among the first 25 applicants
See who Shopee has hired for this role
Apply on company website
Save
Job Description
Evaluate and define business metrics, democratize data by building and socializing decision tools (dashboard, reports)
Run analysis to gain insight and provide valuable advices to related stakeholders to grow the business.
Communicate to stakeholders regularly about the reasons behind the trends and provide insight to drive strategic decisions
Support various business functions with the development and maintenance of various management reports

Requirements
At least 3+ year of industry experience in Business Intelligence or Data Analyst role with proven business impact
Experience working with cross-functional teams to gather requirements and define the right metrics to describe the state of the business - both on a macro-level and a micro-level
Passion for creating highly usable and thorough dashboards/visualizations
Strong analytical thinking and ability to learn quickly with can do attitude
Advance Excel skill with knowledge in Power Query, Power Pivots
Experience in MySQL is compulsory
Knowing statistical programming language (Python, R) to manipulate and draw insights from large data set is a plus
Excellence written and verbal communication skills in English and Vietnamese.
Show less
Seniority level
Entry level
Employment type
Full-time
Job function
Business Development and Sales
Industries
Internet Publishing
Referrals increase your chances of interviewing at Shopee by 2x
See who you know
Turn on job alerts
Business Intelligence Specialist in Ho Chi Minh City, Ho Chi Minh City, Vietnam
",https://vn.linkedin.com/jobs/view/shopeepay-business-intelligence-at-shopee-2754663826?refId=uPcGMrvL8yd%2F1qEhoj%2Fx3w%3D%3D&trackingId=lupsbLXct3NHkxB9OpwJMQ%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
7,None,https://vn.linkedin.com/jobs/view/senior-manager-analytics-consulting-at-secret-2779507676?refId=uPcGMrvL8yd%2F1qEhoj%2Fx3w%3D%3D&trackingId=Fkgy5S2qtTk8xq4sTTbKog%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
8,"Shopee C&B - Reporting and Analytics
Shopee Ho Chi Minh City, Ho Chi Minh City, Vietnam
1 month ago Be among the first 25 applicants
See who Shopee has hired for this role
Apply on company website
Save
Job Description:

This role is part of People Team – C&B. Together with leader you will co-create and further develop frame and structuring HR reports and analytics for Shopee and group. This means that you will develop and lead relevant activities included but not limit to database, design, develop and implement operational metrics and analytics for Human Resource (HR), sharing & guidance activities, projects on relevant topics.

On a daily basis you will:
Design HR data warehouse to consolidate HR data from various HR systems, sources
Develop and maintain data integration and data transformation pipeline to support generation of operation metrics, dashboards, data analysis and indicative employee behaviors such as attrition, turnover, tenure, performance, engagement, etc
Implement and champion data governance framework within HR
Implementation of standardized HR operational reports, ad hoc queries and data related projects
Enhance data collection procedures to include information that is relevant for building analytics solutions
Collaborate with stakeholders within HR functions to design HR data products and continuously improve on data analytics capabilities
Project manage the roll-out and adoption of initiatives, including coordinating, testing, reporting and tracking of impact

Background/Requirement:
Bachelor's degree in HR/ business, information systems and relevant
Experience working with HRIS and HR data at least 2 years and more
Good understanding of the different HR functions / employee lifecycle management
Experience in data modelling, data ingestion and data governance
Experience in producing storytelling dashboards/analysis for HR with high business impact using visualization
Experience in consulting / change management is preferred, ; ability to identify key issues and develop relevant solutions in a structured way
Analytical, conceptual, and critical thinking capability
Ability to remain calm in high stress situations
Proficient in MS ",https://vn.linkedin.com/jobs/view/shopee-c-b-reporting-and-analytics-at-shopee-2756443861?refId=uPcGMrvL8yd%2F1qEhoj%2Fx3w%3D%3D&trackingId=oQKp1TDUDj1JF%2BBgdj6fYQ%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
9,"Business Intelligence Analyst (Based in Kuala Lumpur)
Shopee Ho Chi Minh City, Ho Chi Minh City, Vietnam
37 minutes ago Be among the first 25 applicants
See who Shopee has hired for this role
Apply on company website
Save
Job Description
Work extensively with numbers and data, collecting data and ensuring the data cleanliness and accuracy as well as interpreting the data
Manage large amounts of data, analyzing them and developing data-driven insights to the business to make strategic planning to drive improvement actions and sound business decisions
Oversee the entire performance of payment business data analytic team by developing dashboards, monitoring trends and identifying risks, provide periodic and ad hoc reporting to facilitate the Operations in keeping track of performance and drive improvement
Maintain periodical report to keep track of key metrics within the department
Developing and supplying the Operations Management with adhoc reporting requirement
Exploring and adapting new research practices to improve team's effectiveness and speed

Requirements
Bachelor Degree, preferably major in a quantitative subject, such as business analytics, statistics, engineering, mathematics
Someone with experience in Fintech or E-commerce industry, or in the similar capacity would be an added advantage
From 2 to 4 years of experience in business intelligence or data analytics
Proficiency in SQL (Structured Query Language), Excel and Power Point
Strong analytical and problem solving skills: ability to draw insights from data, research and design practical and scalable solutions
High energy, self-motivation and ability to thrive in a fast-paced working environment with a customer focused attitude
Good critical thinking, logical thinking with Excellent verbal and non-verbal communication skills
Experience in Payment Processing System/FinTech would be a plus.
Able to analyze and synthesize data from both quantitative and qualitative sources
Good command of English
Show less
Seniority level
Associate
Employment type
Full-time
Job function
Research, Analyst, and Information Technology
Industries
Internet Publishing
Referrals increase your chances of interviewing at Shopee by 2x
See who you know
Turn on job alerts
Business Intelligence Analyst in Ho Chi Minh City, Ho Chi Minh City, Vietnam
",https://vn.linkedin.com/jobs/view/business-intelligence-analyst-based-in-kuala-lumpur-at-shopee-2755941449?refId=uPcGMrvL8yd%2F1qEhoj%2Fx3w%3D%3D&trackingId=OVskacA6fBAGk1dZxHxlkg%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
