,ID,Date,Company,Title,Location,Link
0,rtpplca21Gd3vq7/EswlHg==,2021-11-01,PT. IDStar Cipta Teknologi,ETL Developer,Jakarta Metropolitan Area,https://id.linkedin.com/jobs/view/etl-developer-at-pt-idstar-cipta-teknologi-2773761326?refId=9ZWlhFWnxGU65G5im0g6ZA%3D%3D&trackingId=rtpplca21Gd3vq7%2FEswlHg%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
1,XMD0dOSi37kTyIkazlO31g==,2021-11-01,Tata Consultancy Services,SQl Developer/DBA,"Bangalore Urban, Karnataka, India",https://in.linkedin.com/jobs/view/sql-developer-dba-at-tata-consultancy-services-2774515468?refId=9ZWlhFWnxGU65G5im0g6ZA%3D%3D&trackingId=XMD0dOSi37kTyIkazlO31g%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
2,jZ6+sFcBCL26PM6Chw/Bkw==,2021-11-01,Magna Solusi Indonesia,Business Intelligence Developer,Jakarta Metropolitan Area,https://id.linkedin.com/jobs/view/business-intelligence-developer-at-magna-solusi-indonesia-2773787781?refId=9ZWlhFWnxGU65G5im0g6ZA%3D%3D&trackingId=jZ6%2BsFcBCL26PM6Chw%2FBkw%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
3,91dRNqzaMZtG3mmWf+V9AQ==,2021-10-30,CVS Health,SQL Developer – Senior,"Phoenix, AZ",https://www.linkedin.com/jobs/view/sql-developer-%E2%80%93-senior-at-cvs-health-2779794377?refId=9ZWlhFWnxGU65G5im0g6ZA%3D%3D&trackingId=91dRNqzaMZtG3mmWf%2BV9AQ%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
4,,2021-11-01,PT Ogya Tekno Nusantara,Database Engineer,Jakarta Metropolitan Area,https://id.linkedin.com/jobs/view/database-engineer-at-pt-ogya-tekno-nusantara-2773762940?refId=9ZWlhFWnxGU65G5im0g6ZA%3D%3D&trackingId=BVG9ov6UsnI%2F4ZIppVKDjw%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
5,PGBFQs3YakTrWycy0sVxyQ==,2021-11-01,GlobalSource IT,SSRS Developer,Greater Orlando,https://www.linkedin.com/jobs/view/ssrs-developer-at-globalsource-it-2781528799?refId=9ZWlhFWnxGU65G5im0g6ZA%3D%3D&trackingId=PGBFQs3YakTrWycy0sVxyQ%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
6,u7ekoo9eKlYAdMxY/s9k3A==,2021-10-27,Nationwide Building Society,Engineer – SSIS/SSRS/SQL Developer - with opportunity to cross train to Identity IQ,United Kingdom,https://uk.linkedin.com/jobs/view/engineer-%E2%80%93-ssis-ssrs-sql-developer-with-opportunity-to-cross-train-to-identity-iq-at-nationwide-building-society-2774234319?refId=9ZWlhFWnxGU65G5im0g6ZA%3D%3D&trackingId=u7ekoo9eKlYAdMxY%2Fs9k3A%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
7,Vil1QgHsfZDZiihM7b/7tw==,2021-11-01,National General Insurance,ETL/SSIS Database Developer,"Nashville, TN",https://www.linkedin.com/jobs/view/etl-ssis-database-developer-at-national-general-insurance-2781341828?refId=9ZWlhFWnxGU65G5im0g6ZA%3D%3D&trackingId=Vil1QgHsfZDZiihM7b%2F7tw%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
8,zKevxAPblelJOgSiJVkccg==,2021-09-28,Visa,SQL Developer,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/sql-developer-at-visa-2765348247?refId=9ZWlhFWnxGU65G5im0g6ZA%3D%3D&trackingId=zKevxAPblelJOgSiJVkccg%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
9,vCqbvKVuD/KTb2+xKwqhdw==,2021-11-01,"Alleare Consulting, LLC.",SSIS Integration Developer,"Arlington, TX",https://www.linkedin.com/jobs/view/ssis-integration-developer-at-alleare-consulting-llc-2779020798?refId=9ZWlhFWnxGU65G5im0g6ZA%3D%3D&trackingId=vCqbvKVuD%2FKTb2%2BxKwqhdw%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
